entry_time,exit_time,pnl_pct,pnl_dollar,risk_pct,exit_reason,month
2025-07-10 04:00:00,2025-07-10 17:00:00,-2.0954598370197877,-1.5284031934878763,2.0,SL,2025-07
2025-07-10 17:30:00,2025-07-10 17:30:00,-1.6691037483505138,-1.5137865824186783,2.0,SL,2025-07
2025-07-10 18:30:00,2025-07-10 19:00:00,-1.8308909626370398,-1.474296003557623,2.0,SL,2025-07
2025-07-10 19:45:00,2025-07-10 19:45:00,-1.906443071491605,-1.440237571793993,2.0,SL,2025-07
2025-07-10 22:00:00,2025-07-10 23:00:00,-1.8694824303271498,-1.4113111733943025,2.0,SL,2025-07
2025-07-10 23:45:00,2025-07-11 01:30:00,-1.7282765242438756,-1.387306525492856,2.0,SL,2025-07
2025-07-11 04:15:00,2025-07-11 04:15:00,-1.8795614356650157,-1.351976605977907,2.0,SL,2025-07
2025-07-11 05:45:00,2025-07-11 18:15:00,-1.6566958122411375,-1.3324925042996234,2.0,SL,2025-07
2025-07-13 01:30:00,2025-07-13 09:15:00,4.493260109835251,3.006540821712023,2.0,TP,2025-07
2025-07-13 15:15:00,2025-07-13 16:15:00,-1.6182837674781694,-2.054764257502952,3.0,SL,2025-07
2025-07-14 04:00:00,2025-07-14 04:30:00,-1.8040065727371286,-1.3182622019269827,2.0,SL,2025-07
2025-07-14 05:45:00,2025-07-14 19:15:00,5.4272640204320375,3.000331533234825,2.0,TP,2025-07
2025-07-15 15:00:00,2025-07-15 15:30:00,-1.900771549741966,-2.0252231601241912,3.0,SL,2025-07
2025-07-15 16:30:00,2025-07-15 16:45:00,-2.8559676858013665,-1.2856564951672063,2.0,SL,2025-07
2025-07-15 18:45:00,2025-07-17 00:00:00,-3.098511578861988,-1.2557089393018517,2.0,SL,2025-07
2025-07-17 03:15:00,2025-07-17 09:15:00,-2.9792795126508698,-1.2313229679487294,2.0,SL,2025-07
2025-07-17 10:30:00,2025-07-17 12:15:00,-1.7077392988230102,-1.235028061439452,2.0,SL,2025-07
2025-07-17 13:30:00,2025-07-17 16:30:00,6.323366183444902,2.809871095565155,2.0,TP,2025-07
2025-07-18 02:45:00,2025-07-18 03:15:00,-1.6157911581278266,-1.9085429864467884,3.0,SL,2025-07
2025-07-18 04:00:00,2025-07-18 05:00:00,-1.4074900616704455,-1.2424538460039323,2.0,SL,2025-07
2025-07-18 05:30:00,2025-07-18 06:45:00,-1.2039364664239345,-1.2294755921911025,2.0,SL,2025-07
2025-07-18 08:45:00,2025-07-18 12:30:00,-2.3563965362996395,-1.1577276882230472,2.0,SL,2025-07
2025-07-20 01:30:00,2025-07-20 03:30:00,-0.728095187906091,-1.2367963664255668,2.0,SL,2025-07
2025-07-20 07:15:00,2025-07-20 13:00:00,-0.9479069845337175,-1.1748168633824123,2.0,SL,2025-07
2025-07-20 17:00:00,2025-07-20 19:00:00,-1.0389553637026598,-1.139234212839699,2.0,SL,2025-07
2025-07-21 08:00:00,2025-07-21 14:30:00,-1.3022367863227895,-1.0944772906019764,2.0,SL,2025-07
2025-07-21 15:30:00,2025-07-21 16:15:00,3.2766248912419798,2.4104576576679144,2.0,TP,2025-07
2025-07-23 00:30:00,2025-07-23 04:15:00,-0.9235242140067833,-1.7334809178107473,3.0,SL,2025-07
2025-07-25 08:45:00,2025-07-25 09:15:00,-1.4293774684972687,-1.078600494674757,2.0,SL,2025-07
2025-07-25 11:45:00,2025-07-25 21:00:00,-1.4076458026288106,-1.056584789885562,2.0,SL,2025-07
2025-07-26 00:15:00,2025-07-26 05:15:00,-1.0073474666516358,-1.061204332096048,2.0,SL,2025-07
2025-07-28 06:30:00,2025-07-28 11:00:00,2.280648909161321,2.256872644718116,2.0,TP,2025-07
2025-07-29 08:00:00,2025-07-29 12:30:00,-0.8572570196999554,-1.6570288091696925,3.0,SL,2025-07
2025-07-31 04:00:00,2025-07-31 04:30:00,-0.5055544468835238,-1.1452719419792792,2.0,SL,2025-07
2025-07-31 05:30:00,2025-07-31 05:30:00,-0.43881771411278603,-1.1459098304973372,2.0,SL,2025-07
2025-07-31 07:15:00,2025-07-31 07:15:00,-0.5648831005805712,-1.0714724958900903,2.0,SL,2025-07
2025-07-31 08:00:00,2025-07-31 08:30:00,-0.6124691964942668,-1.0340233993338206,2.0,SL,2025-07
2025-07-31 09:15:00,2025-07-31 09:30:00,-0.5910998322722973,-1.0150910955770909,2.0,SL,2025-07
2025-07-31 10:15:00,2025-07-31 12:30:00,1.7377146703821333,1.9977856729389603,2.0,TP,2025-07
2025-08-03 04:15:00,2025-08-03 05:00:00,-0.6853226727584262,-1.526128018961824,3.0,SL,2025-08
2025-08-03 08:45:00,2025-08-04 00:45:00,-1.0514930379660135,-0.938877567194452,2.0,SL,2025-08
2025-08-04 17:30:00,2025-08-05 07:30:00,2.5724645020154324,2.0149166056087435,2.0,TP,2025-08
2025-08-05 11:00:00,2025-08-05 14:00:00,1.9320837168839866,3.1251557328019257,3.0,TP,2025-08
2025-08-06 06:30:00,2025-08-06 06:45:00,-0.8903055616618978,-2.3559770876258193,4.5,SL,2025-08
2025-08-06 16:15:00,2025-08-07 10:00:00,-0.9275812399758849,-1.114484058430751,2.25,SL,2025-08
2025-08-07 14:30:00,2025-08-07 16:45:00,1.563747451487532,2.0404896663782144,2.0,TP,2025-08
2025-08-07 20:15:00,2025-08-07 21:15:00,-0.7873418639692171,-1.5430447231042697,3.0,SL,2025-08
2025-08-07 21:45:00,2025-08-07 22:15:00,-0.6271385325352742,-1.0225291777571077,2.0,SL,2025-08
2025-08-07 23:15:00,2025-08-07 23:45:00,-0.6475137760190924,-0.9944952795941295,2.0,SL,2025-08
2025-08-08 00:30:00,2025-08-08 00:30:00,-0.6797007754057646,-0.9653790175004563,2.0,SL,2025-08
2025-08-08 01:00:00,2025-08-08 12:30:00,1.8698141872151428,1.945705113098359,2.0,TP,2025-08
2025-08-08 20:15:00,2025-08-09 04:30:00,-0.805088572645051,-1.4522063369173435,3.0,SL,2025-08
2025-08-09 06:45:00,2025-08-09 07:30:00,-0.8702013053019511,-0.9277520727388029,2.0,SL,2025-08
2025-08-09 10:00:00,2025-08-09 14:00:00,2.1002847052600533,1.9370901119698958,2.0,TP,2025-08
2025-08-09 21:45:00,2025-08-10 01:30:00,-0.7024085676501877,-1.4604836753019963,3.0,SL,2025-08
2025-08-10 18:45:00,2025-08-10 19:30:00,-0.7421242529810819,-0.9340164090074118,2.0,SL,2025-08
2025-08-10 20:15:00,2025-08-11 00:45:00,2.0839443664037245,1.9145577412281383,2.0,TP,2025-08
2025-08-11 04:30:00,2025-08-11 07:45:00,2.1074493754008703,3.010229389142439,3.0,TP,2025-08
2025-08-12 13:15:00,2025-08-12 14:00:00,-1.143077864814341,-2.2092977466095682,4.5,SL,2025-08
2025-08-12 22:15:00,2025-08-12 23:30:00,-0.6808362065203185,-1.1079711203049523,2.25,SL,2025-08
2025-08-13 09:45:00,2025-08-13 10:15:00,-0.7257057245053306,-0.9518518721493708,2.0,SL,2025-08
2025-08-13 11:15:00,2025-08-13 14:30:00,2.044595091765532,1.9438804054351058,2.0,TP,2025-08
2025-08-14 03:15:00,2025-08-14 05:15:00,2.962032133560718,3.103132415714297,3.0,TP,2025-08
2025-08-15 23:45:00,2025-08-17 08:45:00,-1.2939124878529351,-2.2262900605301907,4.5,SL,2025-08
2025-08-17 09:30:00,2025-08-17 12:00:00,-0.5118614036814612,-1.1752783522770684,2.25,SL,2025-08
2025-08-17 15:00:00,2025-08-17 15:45:00,-0.6553795740032755,-0.9802102881677321,2.0,SL,2025-08
2025-08-17 16:45:00,2025-08-17 18:15:00,1.8071881634007434,1.9621696040430008,2.0,TP,2025-08
2025-08-18 22:30:00,2025-08-19 00:15:00,2.11005253256783,3.1081885537459266,3.0,TP,2025-08
2025-08-19 09:45:00,2025-08-19 14:15:00,2.1239805574087423,4.997012032580438,4.5,TP,2025-08
2025-08-20 05:15:00,2025-08-20 13:45:00,2.207934678460839,8.314653791551523,6.75,TP,2025-08
2025-08-20 16:45:00,2025-08-20 17:45:00,-1.338303655779019,-6.520677146331361,10.125,SL,2025-08
2025-08-20 18:15:00,2025-08-20 19:15:00,-1.0786682753269983,-2.954187606222842,5.0625,SL,2025-08
2025-08-20 20:45:00,2025-08-20 22:00:00,-0.8779589813787736,-1.4224477072183426,2.53125,SL,2025-08
2025-08-20 23:15:00,2025-08-21 02:00:00,-0.6867676737251154,-1.1233119314168805,2.0,SL,2025-08
2025-08-24 18:00:00,2025-08-24 18:15:00,-0.9893242412386061,-1.0549109986477114,2.0,SL,2025-08
2025-08-26 03:00:00,2025-08-26 03:45:00,-0.9162225282951096,-1.0392365822101106,2.0,SL,2025-08
2025-08-26 09:15:00,2025-08-26 14:15:00,-2.7021778899710713,-0.9500926933915474,2.0,SL,2025-08
2025-08-26 14:45:00,2025-08-26 17:15:00,-2.0240142950184543,-0.9415123552915189,2.0,SL,2025-08
2025-08-30 12:15:00,2025-08-30 13:00:00,1.3791152445277388,2.036663326367196,2.0,TP,2025-08
2025-08-30 16:15:00,2025-08-30 22:00:00,1.8842758241060278,3.263668529139116,3.0,TP,2025-08
2025-09-01 06:30:00,2025-09-01 06:45:00,-1.4899688500664454,-2.3634622036517885,4.5,SL,2025-09
2025-09-01 08:15:00,2025-09-01 15:45:00,4.748439417382489,2.5800686141686326,2.25,TP,2025-09
2025-09-02 04:30:00,2025-09-02 12:30:00,1.9276645715931593,3.9546736465954044,3.375,TP,2025-09
2025-09-02 22:45:00,2025-09-03 13:30:00,-0.7240944248386263,-3.0761079542096734,5.0625,SL,2025-09
2025-09-05 08:45:00,2025-09-05 12:15:00,-0.5735452264308731,-1.4956038522825377,2.53125,SL,2025-09
2025-09-05 12:45:00,2025-09-05 12:45:00,-0.5129062831019673,-1.1667100989075336,2.0,SL,2025-09
2025-09-06 01:30:00,2025-09-06 02:45:00,-0.45696877380045664,-1.1615711818549264,2.0,SL,2025-09
2025-09-06 03:45:00,2025-09-06 08:45:00,1.278609339312314,2.142672021560895,2.0,TP,2025-09
2025-09-09 09:15:00,2025-09-09 12:30:00,2.010872044667318,3.4660192137417387,3.0,TP,2025-09
2025-09-10 04:15:00,2025-09-10 07:15:00,-0.6536884658390388,-2.7030566485440417,4.5,SL,2025-09
2025-09-10 07:45:00,2025-09-10 23:00:00,-0.7344882069093092,-1.2627022396694094,2.25,SL,2025-09
2025-09-12 00:15:00,2025-09-12 00:15:00,-0.4878849048125207,-1.159956188377029,2.0,SL,2025-09
2025-09-12 01:30:00,2025-09-12 03:45:00,-0.6566985012445498,-1.0825030395402648,2.0,SL,2025-09
2025-09-12 04:15:00,2025-09-12 05:00:00,-0.5663686891100762,-1.0798462968558924,2.0,SL,2025-09
2025-09-12 07:00:00,2025-09-12 12:00:00,1.7384262006660403,2.1116190516919313,2.0,TP,2025-09
