open,close,high,low,volume,time,timestamp
0.14092,0.14051,0.14117,0.14050,2864291,1765248300000,2025-12-09 02:45:00
0.14051,0.14068,0.14080,0.14047,3552455,1765249200000,2025-12-09 03:00:00
0.14070,0.14059,0.14076,0.14020,5860222,1765250100000,2025-12-09 03:15:00
0.14061,0.14144,0.14147,0.14059,5408208,1765251000000,2025-12-09 03:30:00
0.14144,0.14151,0.14168,0.14122,4632762,1765251900000,2025-12-09 03:45:00
0.14159,0.14136,0.14159,0.14130,1857582,1765252800000,2025-12-09 04:00:00
0.14134,0.14140,0.14151,0.14112,1994292,1765253700000,2025-12-09 04:15:00
0.14139,0.14049,0.14140,0.14033,7668490,1765254600000,2025-12-09 04:30:00
0.14051,0.14038,0.14060,0.14033,2205586,1765255500000,2025-12-09 04:45:00
0.14040,0.14004,0.14048,0.13993,4232782,1765256400000,2025-12-09 05:00:00
0.14004,0.14013,0.14031,0.13979,4566306,1765257300000,2025-12-09 05:15:00
0.14015,0.14067,0.14076,0.14006,5447389,1765258200000,2025-12-09 05:30:00
0.14067,0.14005,0.14077,0.14000,2925196,1765259100000,2025-12-09 05:45:00
0.14003,0.13992,0.14038,0.13978,4855525,1765260000000,2025-12-09 06:00:00
0.13992,0.13962,0.13999,0.13938,4934514,1765260900000,2025-12-09 06:15:00
0.13962,0.13980,0.13986,0.13932,3867561,1765261800000,2025-12-09 06:30:00
0.13981,0.14004,0.14013,0.13970,3427465,1765262700000,2025-12-09 06:45:00
0.14006,0.13981,0.14018,0.13975,1974627,1765263600000,2025-12-09 07:00:00
0.13981,0.14045,0.14055,0.13981,4414453,1765264500000,2025-12-09 07:15:00
0.14045,0.14063,0.14068,0.14024,2354516,1765265400000,2025-12-09 07:30:00
0.14061,0.14072,0.14085,0.14047,2312026,1765266300000,2025-12-09 07:45:00
0.14072,0.14072,0.14089,0.14061,3526366,1765267200000,2025-12-09 08:00:00
0.14070,0.14058,0.14096,0.14051,3424864,1765268100000,2025-12-09 08:15:00
0.14060,0.14064,0.14068,0.14036,2358198,1765269000000,2025-12-09 08:30:00
0.14072,0.14071,0.14088,0.14060,2993146,1765269900000,2025-12-09 08:45:00
0.14071,0.14043,0.14073,0.14033,4793560,1765270800000,2025-12-09 09:00:00
0.14038,0.14030,0.14050,0.14020,1787494,1765271700000,2025-12-09 09:15:00
0.14028,0.14005,0.14040,0.14003,2005447,1765272600000,2025-12-09 09:30:00
0.14003,0.14007,0.14022,0.13995,3266566,1765273500000,2025-12-09 09:45:00
0.14005,0.14022,0.14034,0.13999,2072318,1765274400000,2025-12-09 10:00:00
0.14020,0.14028,0.14031,0.14007,1289910,1765275300000,2025-12-09 10:15:00
0.14028,0.13988,0.14047,0.13955,7003840,1765276200000,2025-12-09 10:30:00
0.13988,0.14020,0.14020,0.13968,3191613,1765277100000,2025-12-09 10:45:00
0.14020,0.14003,0.14022,0.14002,3165778,1765278000000,2025-12-09 11:00:00
0.14003,0.14017,0.14018,0.13991,1507902,1765278900000,2025-12-09 11:15:00
0.14018,0.14033,0.14036,0.14010,3415257,1765279800000,2025-12-09 11:30:00
0.14033,0.14082,0.14085,0.14031,4683648,1765280700000,2025-12-09 11:45:00
0.14082,0.14066,0.14107,0.14060,4196256,1765281600000,2025-12-09 12:00:00
0.14064,0.14132,0.14169,0.14061,6853278,1765282500000,2025-12-09 12:15:00
0.14130,0.14149,0.14151,0.14109,3160905,1765283400000,2025-12-09 12:30:00
0.14149,0.14150,0.14173,0.14138,2682599,1765284300000,2025-12-09 12:45:00
0.14152,0.14131,0.14159,0.14129,2356612,1765285200000,2025-12-09 13:00:00
0.14135,0.14217,0.14223,0.14133,6169292,1765286100000,2025-12-09 13:15:00
0.14217,0.14130,0.14234,0.14130,9323148,1765287000000,2025-12-09 13:30:00
0.14127,0.14172,0.14172,0.14127,3963782,1765287900000,2025-12-09 13:45:00
0.14170,0.14183,0.14225,0.14166,3273784,1765288800000,2025-12-09 14:00:00
0.14185,0.14164,0.14230,0.14125,4670541,1765289700000,2025-12-09 14:15:00
0.14166,0.14098,0.14166,0.14052,10624311,1765290600000,2025-12-09 14:30:00
0.14098,0.14092,0.14112,0.14044,7174651,1765291500000,2025-12-09 14:45:00
0.14094,0.14224,0.14449,0.14086,27764726,1765292400000,2025-12-09 15:00:00
0.14222,0.14369,0.14425,0.14213,8416847,1765293300000,2025-12-09 15:15:00
0.14362,0.14548,0.14564,0.14291,17621153,1765294200000,2025-12-09 15:30:00
0.14548,0.14624,0.14676,0.14526,19677291,1765295100000,2025-12-09 15:45:00
0.14624,0.14913,0.14943,0.14622,31995648,1765296000000,2025-12-09 16:00:00
0.14913,0.14928,0.14979,0.14863,20654389,1765296900000,2025-12-09 16:15:00
0.14935,0.15158,0.15206,0.14933,23977203,1765297800000,2025-12-09 16:30:00
0.15158,0.15135,0.15229,0.15089,17732147,1765298700000,2025-12-09 16:45:00
0.15135,0.15289,0.15291,0.15135,15723228,1765299600000,2025-12-09 17:00:00
0.15289,0.15145,0.15316,0.15060,24986573,1765300500000,2025-12-09 17:15:00
0.15143,0.15104,0.15171,0.15071,7180592,1765301400000,2025-12-09 17:30:00
0.15102,0.15088,0.15141,0.15082,3556032,1765302300000,2025-12-09 17:45:00
0.15097,0.15163,0.15174,0.15055,5797112,1765303200000,2025-12-09 18:00:00
0.15163,0.15165,0.15195,0.15149,8456543,1765304100000,2025-12-09 18:15:00
0.15163,0.15087,0.15169,0.15085,4379679,1765305000000,2025-12-09 18:30:00
0.15087,0.15122,0.15124,0.15037,4321425,1765305900000,2025-12-09 18:45:00
0.15124,0.15124,0.15142,0.15073,3466824,1765306800000,2025-12-09 19:00:00
0.15124,0.15099,0.15147,0.15090,1786432,1765307700000,2025-12-09 19:15:00
0.15099,0.15070,0.15152,0.15047,4164125,1765308600000,2025-12-09 19:30:00
0.15070,0.15086,0.15102,0.15050,3385212,1765309500000,2025-12-09 19:45:00
0.15086,0.15123,0.15156,0.15066,5083481,1765310400000,2025-12-09 20:00:00
0.15123,0.14961,0.15126,0.14874,14779584,1765311300000,2025-12-09 20:15:00
0.14959,0.14918,0.14980,0.14876,5815603,1765312200000,2025-12-09 20:30:00
0.14918,0.14906,0.14958,0.14869,4485144,1765313100000,2025-12-09 20:45:00
0.14908,0.14952,0.14985,0.14892,5425461,1765314000000,2025-12-09 21:00:00
0.14954,0.14958,0.14978,0.14913,2155365,1765314900000,2025-12-09 21:15:00
0.14958,0.14889,0.14965,0.14884,3290103,1765315800000,2025-12-09 21:30:00
0.14891,0.14788,0.14891,0.14680,13654289,1765316700000,2025-12-09 21:45:00
0.14791,0.14816,0.14882,0.14783,4784341,1765317600000,2025-12-09 22:00:00
0.14816,0.14813,0.14843,0.14782,2961971,1765318500000,2025-12-09 22:15:00
0.14815,0.14873,0.14909,0.14798,3176699,1765319400000,2025-12-09 22:30:00
0.14873,0.14864,0.14919,0.14858,2279557,1765320300000,2025-12-09 22:45:00
0.14860,0.14800,0.14894,0.14796,2459626,1765321200000,2025-12-09 23:00:00
0.14800,0.14854,0.14854,0.14795,1623267,1765322100000,2025-12-09 23:15:00
0.14852,0.14845,0.14860,0.14817,2136717,1765323000000,2025-12-09 23:30:00
0.14845,0.14790,0.14847,0.14785,1859408,1765323900000,2025-12-09 23:45:00
0.14788,0.14780,0.14823,0.14780,2523054,1765324800000,2025-12-10 00:00:00
0.14780,0.14746,0.14782,0.14697,5019001,1765325700000,2025-12-10 00:15:00
0.14744,0.14729,0.14767,0.14705,2394449,1765326600000,2025-12-10 00:30:00
0.14727,0.14666,0.14746,0.14662,5808845,1765327500000,2025-12-10 00:45:00
0.14668,0.14641,0.14695,0.14631,3690818,1765328400000,2025-12-10 01:00:00
0.14639,0.14700,0.14703,0.14626,3764822,1765329300000,2025-12-10 01:15:00
0.14700,0.14645,0.14702,0.14615,4518459,1765330200000,2025-12-10 01:30:00
0.14645,0.14658,0.14708,0.14639,2343137,1765331100000,2025-12-10 01:45:00
0.14660,0.14621,0.14660,0.14592,8155942,1765332000000,2025-12-10 02:00:00
0.14623,0.14685,0.14702,0.14618,4516445,1765332900000,2025-12-10 02:15:00
0.14687,0.14680,0.14696,0.14654,1568347,1765333800000,2025-12-10 02:30:00
0.14680,0.14719,0.14722,0.14646,1711874,1765334700000,2025-12-10 02:45:00
0.14717,0.14736,0.14738,0.14688,3851969,1765335600000,2025-12-10 03:00:00
0.14740,0.14695,0.14743,0.14684,2120678,1765336500000,2025-12-10 03:15:00
0.14695,0.14737,0.14745,0.14677,2203236,1765337400000,2025-12-10 03:30:00
0.14739,0.14732,0.14764,0.14730,3278592,1765338300000,2025-12-10 03:45:00
0.14730,0.14728,0.14742,0.14697,2301263,1765339200000,2025-12-10 04:00:00
0.14726,0.14695,0.14767,0.14682,2115706,1765340100000,2025-12-10 04:15:00
0.14697,0.14747,0.14759,0.14690,2298894,1765341000000,2025-12-10 04:30:00
0.14747,0.14720,0.14774,0.14719,2495662,1765341900000,2025-12-10 04:45:00
0.14722,0.14725,0.14727,0.14692,2196512,1765342800000,2025-12-10 05:00:00
0.14723,0.14699,0.14761,0.14697,3831932,1765343700000,2025-12-10 05:15:00
0.14699,0.14684,0.14705,0.14671,2192200,1765344600000,2025-12-10 05:30:00
0.14684,0.14681,0.14690,0.14657,2873943,1765345500000,2025-12-10 05:45:00
0.14683,0.14679,0.14691,0.14643,2362877,1765346400000,2025-12-10 06:00:00
0.14679,0.14666,0.14682,0.14665,1115914,1765347300000,2025-12-10 06:15:00
0.14666,0.14675,0.14675,0.14650,2533850,1765348200000,2025-12-10 06:30:00
0.14673,0.14677,0.14687,0.14651,2120741,1765349100000,2025-12-10 06:45:00
0.14679,0.14634,0.14679,0.14627,3462438,1765350000000,2025-12-10 07:00:00
0.14634,0.14628,0.14634,0.14598,2761003,1765350900000,2025-12-10 07:15:00
0.14630,0.14635,0.14645,0.14610,2089138,1765351800000,2025-12-10 07:30:00
0.14637,0.14660,0.14665,0.14627,2682439,1765352700000,2025-12-10 07:45:00
0.14658,0.14685,0.14698,0.14647,3238580,1765353600000,2025-12-10 08:00:00
0.14685,0.14666,0.14690,0.14649,2131629,1765354500000,2025-12-10 08:15:00
0.14668,0.14643,0.14683,0.14631,2575963,1765355400000,2025-12-10 08:30:00
0.14643,0.14634,0.14668,0.14630,1747131,1765356300000,2025-12-10 08:45:00
0.14634,0.14592,0.14637,0.14576,4999916,1765357200000,2025-12-10 09:00:00
0.14592,0.14590,0.14598,0.14564,2556855,1765358100000,2025-12-10 09:15:00
0.14590,0.14645,0.14647,0.14590,3504311,1765359000000,2025-12-10 09:30:00
0.14647,0.14732,0.14749,0.14645,6322759,1765359900000,2025-12-10 09:45:00
0.14732,0.14696,0.14802,0.14685,10072294,1765360800000,2025-12-10 10:00:00
0.14694,0.14634,0.14696,0.14616,4798988,1765361700000,2025-12-10 10:15:00
0.14627,0.14592,0.14643,0.14569,5687138,1765362600000,2025-12-10 10:30:00
0.14592,0.14557,0.14609,0.14551,3387718,1765363500000,2025-12-10 10:45:00
0.14557,0.14577,0.14616,0.14541,5041650,1765364400000,2025-12-10 11:00:00
0.14577,0.14583,0.14602,0.14575,1677474,1765365300000,2025-12-10 11:15:00
0.14583,0.14544,0.14599,0.14508,5347959,1765366200000,2025-12-10 11:30:00
