coin,signal_time,entry_time,exit_time,sl_dist_pct,pnl_pct,result,equity_before,position_size,pnl_dollar,equity_after,month
FARTCOIN,2025-07-17 09:30:00,2025-07-18 01:00:00,2025-07-18 20:15:00,8.115219092331778,10.0,WIN,556.6558246489858,342.9702995788372,33.954059658304885,590.6098843072907,2025-07
MOODENG,2025-07-18 05:45:00,2025-07-18 08:30:00,2025-07-18 19:00:00,2.825831083152823,8.0,WIN,590.6098843072907,1045.0197958193917,82.55656386973195,673.1664481770226,2025-07
DOGE,2025-07-18 06:45:00,2025-07-18 07:30:00,2025-07-18 13:30:00,2.4877188118904896,-2.4877188118904896,LOSS,673.1664481770226,1352.9793740343669,-35.0113017828855,638.1551463941371,2025-07
DOGE,2025-07-18 14:00:00,2025-07-18 14:15:00,2025-07-18 20:15:00,3.5086159351940824,6.0,WIN,638.1551463941371,909.4115146559024,53.65527936469824,691.8104257588353,2025-07
DOGE,2025-07-19 04:00:00,2025-07-19 14:15:00,2025-07-20 16:00:00,6.094821390900993,-6.094821390900993,LOSS,691.8104257588353,567.5395400361073,-35.15806082797788,656.6523649308574,2025-07
FARTCOIN,2025-07-19 13:45:00,2025-07-19 15:00:00,2025-07-19 15:15:00,1.8772515618428909,-1.8772515618428909,LOSS,656.6523649308574,1748.9727489858212,-34.58159099552869,622.0707739353287,2025-07
MOODENG,2025-07-20 16:45:00,2025-07-20 21:00:00,2025-07-21 06:15:00,3.8566327478379367,-3.8566327478379367,LOSS,622.0707739353287,806.494699662636,-31.91003339642907,590.1607405388996,2025-07
DOGE,2025-07-20 19:30:00,2025-07-22 04:15:00,2025-07-23 13:15:00,9.119656628927178,6.0,WIN,590.1607405388996,323.5652199157005,19.09034797502633,609.251088513926,2025-07
MELANIA,2025-07-21 07:15:00,2025-07-21 16:15:00,2025-07-23 12:45:00,5.031432764549979,10.0,WIN,609.251088513926,605.4449269465878,59.93904776771219,669.1901362816382,2025-07
MOODENG,2025-07-21 11:30:00,2025-07-21 16:15:00,2025-07-21 21:30:00,5.309639667728215,-5.309639667728215,LOSS,669.1901362816382,630.1653013752988,-34.08967211545721,635.1004641661809,2025-07
FARTCOIN,2025-07-21 15:00:00,2025-07-21 20:15:00,2025-07-22 00:15:00,5.201453713611034,-5.201453713611034,LOSS,635.1004641661809,610.5028508705806,-32.36552605917963,602.7349381070013,2025-07
MOODENG,2025-07-21 23:45:00,2025-07-22 01:45:00,2025-07-22 08:15:00,7.507301453253105,8.0,WIN,602.7349381070013,401.4324866665777,31.713166446659635,634.448104553661,2025-07
MOODENG,2025-07-24 14:45:00,2025-07-24 16:00:00,2025-07-25 00:30:00,3.652928510371233,8.0,WIN,634.448104553661,868.4102395548722,68.6044089248349,703.0525134784959,2025-07
MELANIA,2025-07-25 10:45:00,2025-07-25 14:30:00,2025-07-25 21:00:00,3.007969834604507,-3.007969834604507,LOSS,703.0525134784959,1168.6495412792835,-36.32127521520408,666.7312382632919,2025-07
MELANIA,2025-07-25 21:00:00,2025-07-28 15:45:00,2025-07-31 20:00:00,7.019773666071899,10.0,WIN,666.7312382632919,474.89511056869947,47.01461594630125,713.7458542095931,2025-07
FARTCOIN,2025-07-25 22:45:00,2025-07-26 18:30:00,2025-07-28 03:00:00,4.2133992920806955,-4.2133992920806955,LOSS,713.7458542095931,846.995270008133,-36.53428798048779,677.2115662291053,2025-07
MOODENG,2025-07-26 00:15:00,2025-07-26 01:30:00,2025-07-26 03:15:00,1.2126955351379511,-1.2126955351379511,LOSS,677.2115662291053,2792.1747322672736,-36.65275304372254,640.5588131853827,2025-07
MOODENG,2025-07-27 05:00:00,2025-07-27 10:45:00,2025-07-27 16:30:00,4.0143547063202725,-4.0143547063202725,LOSS,640.5588131853827,797.8353434698677,-32.82577600273901,607.7330371826438,2025-07
DOGE,2025-07-27 05:15:00,2025-07-27 06:45:00,2025-07-27 22:00:00,1.6897329093325082,-1.6897329093325082,LOSS,607.7330371826438,1798.3109455526771,-32.184962804684865,575.5480743779589,2025-07
MOODENG,2025-07-27 18:00:00,2025-07-27 22:00:00,2025-07-28 14:15:00,1.3503965345325135,8.0,WIN,575.5480743779589,2131.033587764666,168.35165343340861,743.8997278113675,2025-07
MELANIA,2025-07-31 08:30:00,2025-07-31 10:15:00,2025-08-01 00:45:00,1.2684354711599888,10.0,WIN,743.8997278113675,2932.3514862410325,290.3027971378622,1034.2025249492297,2025-07
MELANIA,2025-08-03 08:00:00,2025-08-03 10:00:00,2025-08-04 00:30:00,0.6522809320643098,-0.6522809320643098,LOSS,1034.2025249492297,7927.585140931772,-59.637711388393264,974.5648135608363,2025-08
MOODENG,2025-08-03 11:00:00,2025-08-03 12:00:00,2025-08-04 00:45:00,0.922464022837902,-0.922464022837902,LOSS,974.5648135608363,5282.400123110762,-54.01064080115258,920.5541727596838,2025-08
FARTCOIN,2025-08-04 03:00:00,2025-08-04 07:30:00,2025-08-04 13:30:00,2.1878025169409474,-2.1878025169409474,LOSS,920.5541727596838,2103.832877125562,-48.13154151510976,872.422631244574,2025-08
MOODENG,2025-08-04 17:00:00,2025-08-04 20:30:00,2025-08-08 03:15:00,3.2728506020010206,-3.2728506020010206,LOSS,872.422631244574,1332.8176830179398,-44.95394924524664,827.4686819993273,2025-08
DOGE,2025-08-04 23:00:00,2025-08-05 01:45:00,2025-08-05 22:00:00,1.006401640962851,6.0,WIN,827.4686819993273,4111.0260969351475,242.55053971917368,1070.0192217185008,2025-08
FARTCOIN,2025-08-04 23:15:00,2025-08-05 01:00:00,2025-08-05 19:45:00,1.6014793621995,10.0,WIN,1070.0192217185008,3340.721232426366,330.7314020102103,1400.7506237287112,2025-08
FARTCOIN,2025-08-05 11:00:00,2025-08-05 14:00:00,2025-08-05 22:00:00,2.6917231289328116,10.0,WIN,1400.7506237287112,2601.9589620349757,257.5939372414626,1658.3445609701737,2025-08
MOODENG,2025-08-05 11:30:00,2025-08-05 14:00:00,2025-08-07 10:30:00,2.9516596720854507,-2.9516596720854507,LOSS,1658.3445609701737,2809.173050425721,-85.72640109893442,1572.6181598712392,2025-08
FARTCOIN,2025-08-05 23:45:00,2025-08-06 04:45:00,2025-08-06 15:45:00,6.804593779321795,-6.804593779321795,LOSS,1572.6181598712392,1155.5562395584914,-79.78646423312045,1492.8316956381186,2025-08
MOODENG,2025-08-06 20:30:00,2025-08-07 01:45:00,2025-08-07 10:00:00,1.4126604749148457,-1.4126604749148457,LOSS,1492.8316956381186,5283.759693666327,-79.92534447557226,1412.9063511625463,2025-08
MOODENG,2025-08-07 11:45:00,2025-08-07 13:00:00,2025-08-08 00:30:00,1.0874869534561964,-1.0874869534561964,LOSS,1412.9063511625463,6496.199088513744,-77.14151664664107,1335.7648345159052,2025-08
MELANIA,2025-08-07 13:15:00,2025-08-07 15:00:00,2025-08-07 21:15:00,0.9099793966928931,-0.9099793966928931,LOSS,1335.7648345159052,7339.53339696717,-74.12777512276243,1261.6370593931429,2025-08
DOGE,2025-08-07 13:45:00,2025-08-07 14:30:00,2025-08-07 19:30:00,0.8015444491005188,-0.8015444491005188,LOSS,1261.6370593931429,7870.038029762,-70.95189099941915,1190.6851683937236,2025-08
FARTCOIN,2025-08-07 13:45:00,2025-08-07 19:45:00,2025-08-07 20:30:00,1.0102609121130417,-1.0102609121130417,LOSS,1190.6851683937236,5892.958710553842,-65.42721713024002,1125.2579512634836,2025-08
MOODENG,2025-08-07 22:45:00,2025-08-08 07:15:00,2025-08-08 14:00:00,3.1141577180383986,-3.1141577180383986,LOSS,1125.2579512634836,1806.6810565591413,-58.06957861973333,1067.1883726437502,2025-08
FARTCOIN,2025-08-07 23:45:00,2025-08-08 13:15:00,2025-08-08 20:45:00,3.5135721433419844,-3.5135721433419844,LOSS,1067.1883726437502,1518.66580378321,-54.87808443597071,1012.3102882077795,2025-08
DOGE,2025-08-08 00:00:00,2025-08-08 00:15:00,2025-08-08 00:30:00,0.6237228631579396,-0.6237228631579396,LOSS,1012.3102882077795,8115.0647827979465,-58.73057919318693,953.5797090145926,2025-08
DOGE,2025-08-08 13:45:00,2025-08-08 15:00:00,2025-08-08 18:15:00,3.1243055921268224,-3.1243055921268224,LOSS,953.5797090145926,1526.0666424846395,-49.20505209321427,904.3746569213783,2025-08
FARTCOIN,2025-08-09 08:30:00,2025-08-09 14:45:00,2025-08-09 20:45:00,2.46714258852212,-2.46714258852212,LOSS,904.3746569213783,1832.8382419581217,-47.05157108802704,857.3230858333513,2025-08
MELANIA,2025-08-09 09:00:00,2025-08-09 13:45:00,2025-08-09 20:30:00,1.3799759350245637,-1.3799759350245637,LOSS,857.3230858333513,3106.2972334299834,-45.972451525097554,811.3506343082538,2025-08
MOODENG,2025-08-09 09:30:00,2025-08-10 06:30:00,2025-08-11 21:30:00,7.767411724527537,8.0,WIN,811.3506343082538,522.2786322412987,41.2600119470626,852.6106462553164,2025-08
DOGE,2025-08-09 12:45:00,2025-08-09 14:00:00,2025-08-09 16:15:00,2.862560904752147,-2.862560904752147,LOSS,852.6106462553164,1489.2445516877817,-44.119776864453605,808.4908693908628,2025-08
FARTCOIN,2025-08-09 20:45:00,2025-08-09 21:45:00,2025-08-11 11:15:00,2.84864299957044,10.0,WIN,808.4908693908628,1419.0807158229004,140.48899086646713,948.97986025733,2025-08
MOODENG,2025-08-10 19:30:00,2025-08-10 20:00:00,2025-08-10 20:30:00,0.9865082564576286,-0.9865082564576286,LOSS,948.97986025733,4809.791778453755,-52.25878479132026,896.7210754660097,2025-08
DOGE,2025-08-11 02:45:00,2025-08-11 08:30:00,2025-08-11 22:15:00,2.3312065379296047,6.0,WIN,896.7210754660097,1923.2982167732064,113.47459478961918,1010.1956702556288,2025-08
DOGE,2025-08-12 20:45:00,2025-08-13 01:00:00,2025-08-13 03:30:00,1.3498519923129628,-1.3498519923129628,LOSS,1010.1956702556288,3741.87568714354,-54.25165919992498,955.9440110557038,2025-08
MELANIA,2025-08-12 21:30:00,2025-08-13 01:00:00,2025-08-13 03:00:00,0.9023943363537867,-0.9023943363537867,LOSS,955.9440110557038,5296.708836395682,-53.09390938918087,902.8501016665228,2025-08
FARTCOIN,2025-08-13 01:15:00,2025-08-13 02:00:00,2025-08-13 04:00:00,2.7534840610414184,-2.7534840610414184,LOSS,902.8501016665228,1639.4685453981679,-46.78197362872431,856.0681280377985,2025-08
DOGE,2025-08-13 09:00:00,2025-08-13 15:00:00,2025-08-14 02:30:00,3.4489899031731706,-3.4489899031731706,LOSS,856.0681280377985,1241.0418007460548,-44.044448202635984,812.0236798351625,2025-08
MOODENG,2025-08-13 09:45:00,2025-08-13 13:30:00,2025-08-14 12:30:00,2.9964119576527093,8.0,WIN,812.0236798351625,1354.9933909476106,107.04447788486124,919.0681577200237,2025-08
MELANIA,2025-08-13 10:30:00,2025-08-13 12:45:00,2025-08-14 02:30:00,1.7263986013985908,-1.7263986013985908,LOSS,919.0681577200237,2661.807525143579,-48.61521541114477,870.452942308879,2025-08
DOGE,2025-08-14 02:45:00,2025-08-14 06:15:00,2025-08-14 12:30:00,3.93454897943193,6.0,WIN,870.452942308879,1106.1661029754864,65.26380007555369,935.7167423844327,2025-08
DOGE,2025-08-15 04:00:00,2025-08-15 14:45:00,2025-08-16 00:30:00,2.7212337385349863,-2.7212337385349863,LOSS,935.7167423844327,1719.2877060391527,-48.50512482526079,887.2116175591718,2025-08
