month,baseline,threshold,trades,signals_total,signals_filtered,filter_rate,winners,losers,win_rate,tp_rate,total_return,max_dd,final_equity,category
November,20,2.0,1,37,36,97.2972972972973,0.0,1.0,0.0,0.0,-12.235618889809444,-12.235618889809444,87.76438111019056,WINNER
December,20,2.0,1,11,10,90.9090909090909,1.0,0.0,100.0,100.0,29.45520204603585,0.0,129.45520204603585,WINNER
June,50,1.2,4,16,12,75.0,1.0,3.0,25.0,25.0,-13.840149207156102,-23.6805580275568,86.1598507928439,LOSER
July,50,1.2,10,49,39,79.59183673469387,2.0,8.0,20.0,20.0,-42.72462166201314,-60.89725896696495,57.27537833798686,LOSER
August,50,1.2,8,51,43,84.31372549019608,2.0,6.0,25.0,25.0,-26.517048201349127,-42.28199739607325,73.48295179865087,LOSER
September,50,1.2,7,23,16,69.56521739130434,3.0,4.0,42.857142857142854,42.857142857142854,23.25123910762312,-34.25493133492065,123.25123910762312,LOSER
October,50,1.2,6,13,6,46.15384615384615,3.0,3.0,50.0,50.0,44.89414626865812,-23.977863775820154,144.89414626865812,WINNER
November,50,1.2,14,35,19,54.285714285714285,4.0,10.0,28.57142857142857,28.57142857142857,-26.687038169181477,-49.99525740135682,73.31296183081852,WINNER
December,50,1.2,4,11,7,63.63636363636363,4.0,0.0,100.0,100.0,176.8186690971454,0.0,276.8186690971454,WINNER
June,50,1.3,2,16,14,87.5,0.0,2.0,0.0,0.0,-23.753792800739802,-23.753792800739802,76.2462071992602,LOSER
July,50,1.3,7,51,44,86.27450980392157,1.0,6.0,14.285714285714285,14.285714285714285,-41.85853067732875,-48.796565685234576,58.14146932267125,LOSER
August,50,1.3,7,51,44,86.27450980392157,1.0,6.0,14.285714285714285,14.285714285714285,-43.11873352644308,-43.11873352644308,56.88126647355692,LOSER
September,50,1.3,4,24,20,83.33333333333334,1.0,3.0,25.0,25.0,-14.741859346332731,-33.94502996117099,85.25814065366727,LOSER
October,50,1.3,3,13,9,69.23076923076923,1.0,2.0,33.33333333333333,33.33333333333333,-0.8654800935675978,-12.773485825126826,99.1345199064324,WINNER
