entry_idx,exit_idx,entry_price,sl_price,tp_price,entry_atr,swing_sl_dist_pct,flat_atr_1x_dist_pct,flat_atr_15x_dist_pct,flat_atr_2x_dist_pct,pnl_pct,pnl_dollar,exit_reason,total_bars,max_profit_pct,bars_to_max_profit,went_positive,max_drawdown_pct,gave_back_profit
1808,1815,24755.939285714285,24626.5,25251.05807142857,94.05357142857143,0.5228615413068948,0.37992325939677524,0.5698848890951629,0.7598465187935358,2.0,27.92750246338389,TP,7,2.0694456727050965,7,True,0.0,True
1901,1907,25182.02857142857,24955.0,25685.669142857143,88.60714285714286,0.9015499715783689,0.3518665805886449,0.5277998708829745,0.7037331611773043,-0.9015499715783689,-10.089101245129047,SL,6,0.13490346290041477,1,True,-0.9412608311369429,True
1926,1950,24891.235714285714,24744.5,25389.06042857143,101.32142857142857,0.5895075518548849,0.4070566432878083,0.6105849649317123,0.8141132865756311,-0.5895075518548849,-10.032291065994364,SL,24,0.2742502883258098,15,True,-0.7019969449946963,True
1968,1993,24827.617857142857,24603.75,25324.170214285714,66.91071428571429,0.901688830684378,0.26950114453474916,0.4042517168021311,0.5390022890694983,-0.901688830684378,-8.971300356348875,SL,25,0.128414022805536,3,True,-1.2309592442632653,True
2005,2138,24703.72142857143,24380.0,25197.795857142857,171.39285714285714,1.31041563720446,0.6937936765455586,1.0406905148183305,1.3875873530911025,2.0,11.058723279877603,TP,133,2.045354068979195,133,True,-1.0472973852117728,True
2208,2241,24122.01785714286,24072.25,24604.458214285718,103.66071428571429,0.20631713912823324,0.42973483768903853,0.6446022565335654,0.8594696753780771,-0.20631713912823324,-12.144850174937536,SL,33,0.48288722588209737,16,True,-0.25606422111394134,True
2463,2608,24937.707142857143,24602.0,25436.461285714286,111.46428571428571,1.3461828745282198,0.4469708665506272,0.6704562998259336,0.8939417331012544,2.0,10.688252042636044,TP,145,2.0141902151045477,145,True,0.0,True
2641,3042,25255.632142857143,25193.25,25760.744785714287,29.339285714285715,0.24700289624223803,0.1161692787902917,0.17425391818543032,0.2323385575805834,2.0,62.36253111535079,TP,401,2.065352608053338,401,True,-0.18365069064509898,True
2880,3364,25670.55,25423.25,26183.961,36.0,0.9633607382779071,0.14023852235343612,0.21035778353015422,0.28047704470687224,-0.9633607382779071,-12.390578828313423,SL,484,0.7798820048655005,461,True,-1.1201551972980683,True
3042,3144,25701.435714285715,25611.5,26215.46442857143,42.82142857142857,0.3499248652312678,0.16661103701543784,0.24991655552315675,0.3332220740308898,-0.3499248652312678,-13.63670714083195,SL,102,0.6480738569079345,3,True,-0.3868877808660531,True
3148,3150,25678.45357142857,25612.0,26192.02264285714,57.732142857142854,0.25879117386769207,0.22482717931806315,0.33724076897710176,0.44965435863614045,-0.25879117386769207,-13.758733204575856,SL,2,0.03717680484486675,1,True,-0.2967607500841058,True
3336,3363,25722.085714285713,25528.75,26236.52742857143,59.57142857142857,0.7516331157326673,0.23159641575388393,0.3473946236308259,0.463192831507782,-0.7516331157326673,-10.464847305879578,SL,27,0.577963573271668,5,True,-0.7710716638175261,True
3391,3411,25601.235714285714,25463.25,26113.26042857143,45.07142857142857,0.5389806797830359,0.17605176982249054,0.26407765473373584,0.3521035396449953,-0.5389806797830359,-10.329341597411595,SL,20,0.38968543092088387,11,True,-0.7840860360256056,True
3426,3505,25661.189285714285,25390.25,26174.41307142857,99.05357142857143,1.055832926126764,0.38600538083289887,0.5790080712493483,0.7720107616657835,-1.055832926126764,-8.972631663660932,SL,79,0.780597937435539,13,True,-1.349077323968808,True
3593,3597,25397.289285714287,25141.25,25905.235071428575,23.553571428571427,1.0081362732608885,0.09274049353692683,0.13911074030539025,0.18548098707383934,-1.0081362732608885,-8.516226670423169,SL,4,0.05004752335070139,1,True,-1.433378505945732,True
