trade_num,signal_time,entry_time,exit_time,rsi_at_signal,swing_low,limit_price,entry_price,sl_price,tp_price,sl_dist_pct,size,exit_type,pnl_pct,pnl_dollar,equity_before,equity_after
18,2025-07-10 23:45:00,2025-07-11 02:30:00,2025-07-11 03:45:00,73.7680,1.2985,1.3232,1.3232,1.3310,1.1909,0.5906,1015.1381,SL,-0.5906,-7.0102,119.9012,112.8910
19,2025-07-11 06:00:00,2025-07-11 07:30:00,2025-07-12 12:15:00,71.1854,1.3373,1.3574,1.3574,1.3854,1.2217,2.0617,273.7823,TP,10.0000,27.1045,112.8910,139.9955
20,2025-07-12 19:00:00,2025-07-13 07:30:00,2025-07-13 19:15:00,70.6895,1.2306,1.2493,1.2493,1.3068,1.1243,4.6062,151.9653,SL,-4.6062,-7.1517,139.9955,132.8437
21,2025-07-13 20:15:00,2025-07-14 00:30:00,2025-07-14 01:30:00,72.0146,1.2850,1.3001,1.3001,1.3295,1.1701,2.2642,293.3603,SL,-2.2642,-6.9355,132.8437,125.9082
22,2025-07-14 05:15:00,2025-07-14 08:00:00,2025-07-15 03:00:00,76.0543,1.3648,1.3873,1.3873,1.4283,1.2486,2.9570,212.9006,TP,10.0000,21.0772,125.9082,146.9854
23,2025-07-16 18:30:00,2025-07-16 20:15:00,2025-07-16 21:15:00,73.2003,1.3088,1.3304,1.3304,1.3664,1.1973,2.7087,271.3198,SL,-2.7087,-7.6206,146.9854,139.3648
24,2025-07-17 00:30:00,2025-07-17 05:30:00,2025-07-17 09:00:00,79.3190,1.3650,1.3910,1.3910,1.4887,1.2519,7.0226,99.2256,SL,-7.0226,-7.0675,139.3648,132.2973
25,2025-07-17 09:30:00,2025-07-18 01:00:00,2025-07-18 20:15:00,71.2316,1.4218,1.4606,1.4606,1.5791,1.3145,8.1152,81.5118,TP,10.0000,8.0697,132.2973,140.3670
26,2025-07-19 13:45:00,2025-07-19 15:00:00,2025-07-19 15:15:00,70.0526,1.3904,1.4097,1.4097,1.4362,1.2688,1.8773,373.8630,SL,-1.8773,-7.3922,140.3670,132.9748
27,2025-07-21 15:00:00,2025-07-21 20:15:00,2025-07-22 00:15:00,70.2067,1.5179,1.5487,1.5487,1.6293,1.3939,5.2015,127.8246,SL,-5.2015,-6.7766,132.9748,126.1982
28,2025-07-25 22:45:00,2025-07-26 18:30:00,2025-07-28 03:00:00,70.7628,1.3283,1.3399,1.3399,1.3964,1.2059,4.2134,149.7582,SL,-4.2134,-6.4597,126.1982,119.7385
29,2025-08-04 03:00:00,2025-08-04 07:30:00,2025-08-04 13:30:00,70.4761,0.9498,0.9592,0.9592,0.9802,0.8633,2.1878,273.6502,SL,-2.1878,-6.2606,119.7385,113.4780
30,2025-08-04 23:15:00,2025-08-05 01:00:00,2025-08-05 19:45:00,74.8302,1.0111,1.0236,1.0236,1.0400,0.9212,1.6015,354.2910,TP,10.0000,35.0748,113.4780,148.5528
31,2025-08-05 11:00:00,2025-08-05 14:00:00,2025-08-05 22:00:00,73.2247,0.9926,1.0057,1.0057,1.0328,0.9052,2.6917,275.9436,TP,10.0000,27.3184,148.5528,175.8712
32,2025-08-05 23:45:00,2025-08-06 04:45:00,2025-08-06 15:45:00,71.0742,0.9085,0.9211,0.9211,0.9838,0.8290,6.8046,129.2297,SL,-6.8046,-8.9228,175.8712,166.9484
33,2025-08-07 13:45:00,2025-08-07 19:45:00,2025-08-07 20:30:00,70.4485,0.9814,0.9927,0.9927,1.0027,0.8934,1.0103,826.2638,SL,-1.0103,-9.1737,166.9484,157.7747
34,2025-08-07 23:45:00,2025-08-08 13:15:00,2025-08-08 20:45:00,73.1948,1.0133,1.0207,1.0207,1.0566,0.9187,3.5136,224.5218,SL,-3.5136,-8.1133,157.7747,149.6615
35,2025-08-09 08:30:00,2025-08-09 14:45:00,2025-08-09 20:45:00,70.5979,1.0886,1.1016,1.1016,1.1288,0.9915,2.4671,303.3093,SL,-2.4671,-7.7864,149.6615,141.8751
36,2025-08-09 20:45:00,2025-08-09 21:45:00,2025-08-11 11:15:00,72.0000,1.1018,1.1141,1.1141,1.1458,1.0027,2.8486,249.0222,TP,10.0000,24.6532,141.8751,166.5283
37,2025-08-13 01:15:00,2025-08-13 02:00:00,2025-08-13 04:00:00,73.5080,1.0526,1.0789,1.0789,1.1086,0.9710,2.7535,302.3956,SL,-2.7535,-8.6288,166.5283,157.8995
38,2025-08-17 16:15:00,2025-08-17 22:30:00,2025-08-19 03:30:00,75.3968,0.9700,0.9821,0.9821,1.0131,0.8839,3.1520,250.4750,TP,10.0000,24.7970,157.8995,182.6965
39,2025-08-22 21:45:00,2025-08-23 05:45:00,2025-08-25 10:15:00,74.3417,0.9677,0.9771,0.9771,0.9946,0.8794,1.7940,509.1902,TP,10.0000,50.4098,182.6965,233.1063
40,2025-08-24 00:30:00,2025-08-24 01:00:00,2025-08-24 18:15:00,70.1543,0.9490,0.9541,0.9541,0.9653,0.8587,1.1739,992.8872,SL,-1.1739,-12.6482,233.1063,220.4581
41,2025-08-24 19:15:00,2025-08-24 19:30:00,2025-08-25 16:00:00,80.3790,0.9513,0.9659,0.9659,0.9945,0.8693,2.9564,372.8488,TP,10.0000,36.9120,220.4581,257.3701
42,2025-08-31 00:45:00,2025-08-31 10:45:00,2025-09-01 20:30:00,72.1289,0.7843,0.7890,0.7890,0.8045,0.7101,1.9701,653.2068,TP,10.0000,64.6675,257.3701,322.0376
43,2025-09-02 09:45:00,2025-09-02 13:00:00,2025-09-02 14:00:00,72.0067,0.7472,0.7542,0.7542,0.7776,0.6788,3.1046,518.6495,SL,-3.1046,-16.6205,322.0376,305.4171
44,2025-09-08 14:30:00,2025-09-08 21:15:00,2025-09-09 00:00:00,72.5776,0.8045,0.8120,0.8120,0.8282,0.7308,1.9960,765.0839,SL,-1.9960,-16.0359,305.4171,289.3812
45,2025-09-09 07:15:00,2025-09-09 13:30:00,2025-09-10 08:15:00,77.8704,0.8307,0.8386,0.8386,0.8600,0.7548,2.5484,567.7751,SL,-2.5484,-15.0368,289.3812,274.3443
46,2025-09-10 15:30:00,2025-09-10 17:15:00,2025-09-12 00:15:00,76.8940,0.8739,0.8846,0.8846,0.9014,0.7962,1.8967,723.2167,SL,-1.8967,-14.4404,274.3443,259.9039
47,2025-09-12 00:45:00,2025-09-12 10:00:00,2025-09-13 10:15:00,70.6791,0.8913,0.8972,0.8972,0.9280,0.8074,3.4370,378.0948,SL,-3.4370,-13.3733,259.9039,246.5306
48,2025-09-13 13:15:00,2025-09-13 13:45:00,2025-09-15 07:30:00,77.7034,0.9356,0.9466,0.9466,0.9716,0.8520,2.6387,467.1427,TP,10.0000,46.2471,246.5306,292.7777
49,2025-09-16 22:00:00,2025-09-17 02:15:00,2025-09-17 19:30:00,70.9866,0.8423,0.8475,0.8475,0.8555,0.7627,0.9499,1541.0838,SL,-0.9499,-16.1800,292.7777,276.5978
50,2025-09-27 03:15:00,2025-09-27 09:15:00,2025-09-27 22:15:00,70.3490,0.5833,0.5876,0.5876,0.6069,0.5288,3.2871,420.7375,SL,-3.2871,-14.2506,276.5978,262.3471
51,2025-10-01 09:45:00,2025-10-01 22:30:00,2025-10-02 02:45:00,76.5239,0.6200,0.6258,0.6258,0.6609,0.5632,5.6052,234.0210,SL,-5.6052,-13.3514,262.3471,248.9958
52,2025-10-02 06:45:00,2025-10-02 13:00:00,2025-10-03 16:00:00,70.7882,0.6778,0.6841,0.6841,0.6963,0.6157,1.7855,697.2755,SL,-1.7855,-13.1471,248.9958,235.8487
53,2025-10-03 16:30:00,2025-10-03 17:45:00,2025-10-05 05:30:00,70.1930,0.6596,0.6717,0.6717,0.6921,0.6046,3.0294,389.2662,SL,-3.0294,-12.1817,235.8487,223.6670
54,2025-10-05 09:30:00,2025-10-05 09:45:00,2025-10-06 00:45:00,70.6911,0.7277,0.7383,0.7383,0.7397,0.6645,0.1838,6084.2130,TP,10.0000,602.3371,223.6670,826.0041
55,2025-10-06 21:00:00,2025-10-07 09:00:00,2025-10-07 19:30:00,71.8746,0.7152,0.7255,0.7255,0.7658,0.6529,5.5579,743.0891,TP,10.0000,73.5658,826.0041,899.5699
56,2025-10-08 18:00:00,2025-10-09 07:45:00,2025-10-10 19:15:00,70.1608,0.6475,0.6544,0.6544,0.6857,0.5889,4.7876,939.4824,TP,10.0000,93.0088,899.5699,992.5787
57,2025-10-10 14:00:00,2025-10-10 14:45:00,2025-10-10 17:45:00,74.1888,0.6484,0.6565,0.6565,0.6701,0.5908,2.0738,2393.1248,TP,10.0000,236.9194,992.5787,1229.4980
58,2025-10-12 21:00:00,2025-10-12 21:15:00,2025-10-13 11:00:00,73.9761,0.4535,0.4635,0.4635,0.4721,0.4171,1.8602,3304.8234,TP,10.0000,327.1775,1229.4980,1556.6755
59,2025-10-14 18:00:00,2025-10-14 19:30:00,2025-10-16 09:30:00,70.0451,0.4204,0.4310,0.4310,0.4415,0.3879,2.4260,3208.3040,TP,10.0000,317.6221,1556.6755,1874.2976
60,2025-10-20 04:00:00,2025-10-20 16:00:00,2025-10-21 15:00:00,71.5230,0.3674,0.3723,0.3723,0.3919,0.3350,5.2787,1775.3366,SL,-5.2787,-95.4902,1874.2976,1778.8074
61,2025-10-21 16:30:00,2025-10-21 16:45:00,2025-10-22 05:15:00,76.3360,0.3882,0.3955,0.3955,0.3988,0.3560,0.8271,10753.2403,TP,10.0000,1064.5708,1778.8074,2843.3782
62,2025-10-24 01:00:00,2025-10-24 14:30:00,2025-10-25 02:45:00,72.6200,0.3579,0.3643,0.3643,0.3848,0.3279,5.6272,2526.4456,SL,-5.6272,-144.6954,2843.3782,2698.6828
