step,floor,ceiling,strategy,return,max_dd,return_dd,final_equity,max_scale
20,40,450,"Up/Down (20%, 40%-450%)",21207.612988173914,-33.33964612130635,636.1079212121804,21307.612988173914,3.2000000000000006
20,40,500,"Up/Down (20%, 40%-500%)",21207.612988173914,-33.33964612130635,636.1079212121804,21307.612988173914,3.2000000000000006
20,40,400,"Up/Down (20%, 40%-400%)",21207.612988173914,-33.33964612130635,636.1079212121804,21307.612988173914,3.2000000000000006
20,40,350,"Up/Down (20%, 40%-350%)",21207.612988173914,-33.33964612130635,636.1079212121804,21307.612988173914,3.2000000000000006
20,60,250,"Up/Down (20%, 60%-250%)",24445.391879817096,-39.029467993051675,626.331670320719,24545.391879817096,2.5
30,60,150,"Up/Down (30%, 60%-150%)",17355.89742597109,-28.19381080473126,615.5924626925056,17455.89742597109,1.5
15,60,300,"Up/Down (15%, 60%-300%)",20698.253854162052,-35.29980653573361,586.3560139687858,20798.253854162052,2.6999999999999993
15,60,500,"Up/Down (15%, 60%-500%)",20698.253854162052,-35.29980653573361,586.3560139687858,20798.253854162052,2.6999999999999993
15,60,450,"Up/Down (15%, 60%-450%)",20698.253854162052,-35.29980653573361,586.3560139687858,20798.253854162052,2.6999999999999993
15,60,400,"Up/Down (15%, 60%-400%)",20698.253854162052,-35.29980653573361,586.3560139687858,20798.253854162052,2.6999999999999993
15,60,350,"Up/Down (15%, 60%-350%)",20698.253854162052,-35.29980653573361,586.3560139687858,20798.253854162052,2.6999999999999993
30,30,250,"Up/Down (30%, 30%-250%)",18429.733461162752,-31.87892446658122,578.1165384196917,18529.733461162752,2.5
20,40,300,"Up/Down (20%, 40%-300%)",19055.39618325665,-33.33964612130635,571.5536425888733,19155.39618325665,3.0
25,50,200,"Up/Down (25%, 50%-200%)",17421.57781694454,-31.12934133438462,559.6513472548531,17521.57781694454,2.0
25,30,300,"Up/Down (25%, 30%-300%)",18712.588457117192,-34.34188579179007,544.8911154899569,18812.588457117192,3.0
15,60,250,"Up/Down (15%, 60%-250%)",18461.387176297332,-35.29980653573361,522.9883386927085,18561.387176297332,2.5
20,60,200,"Up/Down (20%, 60%-200%)",17674.737813932083,-34.206657623764734,516.704613713932,17774.737813932083,2.0
25,40,250,"Up/Down (25%, 40%-250%)",18162.777452413404,-35.27562566057763,514.8817947887247,18262.777452413404,2.5
30,40,200,"Up/Down (30%, 40%-200%)",16689.39756644526,-32.425018012653965,514.7074262204625,16789.39756644526,2.0
25,60,150,"Up/Down (25%, 60%-150%)",13811.519638410835,-28.48026834499559,484.9504741705752,13911.519638410835,1.5
20,50,250,"Up/Down (20%, 50%-250%)",17545.131116311648,-36.24392544336574,484.0847370058585,17645.131116311648,2.5
30,50,150,"Up/Down (30%, 50%-150%)",13031.701584680428,-27.551584173637988,472.9928233001379,13131.701584680428,1.5
20,30,450,"Up/Down (20%, 30%-450%)",14209.6293743128,-31.351270687202828,453.2393444618174,14309.6293743128,3.1000000000000005
20,30,400,"Up/Down (20%, 30%-400%)",14209.6293743128,-31.351270687202828,453.2393444618174,14309.6293743128,3.1000000000000005
20,30,500,"Up/Down (20%, 30%-500%)",14209.6293743128,-31.351270687202828,453.2393444618174,14309.6293743128,3.1000000000000005
20,30,350,"Up/Down (20%, 30%-350%)",14209.6293743128,-31.351270687202828,453.2393444618174,14309.6293743128,3.1000000000000005
20,30,300,"Up/Down (20%, 30%-300%)",13458.191548116833,-30.31192004924187,443.99007143902236,13558.191548116833,3.0
25,40,200,"Up/Down (25%, 40%-200%)",12656.387058441967,-29.182256073238566,433.7014597733052,12756.387058441967,2.0
