baseline_pct,step_pct,floor_mult,ceiling_mult,min_position_pct,max_position_pct,max_total_exposure,return,max_dd,return_dd,final_equity
50,30,0.7,2.0,35.0,100.0,325.0,604.0344831600428,-20.520732333978376,29.435327810395837,704.0344831600428
50,15,0.7,5.0,35.0,250.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.7,4.0,35.0,200.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.7,2.5,35.0,125.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.7,3.0,35.0,150.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.7,2.0,35.0,100.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.7,3.5,35.0,175.0,254.99999999999997,500.3923528989421,-17.075535903480894,29.30463534072367,600.392352898942
50,15,0.6,3.5,30.0,175.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,15,0.6,2.0,30.0,100.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,15,0.6,2.5,30.0,125.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,15,0.6,4.0,30.0,200.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,15,0.6,5.0,30.0,250.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,15,0.6,3.0,30.0,150.0,225.0,413.59647783165497,-15.688931708697307,26.362309780619025,513.596477831655
50,30,0.6,2.5,30.0,125.0,305.0,508.5234854996672,-19.548483327935813,26.013449584242696,608.5234854996671
50,25,0.6,2.0,30.0,100.0,275.0,473.8452156244653,-18.27691937396316,25.92587984490938,573.8452156244654
50,30,0.6,5.0,30.0,250.0,315.0,506.7608184866076,-19.548483327935813,25.923280593457584,606.7608184866076
50,30,0.6,3.5,30.0,175.0,315.0,506.7608184866076,-19.548483327935813,25.923280593457584,606.7608184866076
50,30,0.6,3.0,30.0,150.0,315.0,506.7608184866076,-19.548483327935813,25.923280593457584,606.7608184866076
50,30,0.6,4.0,30.0,200.0,315.0,506.7608184866076,-19.548483327935813,25.923280593457584,606.7608184866076
50,25,0.6,3.5,30.0,175.0,282.5,472.77640922551376,-18.27691937396316,25.867401368472365,572.7764092255137
50,25,0.6,3.0,30.0,150.0,282.5,472.77640922551376,-18.27691937396316,25.867401368472365,572.7764092255137
50,25,0.6,5.0,30.0,250.0,282.5,472.77640922551376,-18.27691937396316,25.867401368472365,572.7764092255137
50,25,0.6,4.0,30.0,200.0,282.5,472.77640922551376,-18.27691937396316,25.867401368472365,572.7764092255137
50,25,0.6,2.5,30.0,125.0,282.5,472.77640922551376,-18.27691937396316,25.867401368472365,572.7764092255137
50,20,0.6,2.5,30.0,125.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,20,0.6,2.0,30.0,100.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,20,0.6,3.0,30.0,150.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,20,0.6,4.0,30.0,200.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,20,0.6,3.5,30.0,175.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,20,0.6,5.0,30.0,250.0,250.0,438.95421255160494,-16.990440459926315,25.835363926375138,538.954212551605
50,30,0.6,2.0,30.0,100.0,300.0,502.11495564696185,-19.548483327935813,25.68562211316993,602.1149556469618
40,30,0.7,2.5,27.999999999999996,100.0,260.00000000000006,409.42689929042547,-16.5714303596162,24.70679298077851,509.4268992904254
40,25,0.7,3.5,27.999999999999996,140.0,242.00000000000003,383.50318750470353,-15.523967954024599,24.703940940903585,483.50318750470353
40,25,0.7,3.0,27.999999999999996,120.00000000000001,242.00000000000003,383.50318750470353,-15.523967954024599,24.703940940903585,483.50318750470353
40,25,0.7,5.0,27.999999999999996,200.0,242.00000000000003,383.50318750470353,-15.523967954024599,24.703940940903585,483.50318750470353
40,25,0.7,2.5,27.999999999999996,100.0,242.00000000000003,383.50318750470353,-15.523967954024599,24.703940940903585,483.50318750470353
40,25,0.7,4.0,27.999999999999996,160.0,242.00000000000003,383.50318750470353,-15.523967954024599,24.703940940903585,483.50318750470353
40,25,0.7,2.0,27.999999999999996,80.0,240.0,382.8713272088743,-15.523967954024599,24.6632386992022,482.8713272088743
