strategy,step,floor,ceiling,return,max_dd,return_dd,final_equity,floor_pct,ceiling_pct,max_exposure,max_positions
"Up/Down (25%, 60%-300%) [15%-75% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,75.0,141.25,6.0
"Up/Down (25%, 60%-350%) [15%-88% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,87.5,141.25,6.0
"Up/Down (25%, 60%-200%) [15%-50% per strategy]",25,,,154.38334520401102,-9.29309883303165,16.612687326133514,254.38334520401102,15.0,50.0,137.5,6.0
"Up/Down (30%, 60%-500%) [15%-125% per strategy]",30,,,164.76396770523758,-9.989926125101688,16.49301162410352,264.7639677052376,15.0,125.0,157.5,6.0
"Up/Down (30%, 60%-350%) [15%-88% per strategy]",30,,,164.76396770523758,-9.989926125101688,16.49301162410352,264.7639677052376,15.0,87.5,157.5,6.0
"Up/Down (30%, 60%-300%) [15%-75% per strategy]",30,,,164.76396770523758,-9.989926125101688,16.49301162410352,264.7639677052376,15.0,75.0,157.5,6.0
"Up/Down (30%, 60%-400%) [15%-100% per strategy]",30,,,164.76396770523758,-9.989926125101688,16.49301162410352,264.7639677052376,15.0,100.0,157.5,6.0
"Up/Down (30%, 60%-450%) [15%-112% per strategy]",30,,,164.76396770523758,-9.989926125101688,16.49301162410352,264.7639677052376,15.0,112.5,157.5,6.0
"Up/Down (30%, 60%-250%) [15%-62% per strategy]",30,,,164.71886751229886,-9.989926125101688,16.488497056891116,264.71886751229886,15.0,62.5,152.5,6.0
"Up/Down (30%, 60%-200%) [15%-50% per strategy]",30,,,161.63940166759738,-9.989926125101688,16.180239938055802,261.6394016675974,15.0,50.0,150.0,6.0
"Up/Down (15%, 50%-200%) [12%-50% per strategy]",15,,,117.43723645970883,-7.375512911851538,15.922585705327924,217.43723645970883,12.5,50.0,100.0,6.0
