rsi_trigger,limit_offset,tp_pct,activation_pct,trail_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,tp_count,trail_sl_count,initial_sl_count
28,0.15,2.0,0.4,0.8,22,22.727272727272727,-24.030647722840513,-35.63736728736668,-0.6743104093258677,75.96935227715949,2,10,10
25,0.25,2.5,0.4,0.8,20,25.0,-16.471086066645242,-24.414227273074136,-0.6746511319983822,83.52891393335476,1,11,8
30,0.2,1.5,0.6,0.8,27,22.22222222222222,-34.591336280235666,-51.26977184627517,-0.6746926119342344,65.40866371976433,4,6,17
28,0.15,2.0,0.5,0.8,22,22.727272727272727,-24.459032177880644,-36.00030247784926,-0.6794118519679139,75.54096782211936,2,9,11
28,0.15,2.5,0.5,0.8,22,22.727272727272727,-24.002049776113694,-35.239413719160225,-0.6811137656090857,75.9979502238863,1,10,11
25,0.25,1.5,0.4,0.8,20,25.0,-17.11876921161499,-25.055777254105216,-0.6832264286996005,82.88123078838501,3,9,8
25,0.2,2.5,0.6,1.0,19,26.31578947368421,-24.939555193277457,-36.24954712320812,-0.6879963247129881,75.06044480672254,3,6,10
25,0.2,2.5,0.5,1.0,19,26.31578947368421,-24.939555193277457,-36.24954712320812,-0.6879963247129881,75.06044480672254,3,7,9
28,0.15,2.0,0.6,0.8,22,22.727272727272727,-25.67590314615292,-37.03125794662614,-0.6933575733009149,74.32409685384708,2,8,12
25,0.2,2.5,0.4,0.8,20,25.0,-17.830219745519358,-25.35238894767897,-0.7032954481061529,82.16978025448064,1,11,8
30,0.25,1.5,0.6,1.0,27,22.22222222222222,-36.696602956981515,-51.826598616789454,-0.7080650464507522,63.303397043018485,5,5,17
30,0.25,1.5,0.4,1.0,27,22.22222222222222,-36.696602956981515,-51.826598616789454,-0.7080650464507522,63.303397043018485,5,8,14
30,0.25,1.5,0.5,1.0,27,22.22222222222222,-36.696602956981515,-51.826598616789454,-0.7080650464507522,63.303397043018485,5,7,15
25,0.25,2.5,0.4,1.0,19,21.052631578947366,-27.636492541566955,-38.75556367140476,-0.7130974219827474,72.36350745843305,3,8,8
28,0.15,2.5,0.6,0.8,22,22.727272727272727,-25.226282162087614,-35.23941371916025,-0.7158541956210716,74.77371783791239,1,9,12
25,0.2,1.5,0.5,0.8,20,30.0,-19.437174758075216,-26.99265966009487,-0.7200911285822844,80.56282524192478,3,8,9
28,0.25,2.0,0.4,0.8,21,19.047619047619047,-30.230023803707468,-41.81363205983061,-0.7229705317263925,69.76997619629253,2,9,10
25,0.25,2.5,0.5,1.2,19,26.31578947368421,-28.666900803982752,-39.627643749284246,-0.7234066447491099,71.33309919601724,3,7,9
25,0.25,2.5,0.6,1.2,19,26.31578947368421,-28.666900803982752,-39.627643749284246,-0.7234066447491099,71.33309919601724,3,6,10
25,0.2,2.5,0.4,1.0,19,21.052631578947366,-28.373779608865902,-39.16630790630824,-0.724443561970158,71.6262203911341,3,8,8
28,0.25,2.0,0.5,0.8,21,19.047619047619047,-30.639970622061586,-42.155517175880306,-0.7268318045826881,69.36002937793842,2,8,11
25,0.2,2.5,0.6,1.2,19,26.31578947368421,-29.35918010249993,-40.00322977502274,-0.73392024263079,70.64081989750007,3,6,10
25,0.2,2.5,0.5,1.2,19,26.31578947368421,-29.35918010249993,-40.00322977502274,-0.73392024263079,70.64081989750007,3,7,9
30,0.2,1.5,0.4,0.8,27,18.51851851851852,-41.43795176843513,-56.37058136976913,-0.7350988895540788,58.56204823156487,3,10,14
25,0.2,1.5,0.6,0.8,20,30.0,-20.771512258412685,-28.201857968655936,-0.7365299223015209,79.22848774158732,3,7,10
28,0.25,2.0,0.6,0.8,21,19.047619047619047,-31.822070842453808,-43.14135839463585,-0.7376232929747184,68.17792915754619,2,7,12
25,0.15,2.5,0.5,1.2,20,30.0,-29.417566551502816,-39.85072257407731,-0.7381940565022224,70.58243344849718,3,8,9
25,0.15,2.5,0.6,1.2,20,30.0,-29.417566551502816,-39.85072257407731,-0.7381940565022224,70.58243344849718,3,7,10
25,0.15,2.5,0.4,1.2,20,30.0,-29.417566551502816,-39.85072257407731,-0.7381940565022224,70.58243344849718,3,9,8
28,0.2,2.0,0.4,0.8,21,19.047619047619047,-31.162609501960603,-42.12618569855804,-0.7397443890351384,68.8373904980394,2,9,10
28,0.2,2.0,0.5,0.8,21,19.047619047619047,-31.55875951094259,-42.45924178754489,-0.7432718574875758,68.4412404890574,2,8,11
28,0.15,2.5,0.6,1.0,22,27.27272727272727,-30.758996167738147,-40.99386851269337,-0.7503316296732013,69.24100383226185,3,7,12
28,0.15,2.5,0.5,1.0,22,27.27272727272727,-30.758996167738147,-40.99386851269337,-0.7503316296732013,69.24100383226185,3,8,11
