config,regime,direction,signal_type,pnl,return_pct,leverage,size
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,161.86906997056593,28.30745036367215,5,1.0
Static_Baseline,STRONG_DOWNTREND_HIGH,short,ema_rejection,49.74849862905315,6.943155452436184,3,0.75
Static_Baseline,STRONG_DOWNTREND_HIGH,short,ema_rejection,-79.48415655994862,-9.893080249879857,3,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,resistance_rejection,49.48660880953446,7.189365165491009,5,1.0
Static_Baseline,STRONG_DOWNTREND_HIGH,short,ema_rejection,-12.255895595439155,-1.4179104477612035,3,0.75
Static_Baseline,STRONG_DOWNTREND_HIGH,short,breakdown,19.867217024388278,2.8658175355450406,3,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,79.32536780504078,10.567632850241553,10,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,101.77817629856055,12.252591894439254,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,31.74473002941906,3.554868624420439,5,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,ema_rejection,-163.32765359685487,-16.500622665006308,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,221.59483195312163,27.401372212692948,5,0.75
Static_Baseline,WEAK_UPTREND_LOW,long,ema_pullback,-43.233975415728075,-3.97219463753717,5,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,ema_rejection,91.8159169435252,9.446254071661283,10,1.0
Static_Baseline,WEAK_UPTREND_HIGH,long,ema_pullback,-11.095628592788467,-0.8228058510638223,3,0.75
Static_Baseline,WEAK_UPTREND_NORMAL,long,ema_pullback,28.173738489354285,2.823920265780789,5,1.0
Static_Baseline,STRONG_DOWNTREND_HIGH,short,ema_rejection,27.06746787240182,2.656434474616295,3,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-168.6132568945343,-14.735165272799716,5,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,82.88299811457787,8.830455259026696,5,1.0
Static_Baseline,STRONG_UPTREND_NORMAL,long,support_bounce,177.56475979228605,17.220543806646514,5,0.5
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,383.02942584560145,31.575212866603596,5,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,259.0613542275443,16.352648418058987,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-530.6169676895332,-28.28348504551365,5,0.75
Static_Baseline,WEAK_UPTREND_HIGH,long,ema_pullback,70.12801979073653,5.463773885350314,3,0.75
Static_Baseline,STRONG_UPTREND_HIGH,long,breakout,6.539939496006814,0.6663376110562773,3,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-50.17736471698346,-3.361344537815129,5,1.0
