concept,direction,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,exit_reason,bars_held,max_profit_pct
7_EMA_Distance,LONG,326,337,0.313,0.3082,-1.633546325878603,SL,11,0.25559105431310636
7_EMA_Distance,LONG,347,358,0.3174,0.3128571428571429,-1.531271941668912,SL,11,1.0396975425330717
7_EMA_Distance,LONG,349,355,0.3179,0.3129,-1.6728216420257958,SL,6,0.880780119534435
7_EMA_Distance,LONG,350,353,0.3201,0.3148714285714286,-1.7334181282634853,SL,3,0.0
7_EMA_Distance,LONG,728,734,0.308,0.3033571428571429,-1.6074211502782842,SL,6,1.3311688311688288
7_EMA_Distance,LONG,729,737,0.3079,0.3027142857142857,-1.7842202941585883,SL,8,0.06495615459564077
7_EMA_Distance,SHORT,1007,1025,0.2775,0.2804142857142857,-1.150193050193046,SL,18,0.4684684684684769
7_EMA_Distance,SHORT,1008,1025,0.2774,0.2805714285714285,-1.2432691317334348,SL,17,0.32444124008650194
7_EMA_Distance,LONG,2121,2135,0.3067,0.3037428571428571,-1.064180912012677,SL,14,1.3694163677861224
7_EMA_Distance,LONG,2122,2137,0.3068,0.30355714285714286,-1.156993853604028,SL,15,1.3363754889178592
7_EMA_Distance,LONG,2123,2135,0.3079,0.3044428571428571,-1.222813529439065,SL,12,0.9743423189347199
7_EMA_Distance,LONG,2124,2135,0.3083,0.3047142857142857,-1.263060099161305,SL,11,0.8433344145312978
7_EMA_Distance,LONG,2125,2128,0.3088,0.30504285714285717,-1.3166913397483315,SL,3,0.2914507772020584
7_EMA_Distance,LONG,2126,2135,0.3084,0.30445714285714287,-1.3784880489160627,SL,9,0.8106355382619982
7_EMA_Distance,LONG,2129,2135,0.3098,0.3047714285714286,-1.7231670201973655,SL,6,0.3550677856681697
7_EMA_Distance,LONG,2822,2841,0.3165,0.3122714285714286,-1.4360415256149812,SL,19,0.6951026856240062
7_EMA_Distance,LONG,2823,2841,0.3163,0.3118571428571429,-1.5046339370398791,SL,18,0.7587733164716907
7_EMA_Distance,LONG,2824,2841,0.3167,0.31217142857142854,-1.5299246695836557,SL,17,0.6315124723713299
7_EMA_Distance,LONG,2826,2841,0.3166,0.31188571428571427,-1.5890352856240453,SL,15,0.6632975363234336
7_EMA_Distance,LONG,3188,3354,0.3265,0.32297142857142863,-1.1807263180923067,SL,166,3.859111791730475
7_EMA_Distance,LONG,3189,3354,0.3268,0.32294285714285714,-1.2802762720755316,SL,165,3.7637698898408916
