vol_thresh,min_bars,sl_type,sl_value,tp_type,tp_value,session,max_hold,trades,return,max_dd,return_dd,win_rate,top5_pct,without_top5
1.3,3,atr,1.0,rr_multiple,2.5,asia_eu,90,156,-11.889331119051471,-12.080670006681085,0.9841615665750495,37.17948717948718,0.0,-14.658641751004616
1.2,3,atr,1.0,rr_multiple,2.5,asia_eu,90,187,-12.336501808696793,-12.542031384435518,0.9836127362913647,39.037433155080215,0.0,-15.464922398056991
1.2,5,atr,1.0,atr_multiple,2.0,all,90,183,-16.572588765965403,-16.896635424524494,0.980821823373856,36.6120218579235,0.0,-21.47435773229658
1.5,5,atr,1.5,atr_multiple,4.0,all,90,86,3.5293967173664424,-3.6040442615354844,0.9792878392294664,39.53488372093023,197.17733057527772,-3.4297735153481863
1.2,3,atr,1.0,rr_multiple,2.0,asia_eu,90,187,-11.084373352728758,-11.437022980441022,0.9691659596806489,45.45454545454545,0.0,-14.464764523170814
1.2,3,atr,1.0,atr_multiple,2.0,asia_eu,90,187,-10.856617506995212,-11.210170440653146,0.9684614131846032,45.98930481283423,0.0,-14.237008677437245
1.2,3,atr,1.0,rr_multiple,2.0,all,90,610,-33.79320283082241,-35.279450104272904,0.9578721530789822,44.59016393442623,0.0,-38.70741706015731
1.2,3,atr,1.0,atr_multiple,2.0,all,90,610,-33.5654469850888,-35.05680704935851,0.9574587593738945,44.75409836065574,0.0,-38.4796612144237
1.5,5,atr,2.0,rr_multiple,2.5,overnight,90,32,2.537415239289521,-2.651855209425827,0.9568453172972876,37.5,301.9927984622384,-5.125396050448203
1.5,5,atr,2.0,atr_multiple,5.0,overnight,90,32,2.5374152392894764,-2.6518552094258676,0.9568453172972563,37.5,301.9927984622428,-5.125396050448225
1.3,3,atr,1.0,rr_multiple,2.0,asia_eu,90,156,-9.451520377956312,-10.008892658308383,0.9443122931397014,44.871794871794876,0.0,-12.69119394568144
1.3,3,atr,1.0,atr_multiple,2.0,asia_eu,90,156,-9.223764532222809,-9.78215645117229,0.9429172982729628,45.51282051282051,0.0,-12.463438099947894
1.2,4,atr,1.0,rr_multiple,2.0,all,90,327,-18.81437515111405,-20.001143027504508,0.9406649972574828,42.813455657492355,0.0,-23.716144117445268
1.3,3,atr,1.0,atr_multiple,3.0,asia_eu,90,156,-11.140740204481059,-11.844097650835254,0.9406153624286783,34.61538461538461,0.0,-13.984536991169186
1.2,3,atr,1.5,atr_multiple,2.0,all,90,610,-29.689954579596023,-31.57554290570459,0.940283265065637,53.278688524590166,0.0,-34.65436150404246
1.2,4,atr,1.0,atr_multiple,2.0,all,90,327,-18.58661930538046,-19.776022800308045,0.9398562842014392,43.11926605504588,0.0,-23.488388271711635
1.2,3,atr,1.0,atr_multiple,3.0,asia_eu,90,187,-10.649092737624372,-11.432135105332783,0.9315051510069066,36.898395721925134,0.0,-13.92965631779485
1.2,5,atr,2.0,atr_multiple,6.0,asia_eu,90,52,2.926509855363271,-3.144306367000973,0.930733050085881,38.46153846153847,241.54660771908647,-4.142375424831452
1.2,4,atr,1.5,atr_multiple,2.0,all,90,327,-16.367303013934986,-17.59145418128198,0.9304121674801883,51.681957186544345,0.0,-21.331709938381437
1.5,4,atr,1.5,atr_multiple,6.0,asia_eu,90,44,3.7859101312644707,-4.118840056139,0.919169008668276,34.090909090909086,191.05933228409452,-3.4474244864053114
1.5,3,atr,1.0,rr_multiple,2.5,asia_eu,90,109,-7.240237197330961,-7.881674768762401,0.9186165897159748,39.44954128440367,0.0,-10.048132210753502
1.2,3,atr,1.0,rr_multiple,2.5,all,90,610,-31.475949100289025,-34.299326468901484,0.9176841746098904,39.01639344262295,0.0,-36.65182820634021
1.2,5,atr,1.0,rr_multiple,2.5,all,90,183,-14.30706827340289,-15.784563787710107,0.9063961770386333,33.33333333333333,0.0,-19.46900243777946
