entry_idx,exit_idx,entry_price,exit_price,pnl_gross,pnl_net,exit_reason,entry_rsi,entry_bb_dist,entry_atr,entry_bb_width,entry_volume_ratio,entry_hour,entry_trend_15m,entry_distance_from_sma50,hold_bars
20162,20167,4.2e-06,4.237142857142857e-06,0.008843537414966018,0.007843537414966018,TP,36.36363636363608,-0.0497632642078434,1.8571428571428516e-08,1.0373533288257872,0.9473136157634287,13,0,1.0684377707190285,5
20233,20245,4.21e-06,4.198214285714286e-06,-0.002799457074991518,-0.003799457074991518,SL,25.000000000000014,-0.10739838270272635,7.857142857142781e-09,0.9433778193244887,0.6760103155975263,14,0,-0.6044007932760266,12
20246,20247,4.19e-06,4.2099999999999995e-06,0.004773269689737347,0.003773269689737347,TP,33.333333333333016,-0.07645969974612135,9.999999999999965e-09,1.1756229111623888,0.4054618452674971,14,0,-1.0251807058156635,1
20298,20301,4.21e-06,4.238571428571428e-06,0.0067865626060399364,0.005786562606039936,TP,28.57142857142857,-0.11654829551148327,1.4285714285714149e-08,1.4175543665729053,0.6684394011451636,15,0,-1.2849371600074808,3
20314,20315,4.2e-06,4.178571428571428e-06,-0.005102040816326592,-0.006102040816326592,SL,39.99999999999977,-0.01810651425082111,1.428571428571421e-08,1.3120202758079391,1.305233528027092,15,0,-1.2229539040451674,1
20316,20323,4.18e-06,4.2099999999999995e-06,0.0071770334928229484,0.006177033492822948,TP,26.666666666666515,-0.07816427156114292,1.4999999999999916e-08,1.928512197722401,1.3335306146005943,15,0,-1.6192807380907572,7
20342,20344,4.13e-06,4.106428571428572e-06,-0.005707367692839749,-0.006707367692839749,SL,30.769230769230774,-0.018816720560674977,1.5714285714285562e-08,1.9049381696600638,1.6892212492410783,16,0,-1.615131735671056,2
20350,20351,4.1e-06,4.147142857142857e-06,0.011498257839721138,0.010498257839721137,TP,37.49999999999995,-0.0520698317150813,2.3571428571428527e-08,2.1875358505576266,0.48238418417260887,16,0,-1.9607843137254957,1
20452,20462,4.24e-06,4.220714285714286e-06,-0.004548517520215567,-0.005548517520215567,SL,38.46153846153846,-0.04590843404387146,1.2857142857142733e-08,1.4998871488234116,2.0465983042344176,17,0,-1.027077497665731,10
20463,20468,4.19e-06,4.1717857142857145e-06,-0.004347084896010767,-0.005347084896010767,SL,16.666666666666558,-0.36903445113356553,1.2142857142857087e-08,2.0466078148325595,4.407173787057324,18,0,-1.9240672253171824,5
20530,20534,4.21e-06,4.197142857142858e-06,-0.003053953172717949,-0.004053953172717949,SL,40.0,-0.03822137538977215,8.571428571428489e-09,0.8930511680968638,0.32602278316963235,19,0,2.0119547440719725e-14,4
20561,20569,4.18e-06,4.160714285714286e-06,-0.00461380724538607,-0.00561380724538607,SL,30.76923076923056,-0.2657600373690639,1.2857142857142856e-08,1.391381547177112,0.44375727076123195,19,0,-1.0041682455475511,8
20584,20587,4.13e-06,4.117142857142858e-06,-0.0031131096506398226,-0.004113109650639823,SL,16.666666666666657,-0.23135076825219208,8.571428571428489e-09,1.029707134815625,1.2896894760625186,20,0,-1.5306852319870334,3
