entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,strategy
2025-06-12 14:35:00,2025-06-12 15:15:00,SHORT,1.37312,1.3426925,2.266155504704148,81.38000878687016,TARGET,MEAN_REV_SHORT
2025-06-12 15:15:00,2025-06-12 15:25:00,LONG,1.35504,1.3384695408745155,-1.2228760129209815,-44.11378895153499,STOP,EMA_PB_LONG
2025-06-12 15:50:00,2025-06-12 16:35:00,LONG,1.28162,1.347431,5.13498540909163,184.78540711531787,TARGET,BB_BOUNCE_LONG
2025-06-12 17:20:00,2025-06-12 17:25:00,SHORT,1.33087,1.3419320977397786,-0.8243410943378215,-29.969041416153466,STOP,MEAN_REV_SHORT
2025-06-18 04:10:00,2025-06-18 04:20:00,SHORT,1.10757,1.099141,0.7668715842644502,27.83376413407329,TARGET,MEAN_REV_SHORT
2025-06-18 05:00:00,2025-06-18 06:35:00,SHORT,1.12349,1.1065655,1.5294621059485314,55.597287583703434,TARGET,MEAN_REV_SHORT
2025-06-18 08:45:00,2025-06-18 10:30:00,LONG,1.07917,1.0725200684739817,-0.6162079677917487,-22.468218500717867,STOP,BB_BOUNCE_LONG
2025-06-18 10:35:00,2025-06-18 11:25:00,LONG,1.08031,1.0829659999999999,0.24585535633288025,8.953347526115136,TARGET,BB_BOUNCE_LONG
2025-06-18 12:00:00,2025-06-18 12:15:00,SHORT,1.08564,1.0782155,0.6885914735968779,25.088858558608194,TARGET,MEAN_REV_SHORT
2025-06-18 12:50:00,2025-06-18 13:10:00,LONG,1.07522,1.0643312020402607,-1.012704187025859,-36.94873373857672,STOP,BB_BOUNCE_LONG
2025-06-18 13:20:00,2025-06-18 13:35:00,LONG,1.0527,1.0754,2.156359836610622,78.51591069635657,TARGET,BB_BOUNCE_LONG
2025-06-18 16:00:00,2025-06-18 17:15:00,LONG,1.10401,1.1205701499999998,1.4999999999999902,54.852529575737066,TARGET,EMA_PB_LONG
2025-06-18 18:05:00,2025-06-18 19:10:00,LONG,1.1229,1.1397434999999998,1.4999999999999902,55.01708716446427,TARGET,EMA_PB_LONG
2025-06-18 19:25:00,2025-06-18 19:30:00,LONG,1.123,1.1127046929201876,-0.9167682172584568,-33.726153779516615,STOP,EMA_PB_LONG
2025-06-18 19:40:00,2025-06-18 19:55:00,LONG,1.12168,1.112710832101282,-0.7996191336850145,-29.362526326298664,STOP,EMA_PB_LONG
2025-06-18 20:00:00,2025-06-18 20:05:00,LONG,1.10623,1.0981267451758847,-0.7325108543535519,-26.85525062304096,STOP,BB_BOUNCE_LONG
2025-06-18 20:10:00,2025-06-18 20:35:00,LONG,1.10319,1.1180555,1.3475013370317201,49.32960440566856,TARGET,BB_BOUNCE_LONG
2025-06-18 22:10:00,2025-06-18 22:20:00,LONG,1.13085,1.1208514248705006,-0.8841645779280483,-32.45490858965346,STOP,EMA_PB_LONG
2025-06-19 00:35:00,2025-06-19 00:55:00,SHORT,1.13498,1.1174815,1.565887220504325,57.377167211881456,TARGET,MEAN_REV_SHORT
2025-06-19 04:35:00,2025-06-19 05:05:00,LONG,1.09575,1.1072760000000001,1.0518822724161714,38.66372969385592,TARGET,BB_BOUNCE_LONG
2025-06-19 05:55:00,2025-06-19 06:40:00,LONG,1.09023,1.0833086763117892,-0.6348498654605739,-23.384082550082006,STOP,BB_BOUNCE_LONG
2025-06-19 10:50:00,2025-06-19 11:00:00,LONG,1.0972,1.0908070896618483,-0.5826567934881233,-21.434351289445473,STOP,EMA_PB_LONG
2025-06-19 11:35:00,2025-06-19 12:00:00,LONG,1.08526,1.0791551553977456,-0.562523690383343,-20.66959478029867,STOP,BB_BOUNCE_LONG
2025-06-19 12:05:00,2025-06-19 12:30:00,LONG,1.08264,1.090542,0.729882509421409,26.788921208321586,TARGET,BB_BOUNCE_LONG
2025-06-19 13:20:00,2025-06-19 13:25:00,LONG,1.0808,1.0820494999999999,0.1156088082901574,4.249391045773753,TARGET,BB_BOUNCE_LONG
2025-06-19 13:50:00,2025-06-19 14:30:00,LONG,1.06821,1.061751603388187,-0.6045999018744475,-22.228197723942554,STOP,BB_BOUNCE_LONG
2025-06-19 14:35:00,2025-06-19 14:45:00,LONG,1.06102,1.0512003788207296,-0.9254887918484611,-33.98457756524139,STOP,BB_BOUNCE_LONG
2025-06-19 14:50:00,2025-06-19 14:55:00,LONG,1.04921,1.0438666759590702,-0.5092711698258423,-18.666168817102555,STOP,BB_BOUNCE_LONG
2025-06-19 15:00:00,2025-06-19 15:05:00,LONG,1.03055,1.0288442235140733,-0.16552098257500703,-6.060613391422098,STOP,BB_BOUNCE_LONG
2025-06-19 15:10:00,2025-06-19 15:20:00,LONG,1.01996,1.0154715741619325,-0.4400590060460674,-16.10759291997392,STOP,BB_BOUNCE_LONG
2025-06-19 15:25:00,2025-06-19 15:45:00,LONG,1.0165,0.9990441099004254,-1.7172543137800922,-62.80177941823031,STOP,BB_BOUNCE_LONG
