session,leverage,sl_mult,tp_mult,total_return,max_drawdown,profit_dd_ratio,win_rate,total_trades,final_balance
Euro (07-15),5,1.5,4.0,0.8803377441561314,-0.3275411139605724,2.6877167678623137,31.57894736842105,266,10088.033774415613
Euro (07-15),20,2.0,4.0,4.111992610763028,-1.625222950523824,2.5301098593504943,37.9746835443038,237,10411.199261076303
Euro (07-15),15,2.0,4.0,3.074509275083983,-1.220205283531779,2.5196655977304747,37.9746835443038,237,10307.450927508398
Euro (07-15),10,2.0,4.0,2.0433409387961547,-0.8143261415303437,2.5092414876380524,37.9746835443038,237,10204.334093879615
Euro (07-15),5,2.0,4.0,1.0185004725179896,-0.4075896518326781,2.4988379070430864,37.9746835443038,237,10101.850047251799
All Hours,20,2.0,4.0,8.823952939274477,-3.628960163225989,2.431537559627098,37.00906344410876,662,10882.395293927448
All Hours,15,2.0,4.0,6.565936202941011,-2.729739107216906,2.405334702346439,37.00906344410876,662,10656.593620294101
All Hours,10,2.0,4.0,4.342761175599735,-1.8251657905475065,2.3793790120825187,37.00906344410876,662,10434.276117559973
All Hours,5,2.0,4.0,2.1541953578267568,-0.9152494499396088,2.3536702021169176,37.00906344410876,662,10215.419535782676
Euro (07-15),20,1.5,3.0,2.0009807138732687,-1.3013419221619897,1.5376287198593672,36.2962962962963,270,10200.098071387327
Euro (07-15),15,1.5,3.0,1.5005879698405078,-0.9766280193932093,1.5364989945433278,36.2962962962963,270,10150.05879698405
Euro (07-15),10,1.5,3.0,1.0002795796310602,-0.6514974537916284,1.5353545494453835,36.2962962962963,270,10100.027957963106
Euro (07-15),5,1.5,3.0,0.50007660020392,-0.3259536351120811,1.534195500019399,36.2962962962963,270,10050.007660020392
US (13-21),20,1.5,4.0,2.989933654319157,-2.7196210353305488,1.099393487356136,31.679389312977097,262,10298.993365431916
US (13-21),15,1.5,4.0,2.2417090274945437,-2.043290284411582,1.097107466617305,31.679389312977097,262,10224.170902749454
US (13-21),10,1.5,4.0,1.493935798567327,-1.3645647275851225,1.0948075737023872,31.679389312977097,262,10149.393579856733
US (13-21),5,1.5,4.0,0.74667819446875,-0.6834619787934032,1.0924941220387268,31.679389312977097,262,10074.667819446875
US (13-21),20,2.0,5.0,2.77575184712281,-4.001958707430275,0.6935983227336113,31.140350877192986,228,10277.575184712281
US (13-21),15,2.0,5.0,2.08561861635917,-3.0116622553840333,0.6925141133042562,31.140350877192986,228,10208.561861635917
US (13-21),10,2.0,5.0,1.3928782532724653,-2.0145674108088025,0.6914031497775777,31.140350877192986,228,10139.287825327247
US (13-21),5,2.0,5.0,0.6976367311265312,-1.0106783108612933,0.6902658577208507,31.140350877192986,228,10069.763673112653
US (13-21),20,2.0,4.0,1.9689740662169424,-4.253791200841975,0.4628751091090727,36.40167364016737,239,10196.897406621694
US (13-21),15,2.0,4.0,1.4816961374726816,-3.2035788272690247,0.46251277629269155,36.40167364016737,239,10148.169613747268
US (13-21),10,2.0,4.0,0.991063594777279,-2.1445664046137582,0.46212772551371384,36.40167364016737,239,10099.106359477728
US (13-21),5,2.0,4.0,0.4971427003280042,-1.0767184753388594,0.461720228374038,36.40167364016737,239,10049.7142700328
US (13-21),5,1.5,3.0,0.15226301632288594,-0.7966909781260813,0.19111929280412834,35.18518518518518,270,10015.226301632289
US (13-21),10,1.5,3.0,0.3011034935815041,-1.5887022835468358,0.18952795416727142,35.18518518518518,270,10030.11034935815
US (13-21),15,1.5,3.0,0.44650817306481255,-2.376043522498743,0.1879208730129853,35.18518518518518,270,10044.650817306481
US (13-21),20,1.5,3.0,0.5884641545608974,-3.1587244899130584,0.18629803151242685,35.18518518518518,270,10058.84641545609
