sl_type,sl_value,tp_type,tp_value,session,return,max_dd,return_dd,win_rate,trades
atr,1.5,rr_multiple,2.0,us,-2.4422065480699806,-3.5495870193070678,0.6880255462920686,28.57142857142857,14
atr,1.0,rr_multiple,4.0,all,-2.6847242921184873,-3.9871982303025995,0.673336046277974,21.568627450980394,51
atr,2.0,rr_multiple,4.0,asia_eu,-1.6717562307017368,-3.1948695435489687,0.5232627523328209,16.666666666666664,12
atr,1.0,rr_multiple,3.0,all,-1.694224721349666,-3.7108905125285037,0.4565547583874323,27.450980392156865,51
atr,2.0,rr_multiple,3.0,all,1.5439690364318817,-3.673667056315413,0.42028006696405423,33.33333333333333,51
fixed_pct,0.5,rr_multiple,2.0,us,-1.203977068761452,-3.01810865191144,0.39891773544963155,28.57142857142857,14
atr,1.5,rr_multiple,4.0,all,1.1726607401792002,-3.4871802957514673,0.33627763428460716,27.450980392156865,51
fixed_pct,0.5,rr_multiple,3.0,all,-1.430280815410931,-4.528121016098174,0.3158662964894402,39.21568627450981,51
atr,2.0,rr_multiple,3.0,asia_eu,-1.0016552967485708,-3.1739304574655876,0.31558829349663875,16.666666666666664,12
atr,2.0,rr_multiple,2.0,asia_eu,-0.9245818913839459,-3.171539680475847,0.2915246172310935,25.0,12
atr,2.0,rr_multiple,4.0,all,-1.0657775302856924,-4.143745364106423,0.25720150169399264,33.33333333333333,51
fixed_pct,0.5,rr_multiple,4.0,all,-0.9123071284741741,-4.026426159248069,0.2265798731658714,37.254901960784316,51
fixed_pct,0.5,rr_multiple,4.0,asia_eu,0.36566895773086977,-2.1845756923166566,0.16738671908552283,50.0,12
atr,1.5,rr_multiple,2.0,asia_eu,0.3052180827538338,-2.149049618939965,0.14202467921814896,41.66666666666667,12
fixed_pct,0.5,rr_multiple,2.0,asia_eu,0.2669096218874018,-2.1866803701472923,0.1220615621429039,58.333333333333336,12
atr,1.5,rr_multiple,4.0,asia_eu,-0.2953249794686579,-2.5749719721926376,0.11469056077421419,16.666666666666664,12
fixed_pct,0.5,rr_multiple,3.0,asia_eu,-0.1343310422691195,-2.195273153771222,0.06119103767945894,50.0,12
atr,1.5,rr_multiple,3.0,asia_eu,0.012638597504433576,-2.5672465548157346,0.004923016638478153,25.0,12
