entry_idx,exit_idx,direction,entry_price,exit_price,exit_type,pnl_pct,position_size,timestamp,weighted_pnl,size_mult
24045,24053,LONG,2828.52,2822.412857142857,SL,-0.215913016600311,130.0,2025-11-23 16:27:00,-0.2806869215804043,1.3
24054,24083,LONG,2822.14,2816.887142857143,SL,-0.18613028208582888,130.0,2025-11-23 16:57:00,-0.24196936671157754,1.3
24084,24085,LONG,2805.47,2798.715714285714,SL,-0.24075415934890565,130.0,2025-11-23 16:59:00,-0.31298040715357733,1.3
24086,24087,LONG,2800.66,2793.402857142857,SL,-0.2591225945720921,130.0,2025-11-23 17:01:00,-0.3368593729437197,1.3
24088,24165,LONG,2790.88,2809.8171428571427,TP,0.678536621321683,78.0,2025-11-23 18:19:00,0.5292585646309128,0.78
24166,24223,SHORT,2811.8,2818.064285714286,SL,-0.2227856075925016,100.0,2025-11-23 19:17:00,-0.2227856075925016,1.0
24227,24239,SHORT,2825.87,2831.732857142857,SL,-0.20747087243422868,130.0,2025-11-23 19:33:00,-0.2697121341644973,1.3
24242,24264,SHORT,2837.08,2822.968571428572,TP,0.4973926914795476,100.0,2025-11-23 19:58:00,0.4973926914795476,1.0
24336,24342,LONG,2819.63,2830.0042857142853,TP,0.3679307467392948,169.0,2025-11-23 21:16:00,0.6218029619894082,1.69
24349,24353,SHORT,2829.97,2835.905714285714,SL,-0.20974477770839664,100.0,2025-11-23 21:27:00,-0.20974477770839664,1.0
24354,24395,SHORT,2839.42,2827.457142857143,TP,0.42131340706401466,130.0,2025-11-23 22:09:00,0.547707429183219,1.3
24396,24446,LONG,2828.23,2842.1642857142856,TP,0.492685733277901,70.0,2025-11-23 23:00:00,0.34488001329453066,0.7
24452,24463,LONG,2819.87,2811.5342857142855,SL,-0.2956063324094516,42.0,2025-11-23 23:17:00,-0.12415465961196967,0.42
24464,24508,LONG,2803.21,2793.977142857143,SL,-0.32936730187381713,60.0,2025-11-24 00:02:00,-0.19762038112429028,0.6
24509,24513,LONG,2790.77,2784.03,SL,-0.24151040752193056,100.0,2025-11-24 00:07:00,-0.24151040752193056,1.0
24514,24521,LONG,2783.51,2777.491428571429,SL,-0.21622237493564775,100.0,2025-11-24 00:15:00,-0.21622237493564775,1.0
24522,24524,LONG,2779.55,2772.362857142857,SL,-0.25857217381025865,70.0,2025-11-24 00:18:00,-0.18100052166718106,0.7
24525,24533,LONG,2769.54,2786.365714285714,TP,0.607527397535843,60.0,2025-11-24 00:27:00,0.3645164385215058,0.6
24541,24557,SHORT,2790.56,2801.6342857142854,SL,-0.39684814927059275,42.0,2025-11-24 00:51:00,-0.16667622269364896,0.42
24571,24576,LONG,2781.88,2798.611428571428,TP,0.6014432172281997,42.0,2025-11-24 01:10:00,0.25260615123584385,0.42
24619,24627,SHORT,2801.48,2809.9814285714283,SL,-0.3034620476115581,42.0,2025-11-24 02:01:00,-0.12745405999685439,0.42
24628,24632,SHORT,2832.38,2843.9914285714285,SL,-0.4099530631987376,60.0,2025-11-24 02:06:00,-0.24597183791924254,0.6
24633,24641,SHORT,2846.19,2860.617142857143,SL,-0.5068931749863089,60.0,2025-11-24 02:15:00,-0.30413590499178533,0.6
24642,24675,SHORT,2859.33,2831.8585714285714,TP,0.9607645347486485,42.0,2025-11-24 02:49:00,0.40352110459443236,0.42
24676,24704,LONG,2833.09,2848.7442857142855,TP,0.5525516561170093,70.0,2025-11-24 03:18:00,0.38678615928190646,0.7
24705,24757,SHORT,2858.85,2866.177142857143,SL,-0.2562968626245839,100.0,2025-11-24 04:11:00,-0.2562968626245839,1.0
24758,24761,SHORT,2868.77,2855.8385714285714,TP,0.45076560935273896,100.0,2025-11-24 04:15:00,0.45076560935273896,1.0
24763,24767,LONG,2831.4,2820.8557142857144,SL,-0.37240537240537214,60.0,2025-11-24 04:21:00,-0.2234432234432233,0.6
24768,24772,LONG,2815.94,2803.367142857143,SL,-0.44648881520405875,60.0,2025-11-24 04:26:00,-0.26789328912243526,0.6
24773,24812,LONG,2813.35,2841.0928571428567,TP,0.9861146726449532,42.0,2025-11-24 05:06:00,0.41416816251088034,0.42
24813,24815,SHORT,2858.4,2866.904285714286,SL,-0.29751909159969714,78.0,2025-11-24 05:09:00,-0.23206489144776377,0.78
24816,24871,SHORT,2874.99,2853.3185714285714,TP,0.7537914417590444,60.0,2025-11-24 06:05:00,0.45227486505542663,0.6
24872,24917,LONG,2840.61,2833.071428571429,SL,-0.26538565408736964,100.0,2025-11-24 06:51:00,-0.26538565408736964,1.0
24966,24969,SHORT,2836.45,2842.06,SL,-0.19778243931675604,70.0,2025-11-24 07:43:00,-0.13844770752172922,0.7
24970,24981,SHORT,2843.17,2829.627142857143,TP,0.476329489367747,100.0,2025-11-24 07:55:00,0.476329489367747,1.0
24983,24988,LONG,2830.06,2823.632857142857,SL,-0.22710270655543788,70.0,2025-11-24 08:02:00,-0.1589718945888065,0.7
24989,25043,LONG,2823.69,2837.4814285714288,TP,0.48841864976072785,100.0,2025-11-24 08:57:00,0.48841864976072785,1.0
25045,25052,SHORT,2839.02,2828.108571428572,TP,0.3843378550143406,130.0,2025-11-24 09:06:00,0.49963921151864277,1.3
25055,25066,LONG,2813.21,2804.46,SL,-0.31103259266105265,78.0,2025-11-24 09:20:00,-0.24260542227562107,0.78
25067,25073,LONG,2798.29,2788.057142857143,SL,-0.36568251120709533,78.0,2025-11-24 09:27:00,-0.28523235874153435,0.78
25074,25293,LONG,2794.31,2813.6557142857137,TP,0.6923252712016101,42.0,2025-11-24 13:07:00,0.29077661390467624,0.42
25294,25296,SHORT,2817.51,2822.6585714285716,SL,-0.18273480585947727,169.0,2025-11-24 13:10:00,-0.30882182190251656,1.69
25297,25324,SHORT,2816.98,2823.655714285714,SL,-0.2369812453661046,100.0,2025-11-24 13:38:00,-0.2369812453661046,1.0
25325,25346,SHORT,2825.94,2814.068571428572,TP,0.4200877786304086,130.0,2025-11-24 14:00:00,0.5461141122195312,1.3
25347,25348,LONG,2808.88,2803.3,SL,-0.19865569194838967,100.0,2025-11-24 14:02:00,-0.19865569194838967,1.0
25351,25375,LONG,2808.04,2800.887142857143,SL,-0.25472775113093477,100.0,2025-11-24 14:29:00,-0.25472775113093477,1.0
25377,25381,SHORT,2832.61,2842.441428571429,SL,-0.3470802041731357,78.0,2025-11-24 14:35:00,-0.27072255925504585,0.78
25394,25396,LONG,2807.57,2787.761428571429,SL,-0.7055414977568221,42.0,2025-11-24 14:50:00,-0.29632742905786524,0.42
25409,25451,SHORT,2838.32,2856.6,SL,-0.6440429549874483,78.0,2025-11-24 15:45:00,-0.5023535048902097,0.78
25452,25469,SHORT,2850.96,2861.6442857142856,SL,-0.37476098276670244,60.0,2025-11-24 16:03:00,-0.22485658966002145,0.6
25511,25513,SHORT,2866.11,2873.882857142857,SL,-0.27119884243301867,130.0,2025-11-24 16:47:00,-0.3525584951629243,1.3
25545,25548,SHORT,2873.2,2880.45,SL,-0.2523318947514966,130.0,2025-11-24 17:22:00,-0.3280314631769456,1.3
25549,25551,SHORT,2884.04,2893.5542857142855,SL,-0.32989437435976987,78.0,2025-11-24 17:25:00,-0.25731761200062053,0.78
25552,25553,SHORT,2904.15,2916.535714285714,SL,-0.42648328377370764,78.0,2025-11-24 17:27:00,-0.332656961343492,0.78
25554,25560,SHORT,2915.9,2930.3342857142857,SL,-0.4950199154389923,78.0,2025-11-24 17:34:00,-0.386115534042414,0.78
25561,25582,SHORT,2917.04,2934.662857142857,SL,-0.6041349156287504,60.0,2025-11-24 17:56:00,-0.36248094937725023,0.6
25584,25593,SHORT,2942.96,2953.4714285714285,SL,-0.3571719823384788,60.0,2025-11-24 18:07:00,-0.21430318940308726,0.6
25594,25649,SHORT,2951.88,2963.2214285714285,SL,-0.38421035311152296,60.0,2025-11-24 19:03:00,-0.23052621186691377,0.6
25650,25652,SHORT,2970.31,2976.575714285714,SL,-0.2109447931601159,130.0,2025-11-24 19:06:00,-0.2742282311081507,1.3
25653,25688,SHORT,2974.13,2958.655714285714,TP,0.5202962114731366,130.0,2025-11-24 19:42:00,0.6763850749150777,1.3
25689,25717,LONG,2955.36,2972.1485714285714,TP,0.5680719583594294,100.0,2025-11-24 20:11:00,0.5680719583594294,1.0
25719,25810,SHORT,2979.95,2957.0071428571428,TP,0.7699074529054872,78.0,2025-11-24 21:44:00,0.60052781326628,0.78
25811,25824,LONG,2949.8,2962.7628571428572,TP,0.4394486793293459,130.0,2025-11-24 21:58:00,0.5712832831281497,1.3
25832,25841,SHORT,2978.23,2964.9814285714288,TP,0.4448471551415192,100.0,2025-11-24 22:15:00,0.4448471551415192,1.0
25849,25850,LONG,2960.87,2956.9742857142855,SL,-0.13157329723069058,91.0,2025-11-24 22:24:00,-0.11973170047992844,0.91
25851,25877,LONG,2957.94,2953.2214285714285,SL,-0.15952221575053996,91.0,2025-11-24 22:51:00,-0.14516521633299137,0.91
25903,25939,SHORT,2964.41,2955.938571428572,TP,0.28577115079992577,91.0,2025-11-24 23:53:00,0.26005174722793245,0.91
25944,25947,LONG,2953.92,2950.2328571428575,SL,-0.12482202825880827,91.0,2025-11-25 00:01:00,-0.11358804571551553,0.91
25948,25960,LONG,2944.26,2939.9428571428575,SL,-0.14662913116174175,169.0,2025-11-25 00:14:00,-0.24780323166334356,1.69
25968,25982,LONG,2934.57,2946.69,TP,0.413007697890999,70.0,2025-11-25 00:36:00,0.28910538852369927,0.7
25987,26007,SHORT,2949.26,2935.931428571429,TP,0.45192934595699236,70.0,2025-11-25 01:01:00,0.3163505421698946,0.7
26020,26046,SHORT,2946.74,2935.9,TP,0.36786414817729735,91.0,2025-11-25 01:40:00,0.3347563748413406,0.91
26053,26054,LONG,2934.26,2928.741428571429,SL,-0.18807370269066984,91.0,2025-11-25 01:48:00,-0.17114706944850955,0.91
26055,26064,LONG,2926.49,2920.347142857143,SL,-0.20990528390176913,100.0,2025-11-25 01:58:00,-0.20990528390176913,1.0
26065,26066,LONG,2919.14,2913.497142857143,SL,-0.1933054647210097,100.0,2025-11-25 02:00:00,-0.1933054647210097,1.0
26067,26097,LONG,2915.81,2909.0642857142857,SL,-0.2313495833306785,130.0,2025-11-25 02:31:00,-0.30075445832988207,1.3
26111,26116,SHORT,2926.7,2932.5899999999997,SL,-0.2012505552328518,70.0,2025-11-25 02:50:00,-0.14087538866299623,0.7
26117,26133,SHORT,2929.63,2935.17,SL,-0.18910237811600658,91.0,2025-11-25 03:07:00,-0.17208316408556598,0.91
26161,26165,LONG,2914.64,2910.02,SL,-0.15851014190431378,169.0,2025-11-25 03:39:00,-0.2678821398182903,1.69
26166,26177,LONG,2910.01,2905.171428571429,SL,-0.16627336086719333,91.0,2025-11-25 03:51:00,-0.15130875838914593,0.91
26191,26199,SHORT,2916.63,2921.467142857143,SL,-0.16584698289267683,91.0,2025-11-25 04:13:00,-0.1509207544323359,0.91
26200,26213,SHORT,2924.37,2928.584285714285,SL,-0.1441091829790801,130.0,2025-11-25 04:27:00,-0.18734193787280412,1.3
26218,26221,SHORT,2933.46,2939.54,SL,-0.20726377724598005,100.0,2025-11-25 04:35:00,-0.20726377724598005,1.0
26222,26273,SHORT,2936.96,2924.2657142857147,TP,0.43222535255111894,100.0,2025-11-25 05:27:00,0.43222535255111894,1.0
26274,26278,LONG,2920.37,2929.4985714285713,TP,0.3125827011156592,91.0,2025-11-25 05:32:00,0.2844502580152499,0.91
26287,26297,SHORT,2931.14,2935.31,SL,-0.14226546667849618,91.0,2025-11-25 05:51:00,-0.12946157467743152,0.91
26308,26312,LONG,2926.08,2922.812857142857,SL,-0.11165596487939398,130.0,2025-11-25 06:06:00,-0.14515275434321218,1.3
26313,26331,LONG,2921.9,2918.3985714285714,SL,-0.119833963223544,169.0,2025-11-25 06:25:00,-0.20251939784778936,1.69
26332,26362,LONG,2916.19,2923.8557142857144,TP,0.2628674498477236,130.0,2025-11-25 06:56:00,0.3417276848020407,1.3
26391,26415,LONG,2915.9,2911.73,SL,-0.14300901951370323,169.0,2025-11-25 07:49:00,-0.24168524297815847,1.69
26418,26440,LONG,2906.08,2898.8914285714286,SL,-0.24736316373160142,100.0,2025-11-25 08:14:00,-0.24736316373160142,1.0
26477,26479,LONG,2888.28,2882.488571428572,SL,-0.20051478982052437,130.0,2025-11-25 08:53:00,-0.2606692267666817,1.3
26480,26483,LONG,2880.14,2872.7085714285713,SL,-0.2580231714926556,100.0,2025-11-25 08:57:00,-0.2580231714926556,1.0
26484,26530,LONG,2872.11,2889.4842857142858,TP,0.604931068597151,78.0,2025-11-25 09:44:00,0.47184623350577776,0.78
26531,26543,SHORT,2886.18,2892.6714285714284,SL,-0.22491419701572718,100.0,2025-11-25 09:57:00,-0.22491419701572718,1.0
26565,26569,LONG,2880.62,2889.125714285714,TP,0.29527373571363186,91.0,2025-11-25 10:23:00,0.268699099499405,0.91
26577,26579,SHORT,2891.03,2894.7185714285715,SL,-0.12758675726544938,91.0,2025-11-25 10:33:00,-0.11610394911155894,0.91
26580,26678,SHORT,2897.66,2902.6585714285716,SL,-0.1725037246803187,130.0,2025-11-25 12:12:00,-0.2242548420844143,1.3
26679,26680,SHORT,2913.82,2921.0385714285712,SL,-0.24773566756254906,130.0,2025-11-25 12:14:00,-0.3220563678313138,1.3
26681,26686,SHORT,2915.07,2924.4685714285715,SL,-0.3224132329093764,60.0,2025-11-25 12:20:00,-0.19344793974562582,0.6
26687,26772,SHORT,2924.81,2898.71,TP,0.8923656579401708,60.0,2025-11-25 13:46:00,0.5354193947641024,0.6
26773,26792,LONG,2902.58,2920.7399999999993,TP,0.6256502835408292,60.0,2025-11-25 14:06:00,0.3753901701244975,0.6
26793,26816,SHORT,2915.73,2900.601428571428,TP,0.5188605058963563,100.0,2025-11-25 14:30:00,0.5188605058963563,1.0
26829,26834,LONG,2883.76,2868.7257142857147,SL,-0.5213431670557012,78.0,2025-11-25 14:48:00,-0.4066476703034469,0.78
26835,26856,LONG,2859.63,2890.0642857142857,TP,1.064273549874829,78.0,2025-11-25 15:10:00,0.8301333689023667,0.78
26870,26878,LONG,2872.82,2902.7514285714287,TP,1.0418831869531877,42.0,2025-11-25 15:32:00,0.4375909385203388,0.42
