strategy,exit_method,session,total_trades,total_return_pct,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,sharpe_ratio,avg_duration,largest_win,largest_loss
price_cross_sma20,fixed_rr_1.5,all,263,7.28,41.83,1.02,2.83,-1.93,33.61,0.37,13.2,7.2,-5.05
green_above_sma20,fixed_rr_2.0,all,861,6.98,33.1,1.02,1.84,-0.88,37.02,0.2,5.0,14.28,-6.47
green_candle_basic,fixed_rr_1.5,all,1224,6.42,38.89,1.01,1.67,-1.03,37.44,0.18,5.0,11.74,-6.38
rsi7_momentum_50,time_based_8,all,520,5.89,42.69,1.02,1.77,-1.28,44.54,0.25,7.0,18.61,-4.91
price_cross_ema20,time_based_4,all,481,5.2,48.23,1.02,1.19,-1.07,23.18,0.23,3.8,12.03,-4.86
session_open_breakout,time_based_8,all,216,3.98,34.72,1.03,2.07,-1.04,35.59,0.3,5.2,20.05,-4.86
period_4_breakout,fixed_rr_1.0,all,364,2.3,51.1,1.01,2.43,-2.44,41.96,0.26,13.9,8.98,-10.99
period_12_breakout,time_based_4,all,349,1.29,44.13,1.01,1.58,-1.21,27.85,0.19,3.9,16.05,-8.96
rsi14_oversold_35,fixed_rr_3.0,all,227,1.12,32.16,1.0,3.34,-1.52,47.63,0.24,14.8,12.28,-5.6
rsi14_oversold_35,time_based_8,all,275,0.86,40.0,1.01,1.63,-1.06,26.32,0.17,5.8,10.25,-4.67
rsi14_oversold_30,fixed_rr_1.0,all,183,-0.6,48.63,1.0,1.88,-1.74,20.82,0.15,8.6,6.08,-4.67
ema_10_50_cross,time_based_8,all,115,-1.04,42.61,0.99,1.9,-1.45,22.93,0.1,6.7,7.93,-3.97
ema_10_50_cross,time_based_4,all,119,-1.21,45.38,0.98,1.22,-1.03,23.0,0.02,3.7,4.7,-3.97
price_cross_ema50,fixed_rr_2.0,all,174,-1.25,40.8,1.0,3.14,-2.1,39.88,0.2,16.1,9.6,-5.46
rsi14_momentum_50,fixed_rr_3.0,all,226,-1.49,32.3,0.99,4.18,-1.92,35.84,0.23,19.0,12.41,-5.04
rsi14_oversold_35,fixed_rr_1.5,all,240,-1.5,40.83,0.99,2.26,-1.53,31.69,0.13,9.9,8.44,-5.6
rsi14_oversold_35,fixed_rr_1.0,all,264,-1.62,49.24,0.99,1.61,-1.54,28.2,0.1,7.5,6.08,-5.6
price_cross_ema20,fixed_rr_1.0,all,292,-2.38,50.68,0.99,2.02,-2.04,32.81,0.12,10.1,7.07,-6.26
rsi14_oversold_30,time_based_4,all,221,-3.36,42.08,0.97,1.26,-0.93,24.81,-0.05,3.4,6.58,-4.1
rsi14_oversold_35,time_based_4,all,305,-3.88,42.95,0.97,1.13,-0.86,25.87,-0.05,3.3,4.63,-4.1
session_open_breakout,time_based_4,all,230,-3.96,38.26,0.97,1.41,-0.9,24.99,-0.06,3.2,6.18,-4.86
rsi7_oversold_30,fixed_rr_2.0,all,336,-4.0,36.01,0.99,2.82,-1.55,49.02,0.13,11.9,18.14,-8.65
session_open_breakout,fixed_rr_2.0,all,199,-4.27,34.67,0.97,2.36,-1.25,35.64,-0.01,7.5,7.83,-4.86
rsi14_momentum_50,time_based_4,all,463,-4.65,45.14,0.98,1.28,-1.07,23.7,0.03,3.8,12.03,-4.6
prev_candle_breakout,fixed_rr_1.5,all,854,-7.34,39.7,0.99,1.88,-1.23,37.24,0.07,5.9,11.74,-8.0
price_cross_sma20,fixed_rr_3.0,all,228,-7.53,31.14,0.97,4.34,-1.93,35.59,0.1,18.6,12.05,-5.05
green_above_ema20,fixed_rr_2.0,all,878,-7.75,33.03,0.98,1.77,-0.87,40.98,0.03,4.8,13.84,-6.47
price_cross_sma20,fixed_rr_2.0,all,244,-8.48,36.48,0.97,3.42,-1.96,34.45,0.03,15.7,9.6,-5.05
green_candle_min_size,fixed_rr_1.0,all,1227,-8.76,48.98,0.99,1.26,-1.2,34.26,0.04,4.2,7.83,-6.38
ema_5_20_cross,fixed_rr_3.0,all,186,-9.03,34.41,0.96,3.53,-1.88,41.86,-0.03,16.3,10.08,-5.64
green_candle_basic,time_based_4,all,1768,-9.82,36.03,0.99,1.26,-0.71,30.51,0.03,2.9,12.03,-3.92
price_cross_sma20,time_based_4,all,461,-9.96,45.55,0.96,1.23,-1.06,30.42,-0.09,3.8,12.03,-4.53
green_above_sma20,fixed_rr_3.0,all,760,-10.13,24.74,0.97,2.53,-0.83,48.8,0.03,5.6,21.42,-6.47
rsi_oversold_above_ema20,fixed_rr_1.0,all,28,-11.13,39.29,0.65,2.11,-2.01,18.78,-2.56,7.7,5.21,-4.47
green_candle_2_consec,fixed_rr_1.5,all,545,-12.25,40.0,0.97,2.43,-1.61,44.04,0.04,9.7,16.96,-8.02
rsi7_oversold_30,fixed_rr_1.5,all,368,-12.56,39.67,0.96,2.31,-1.53,46.47,-0.06,9.6,13.6,-8.65
price_cross_ema10,time_based_4,all,676,-12.65,47.34,0.96,1.15,-1.07,31.88,-0.07,3.8,13.02,-7.7
rsi_oversold_above_ema20,fixed_rr_1.5,all,28,-13.18,28.57,0.65,3.29,-1.96,20.36,-2.59,9.9,7.81,-4.47
price_cross_ema10,fixed_rr_2.0,all,258,-13.7,36.43,0.96,3.7,-2.13,37.89,-0.03,18.5,9.6,-7.7
period_4_breakout,fixed_rr_2.0,all,260,-13.76,40.38,0.97,3.65,-2.45,39.78,0.05,20.3,17.96,-10.99
price_cross_sma20,time_based_8,all,378,-13.8,43.39,0.95,1.76,-1.4,37.8,-0.09,6.8,20.63,-5.41
rsi_oversold_above_ema20,fixed_rr_2.0,all,28,-14.02,25.0,0.65,3.92,-1.96,24.06,-2.57,10.2,8.59,-4.47
rsi7_momentum_50,fixed_rr_1.0,all,349,-14.26,49.28,0.96,2.14,-2.11,35.95,-0.11,11.7,6.59,-5.23
price_cross_sma20,fixed_rr_1.0,all,293,-14.79,49.15,0.95,1.95,-1.95,37.38,-0.24,9.8,6.22,-5.05
