direction,entry,exit,pnl,bars,exit_reason
LONG,0.01549,0.015596285714285715,0.0058615696762888145,2,TP
LONG,0.015493,0.015448285714285713,-0.0038860960249329493,2,SL
SHORT,0.015245,0.01517957142857143,0.003310304262307385,5,TP
SHORT,0.015179,0.015113857142857142,0.003310141119313382,3,TP
SHORT,0.015008,0.015044142857142858,-0.0034024537314000227,1,SL
SHORT,0.014815,0.014761857142857143,0.0026000116129406567,3,TP
SHORT,0.014728,0.014668142857142857,0.0030807581055153363,1,TP
SHORT,0.014639,0.014672785714285713,-0.0033026107614192437,1,SL
LONG,0.014673,0.01474757142857143,0.004082220988988473,12,TP
LONG,0.014687,0.014749428571428571,0.003250600628349588,6,TP
LONG,0.014736,0.014705500000000002,-0.003069761129207315,5,SL
SHORT,0.01455,0.014583642857142858,-0.0033068898129509075,1,SL
LONG,0.014687,0.014652928571428572,-0.003319835812039761,1,SL
SHORT,0.01466,0.01469692857142857,-0.0035126727158736317,1,SL
SHORT,0.01472,0.014740357142857144,-0.002381048142853669,1,SL
LONG,0.014731,0.014711142857142857,-0.002347983358709004,9,SL
SHORT,0.014827,0.014846714285714286,-0.002327855129081068,3,SL
LONG,0.015022,0.015077428571428571,0.002689826349924763,7,TP
LONG,0.014821,0.01479957142857143,-0.0024458249395162826,1,SL
LONG,0.015152,0.015113357142857144,-0.0035503469603258555,8,SL
LONG,0.015318,0.015366285714285714,0.0021522205435248196,4,TP
LONG,0.015324,0.015375142857142858,0.0023374352090091985,3,TP
LONG,0.01541,0.015379214285714286,-0.002997775099656929,5,SL
SHORT,0.015217,0.015124714285714285,0.005101650090202471,1,TP
SHORT,0.015071,0.014961142857142857,0.006342830952562718,1,TP
SHORT,0.015034,0.015096,-0.005107048224695209,1,SL
SHORT,0.015146,0.015228642857142857,-0.006426803814241099,9,SL
LONG,0.015254,0.015190428571428572,-0.005167525145629236,3,SL
SHORT,0.015217,0.015276428571428571,-0.004890213681208232,5,SL
SHORT,0.015165,0.015221499999999999,-0.004711854942022752,1,SL
LONG,0.015321,0.015264857142857143,-0.004664438166102513,1,SL
SHORT,0.015213,0.015093142857142859,0.0069411653352514655,6,TP
SHORT,0.01516,0.015036428571428572,0.0072181369056102404,6,TP
SHORT,0.014967,0.014862428571428572,0.006035958360967598,8,TP
SHORT,0.014944,0.014840142857142857,0.005998392391293962,8,TP
SHORT,0.014913,0.014966714285714285,-0.004588916357249894,3,SL
SHORT,0.014886,0.014774142857142857,0.006571142633365335,6,TP
SHORT,0.014872,0.014762857142857142,0.006393071414747432,4,TP
SHORT,0.01473,0.014612285714285715,0.007055843419431774,6,TP
SHORT,0.014701,0.014576714285714287,0.0075263188843263116,15,TP
SHORT,0.014675,0.014550142857142857,0.007581162678815257,13,TP
SHORT,0.014616,0.014677071428571428,-0.00516100915422013,1,SL
LONG,0.014678,0.014614357142857142,-0.005335935218889309,3,SL
LONG,0.01467,0.01460957142857143,-0.0051191936897457815,1,SL
SHORT,0.014514,0.014384285714285716,0.008017777336378873,3,TP
SHORT,0.014449,0.014306000000000001,0.008995805955543168,4,TP
SHORT,0.014394,0.014470642857142857,-0.006296437615072813,5,SL
LONG,0.014412,0.014338357142857142,-0.006109829110661712,1,SL
SHORT,0.01436,0.014443857142857142,-0.006805730562671196,1,SL
