sl_mult,tp_mult,rr_ratio,trades,net,wr,dd,r_dd,avg_win,avg_loss,pf,sl_count,tp_count
1.25,5.5,4.4,120,-5.267473064629854,20.833333333333336,14.491461023145598,-0.3634880607425784,2.907906328106258,0.6715619738536841,1.139490526846163,94,18
1.0,5.0,5.0,126,-7.3483335429057135,17.46031746031746,17.16887378902286,-0.42800323615891245,2.8973554847478726,0.5453648158647588,1.1238387661692824,103,18
0.75,5.5,7.333333333333333,130,-7.713212589942188,12.307692307692308,16.638533136963073,-0.46357527592423525,3.5512462683498844,0.43602710620196206,1.1430952842192108,114,13
1.75,4.5,2.5714285714285716,120,-5.039083433096195,30.833333333333336,10.804975295513536,-0.46636695552543594,2.287608321683907,0.9094320171169772,1.1213341783095077,82,30
1.25,3.5,2.8,125,-4.419670753702405,29.599999999999998,9.40858233548711,-0.4697488522827054,1.9178105735674384,0.7009666326238464,1.1503431624967577,88,33
1.25,4.5,3.6,124,-6.758734047975844,24.193548387096776,14.379238915939979,-0.47003419913160416,2.387183716600188,0.6833110286031799,1.1149639208271065,93,24
1.0,5.5,5.5,123,-8.63450450529739,16.260162601626014,16.606320035251738,-0.5199529147317494,3.0888468219059986,0.5446946671202649,1.101123469951411,102,15
1.0,4.5,4.5,127,-9.750818934515804,18.89763779527559,16.866509010761,-0.5781171983066967,2.5519407413532877,0.5505053497634141,1.0801474846966812,102,20
0.75,3.5,4.666666666666667,132,-5.162455298217209,18.181818181818183,8.387371011197779,-0.6155033909105652,2.3211976120336106,0.4332194777567302,1.1906705908839093,108,23
2.5,8.0,3.2,111,-10.787175820022703,30.630630630630627,17.209681733997662,-0.6268085596674735,2.63159261612423,1.1241048779944574,1.033713096651331,73,12
1.5,3.5,2.3333333333333335,122,-6.924676770666521,31.967213114754102,10.866969089302062,-0.6372224595249366,1.8725715729788281,0.7977248504484427,1.1029906211051745,83,35
1.75,3.5,2.0,121,-9.500797931803696,35.53719008264463,14.561947936403238,-0.6524400425888603,1.8172640718033586,0.9452534350345326,1.0598481085533733,78,39
2.5,7.0,2.8,111,-11.443506081387703,30.630630630630627,17.487361018577825,-0.6543872496959725,2.6089478616118487,1.1241048779944574,1.024818034715651,73,16
1.5,4.0,2.6666666666666665,121,-8.082710862300011,28.09917355371901,11.839399610383818,-0.6826960089438168,2.1513863927147185,0.7737691459178424,1.086592426359004,86,30
0.75,5.0,6.666666666666667,131,-11.975187190045666,12.213740458015266,17.106943448476866,-0.7000191019578011,3.293478236507177,0.43388048554476166,1.056104328861386,115,14
2.0,6.0,3.0,115,-12.465050711489326,27.82608695652174,17.596980837964367,-0.7083630326286866,2.524253632468475,0.9589064683630268,1.0149125611888576,82,21
0.75,4.5,6.0,132,-12.05742082364783,13.636363636363635,16.968623103267948,-0.7105715502235251,2.9153257053324437,0.4375819163984222,1.0519506583845448,114,17
2.5,10.0,4.0,110,-15.002291996238014,30.0,20.577195993368612,-0.7290736794786221,2.5453410620624184,1.1113452040930576,0.9815676093728529,73,5
1.5,2.5,1.6666666666666667,126,-11.415118061483845,35.714285714285715,15.555888421537398,-0.7338133157139013,1.5593493183635647,0.83298730069448,1.0399980601701722,81,44
2.5,2.5,1.0,123,-13.322984906943677,47.15447154471545,18.071815039580688,-0.7372245055498755,1.5215097130834316,1.3393486866814788,1.0136679375623197,63,57
0.5,3.5,7.0,135,-4.987278424446515,13.333333333333334,6.688660776485025,-0.7456318373896355,2.4004130201651073,0.2913225676540153,1.2676474526793906,117,18
0.5,4.5,9.0,135,-8.754153765694298,9.62962962962963,11.465400068488792,-0.7635279810038192,3.1931093465712332,0.29217181952986115,1.1645522732115436,122,13
1.5,7.0,4.666666666666667,114,-15.391089872929848,21.052631578947366,19.932936474736053,-0.7721436273294325,2.556716150922603,0.7096759969455418,0.9607073883205877,89,11
2.5,6.0,2.4,113,-11.835314040275396,31.858407079646017,15.247248174666014,-0.7762262347077357,2.5251787515831605,1.154843796436443,1.0223054029742156,73,24
1.25,2.5,2.0,129,-8.244912074158472,33.33333333333333,10.469924941270335,-0.7874853086729103,1.5974702148293287,0.7294853214545575,1.0949296496083378,86,42
3.0,7.0,2.3333333333333335,107,-14.59332469309325,34.57943925233645,18.11681076262589,-0.8055128954152669,2.3489957150692247,1.2621126911747247,0.9837568622074953,58,17
1.75,2.5,1.4285714285714286,125,-14.065874389563334,39.2,17.415602778019824,-0.8076593482779607,1.5244489968556902,0.9814163987309413,1.0014795284185287,76,48
1.75,4.0,2.2857142857142856,120,-10.073715128565539,31.666666666666664,12.41031503268998,-0.81172114503382,2.078670945101744,0.9147788560764977,1.0530266732076725,81,34
1.0,3.0,3.0,127,-6.4305323507943495,25.984251968503933,7.812316992566062,-0.8231274226216662,1.7887827889295926,0.5516315051258939,1.1383993312633491,94,31
1.75,7.0,4.0,113,-13.548159835831914,24.778761061946902,16.420531000986287,-0.8250744044159202,2.5173316346702532,0.8351797360811023,0.9928864653944935,84,14
2.0,5.0,2.5,119,-10.030771419462804,30.252100840336134,12.138772069239078,-0.8263415246820418,2.493395198962046,1.0235691834917928,1.0565701213551084,82,28
2.0,5.5,2.75,115,-11.315111882767098,28.695652173913043,13.528445531976836,-0.8363940894777498,2.4336647779237612,0.9521773331225345,1.02859167599456,81,23
3.0,8.0,2.6666666666666665,107,-14.679520067226987,34.57943925233645,17.312249244163162,-0.8479267979679878,2.3491919716851073,1.2621126911747247,0.9838390542657393,58,12
3.0,10.0,3.3333333333333335,106,-18.522710243618555,33.9622641509434,21.5755146531855,-0.8585060677050308,2.262283584782916,1.245269921624877,0.9343035667309781,58,5
0.5,2.0,4.0,137,-6.47321416569231,19.708029197080293,7.269760945493281,-0.8904301275140593,1.5017858295019126,0.29928604350484794,1.231665044696608,110,27
1.5,8.0,5.333333333333333,114,-17.347970311165774,21.052631578947366,19.41518075876098,-0.8935260776976084,2.469792043270944,0.7096759969455418,0.9280449308890154,89,7
3.0,6.0,2.0,109,-14.171717595653428,35.77981651376147,15.731750485805032,-0.9008353907240493,2.290025955039723,1.2869147551013973,0.9914188942698104,57,25
