entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-02-16 22:30:00,2434,2444,0.4191,0.440055,-5.010000000000002,False,SL,0.8775071622367017,20.92832893526403,10,Highly Favorable,High
2025-02-17 05:00:00,2460,2481,0.4204,0.44142000000000003,-5.01000000000001,False,SL,0.8335440534086428,24.889819655607315,21,Favorable,Low
2025-02-18 03:45:00,2551,2559,0.3609,0.33383250000000003,7.489999999999991,True,TP,0.8959765030089502,19.264067147812302,8,Favorable,Medium
2025-02-18 13:00:00,2588,2598,0.3304,0.30562000000000006,7.4899999999999896,True,TP,0.9630851430843205,13.216945777183447,10,Highly Favorable,High
2025-02-18 20:15:00,2617,2620,0.3022,0.31731000000000004,-5.010000000000004,False,SL,0.914834577415796,17.56477679374656,3,Highly Favorable,High
2025-02-19 04:15:00,2649,2720,0.3187,0.2947975,7.489999999999998,True,TP,0.983355687264239,11.39037857559818,71,Favorable,Medium
2025-02-22 02:45:00,2931,2956,0.3189,0.33484500000000006,-5.010000000000013,False,SL,0.9340895673323005,15.829720608960725,25,Highly Favorable,High
2025-02-23 09:15:00,3053,3078,0.346,0.32005,7.489999999999992,True,TP,1.0040528759254899,9.525366682571883,25,Favorable,Medium
2025-02-23 18:45:00,3091,3109,0.3235,0.339675,-5.009999999999999,False,SL,0.9537498268416228,14.058145811775033,18,Highly Favorable,High
2025-02-24 03:15:00,3125,3145,0.3275,0.3029375,7.489999999999995,True,TP,1.0251856888720603,7.6211009330769865,20,Favorable,Low
2025-02-24 14:00:00,3168,3196,0.3102,0.286935,7.489999999999994,True,TP,1.1019720969685776,0.7019213929644581,28,Favorable,Medium
2025-02-25 09:00:00,3244,3255,0.2736,0.28728000000000004,-5.01000000000001,False,SL,1.0467632949104517,5.6767551311769475,11,Favorable,Medium
2025-02-25 15:00:00,3268,3271,0.2753,0.289065,-5.0100000000000104,False,SL,0.994320453835438,10.402349699104992,3,Favorable,Medium
2025-02-25 19:00:00,3284,3287,0.286,0.3003,-5.010000000000013,False,SL,0.9445049990982824,14.89119197917984,3,Favorable,Low
2025-02-27 13:45:00,3455,3506,0.314,0.29045000000000004,7.489999999999987,True,TP,1.0152484235307437,8.516542258420417,51,Favorable,Low
2025-03-01 08:30:00,3626,3647,0.2988,0.27639,7.489999999999995,True,TP,1.0912905304531964,1.6644312735761149,21,Favorable,Low
2025-03-02 06:00:00,3712,3747,0.2577,0.2383725,7.489999999999999,True,TP,1.1730281911841407,0.0,35,Highly Favorable,High
2025-03-07 08:30:00,4202,4205,0.2726,0.28623000000000004,-5.010000000000011,False,SL,1.114259478805815,5.010000000000012,3,Highly Favorable,High
2025-03-07 12:15:00,4217,4222,0.2772,0.29106000000000004,-5.010000000000014,False,SL,1.0584350789176435,9.768999000000031,5,Favorable,Medium
2025-03-07 14:15:00,4225,4227,0.274,0.2877,-5.009999999999996,False,SL,1.0054074814638696,14.28957215010003,2,Highly Favorable,High
