entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,bars_held,pnl_pct,exit_reason
2025-12-02 18:12:00,2025-12-02 18:41:00,LONG,0.21677,0.23942714285714284,0.21337142857142857,0.23942714285714284,29,10.352157981797683,TP
2025-12-02 19:05:00,2025-12-02 19:15:00,SHORT,0.23016,0.23439000000000002,0.23439000000000002,0.20196,10,-1.9046845001919888,SL
2025-12-02 19:22:00,2025-12-02 20:19:00,SHORT,0.22924,0.2326760714285714,0.2326760714285714,0.20633285714285718,57,-1.5767618378094594,SL
2025-12-02 20:34:00,2025-12-02 22:34:00,SHORT,0.22941,0.22513,0.23191607142857143,0.2127028571428571,120,1.80112379514058,Time
2025-12-02 23:03:00,2025-12-03 01:03:00,SHORT,0.22602,0.22194,0.22855178571428572,0.2091414285714286,120,1.7383346850500137,Time
2025-12-03 01:11:00,2025-12-03 02:30:00,SHORT,0.22101,0.20571714285714293,0.22330392857142858,0.20571714285714293,79,7.333924528825964,TP
2025-12-03 02:36:00,2025-12-03 02:54:00,LONG,0.20932,0.2061882142857143,0.2061882142857143,0.23019857142857147,18,-1.596171275695446,SL
2025-12-03 03:34:00,2025-12-03 03:39:00,LONG,0.20606,0.20437142857142857,0.20437142857142857,0.21731714285714276,5,-0.9194561916778697,SL
2025-12-03 03:48:00,2025-12-03 04:33:00,SHORT,0.20304,0.2050017857142857,0.2050017857142857,0.18996142857142853,45,-1.0569603052238197,SL
2025-12-03 04:46:00,2025-12-03 06:29:00,SHORT,0.19843,0.200815,0.200815,0.18253000000000003,103,-1.2876602843413076,SL
2025-12-03 06:54:00,2025-12-03 07:56:00,SHORT,0.19702,0.19912000000000002,0.19912000000000002,0.18301999999999996,62,-1.154640417838504,SL
2025-12-03 09:04:00,2025-12-03 09:21:00,SHORT,0.20963,0.21265035714285715,0.21265035714285715,0.1894942857142857,17,-1.5203395580606016,SL
2025-12-03 09:25:00,2025-12-03 10:16:00,SHORT,0.20899,0.19612571428571432,0.21091964285714287,0.19612571428571432,51,6.459204009090358,TP
2025-12-03 10:27:00,2025-12-03 10:35:00,LONG,0.20204,0.1995660714285714,0.1995660714285714,0.21853285714285717,8,-1.3244746443419997,SL
2025-12-03 10:48:00,2025-12-03 11:00:00,LONG,0.20121,0.1992525,0.1992525,0.21426000000000003,12,-1.0728641717608456,SL
2025-12-03 11:18:00,2025-12-03 11:23:00,LONG,0.20161,0.1997875,0.1997875,0.21376,5,-1.0039730172114458,SL
2025-12-03 11:25:00,2025-12-03 11:31:00,SHORT,0.1986,0.20011392857142857,0.20011392857142857,0.18850714285714285,6,-0.8565333319055733,SL
2025-12-03 11:34:00,2025-12-03 11:47:00,LONG,0.20002,0.19850714285714285,0.19850714285714285,0.21010571428571434,13,-0.856352936134963,SL
2025-12-03 11:47:00,2025-12-03 11:50:00,SHORT,0.19819,0.19999642857142857,0.19999642857142857,0.1861471428571429,3,-1.0032304148288373,SL
2025-12-03 12:17:00,2025-12-03 13:08:00,LONG,0.20004,0.19866214285714284,0.19866214285714284,0.20922571428571426,51,-0.788790813265927,SL
2025-12-03 13:31:00,2025-12-03 13:36:00,LONG,0.20025,0.1990414285714286,0.1990414285714286,0.20830714285714283,5,-0.7035313001605091,SL
2025-12-03 13:37:00,2025-12-03 13:51:00,SHORT,0.19841,0.19007428571428575,0.19966035714285715,0.19007428571428575,14,4.285503412199721,TP
2025-12-03 14:18:00,2025-12-03 14:27:00,LONG,0.19175,0.18923964285714287,0.18923964285714287,0.20848571428571425,9,-1.4091823430806394,SL
2025-12-03 14:41:00,2025-12-03 14:54:00,LONG,0.19422,0.19208142857142857,0.19208142857142857,0.20847714285714283,13,-1.2011077276137594,SL
2025-12-03 14:57:00,2025-12-03 16:31:00,SHORT,0.19204,0.1791471428571428,0.19397392857142856,0.1791471428571428,93,7.09679752478013,TP
2025-12-03 17:32:00,2025-12-03 18:37:00,LONG,0.16452,0.19634857142857146,0.15974571428571427,0.19634857142857146,65,19.246323503872752,TP
2025-12-03 19:03:00,2025-12-03 21:03:00,SHORT,0.19927,0.19975,0.2042092857142857,0.16634142857142858,120,-0.3403003754693378,Time
2025-12-03 21:27:00,2025-12-03 21:34:00,SHORT,0.20151,0.2034932142857143,0.2034932142857143,0.1882885714285714,7,-1.0745849721208733,SL
2025-12-03 21:35:00,2025-12-03 22:08:00,LONG,0.20359,0.20174607142857143,0.20174607142857143,0.21588285714285713,33,-1.0057068477963393,SL
2025-12-03 22:24:00,2025-12-03 23:26:00,LONG,0.20304,0.20166642857142855,0.20166642857142855,0.21219714285714292,62,-0.7765028706518183,SL
2025-12-03 23:41:00,2025-12-03 23:54:00,LONG,0.20429,0.20188571428571428,0.20188571428571428,0.22031857142857142,13,-1.2768983867471384,SL
2025-12-03 23:54:00,2025-12-04 01:54:00,SHORT,0.20172,0.19722,0.20353821428571428,0.18959857142857148,120,2.1817158503194434,Time
2025-12-04 02:00:00,2025-12-04 04:00:00,SHORT,0.19535,0.191,0.19706642857142856,0.18390714285714288,120,2.1774869109947637,Time
2025-12-04 04:38:00,2025-12-04 05:13:00,LONG,0.18991,0.18832428571428572,0.18832428571428572,0.20048142857142856,35,-0.9349819839472805,SL
2025-12-04 05:19:00,2025-12-04 07:19:00,LONG,0.19059,0.19653,0.18891321428571428,0.2017685714285715,120,3.016637808909184,Time
2025-12-04 07:38:00,2025-12-04 08:12:00,LONG,0.19942,0.19753749999999998,0.19753749999999998,0.21197000000000002,33,-1.0439875639354224,SL
2025-12-04 09:33:00,2025-12-04 10:15:00,LONG,0.19446,0.20211000000000004,0.1933125,0.20211000000000004,42,3.8339709966060176,TP
2025-12-04 10:29:00,2025-12-04 10:32:00,SHORT,0.20003,0.20131892857142858,0.20131892857142858,0.19143714285714292,3,-0.7402421176065709,SL
2025-12-04 10:33:00,2025-12-04 12:33:00,LONG,0.20142,0.20397,0.20020821428571428,0.2094985714285714,120,1.1660113196306443,Time
2025-12-04 13:00:00,2025-12-04 13:08:00,SHORT,0.20362,0.2048242857142857,0.2048242857142857,0.19559142857142858,8,-0.6879604120605064,SL
2025-12-04 13:08:00,2025-12-04 13:11:00,LONG,0.20507,0.2039942857142857,0.2039942857142857,0.21224142857142855,3,-0.6245595580603113,SL
2025-12-04 13:11:00,2025-12-04 14:21:00,SHORT,0.20378,0.19659428571428572,0.20485785714285712,0.19659428571428572,70,3.555098244390187,TP
2025-12-04 15:57:00,2025-12-04 16:03:00,LONG,0.18766,0.18146071428571428,0.18146071428571428,0.22898857142857143,6,-3.403466755987272,SL
2025-12-04 16:05:00,2025-12-04 16:49:00,SHORT,0.17715,0.18389464285714285,0.18389464285714285,0.13218571428571424,44,-3.7676668511667177,SL
2025-12-04 17:04:00,2025-12-04 17:37:00,SHORT,0.18143,0.18369928571428573,0.18369928571428573,0.1663014285714286,33,-1.3353263680160543,SL
2025-12-04 18:00:00,2025-12-04 18:12:00,SHORT,0.18241,0.18391749999999998,0.18391749999999998,0.17236,12,-0.9196609893022621,SL
2025-12-04 18:13:00,2025-12-04 18:23:00,LONG,0.18424,0.18279142857142855,0.18279142857142855,0.19389714285714282,10,-0.8862415482910556,SL
2025-12-04 18:32:00,2025-12-04 18:42:00,LONG,0.18552,0.1844657142857143,0.1844657142857143,0.1925485714285714,10,-0.6682868231380422,SL
2025-12-04 18:48:00,2025-12-04 20:48:00,SHORT,0.18381,0.1776,0.18542785714285714,0.17302428571428569,120,3.3966216216216094,Time
2025-12-04 20:55:00,2025-12-04 21:07:00,LONG,0.18008,0.17860464285714284,0.17860464285714284,0.18991571428571427,12,-0.9192787332614082,SL
2025-12-04 21:07:00,2025-12-04 21:12:00,SHORT,0.17722,0.1791517857142857,0.1791517857142857,0.16434142857142858,5,-1.1782955394966321,SL
2025-12-04 21:15:00,2025-12-04 21:43:00,LONG,0.18048,0.17896392857142857,0.17896392857142857,0.19058714285714284,28,-0.9400218465045683,SL
2025-12-04 22:34:00,2025-12-04 23:01:00,LONG,0.17759,0.17660642857142855,0.17660642857142855,0.18414714285714287,27,-0.6538439262185113,SL
2025-12-04 23:01:00,2025-12-04 23:12:00,SHORT,0.17614,0.17767642857142857,0.17767642857142857,0.1658971428571428,11,-0.9647340470437914,SL
2025-12-04 23:14:00,2025-12-05 00:32:00,LONG,0.17764,0.18571857142857143,0.17642821428571429,0.18571857142857143,78,4.447720912278442,TP
2025-12-05 00:56:00,2025-12-05 02:56:00,SHORT,0.1844,0.18315,0.18543500000000002,0.17750000000000002,120,0.5825006825006863,Time
2025-12-05 03:00:00,2025-12-05 03:02:00,SHORT,0.1813,0.18227285714285713,0.18227285714285713,0.17481428571428573,2,-0.6337367055670006,SL
2025-12-05 03:05:00,2025-12-05 03:25:00,LONG,0.18312,0.18189857142857144,0.18189857142857144,0.19126285714285715,20,-0.767009923235351,SL
2025-12-05 03:25:00,2025-12-05 05:25:00,SHORT,0.18189,0.17829,0.18325714285714287,0.17277571428571425,120,1.9191822311963702,Time
2025-12-05 05:31:00,2025-12-05 05:41:00,SHORT,0.1777,0.17840499999999998,0.17840499999999998,0.17300000000000001,10,-0.49516829685265484,SL
2025-12-05 06:54:00,2025-12-05 07:21:00,LONG,0.17328,0.1719675,0.1719675,0.18202999999999997,27,-0.8574445983379418,SL
2025-12-05 07:43:00,2025-12-05 07:45:00,LONG,0.17343,0.1724967857142857,0.1724967857142857,0.17965142857142866,2,-0.638092766945919,SL
2025-12-05 07:46:00,2025-12-05 08:43:00,SHORT,0.17177,0.1727064285714286,0.1727064285714286,0.16552714285714282,57,-0.6422082890454205,SL
2025-12-05 09:20:00,2025-12-05 11:20:00,SHORT,0.17367,0.17366,0.17531892857142856,0.16267714285714283,120,-0.09424162155938767,Time
2025-12-05 11:30:00,2025-12-05 12:15:00,SHORT,0.17276,0.16816714285714285,0.17344892857142857,0.16816714285714285,45,2.63112634538768,TP
2025-12-05 12:48:00,2025-12-05 12:50:00,LONG,0.16792,0.16693535714285715,0.16693535714285715,0.17448428571428576,2,-0.6863761655209965,SL
2025-12-05 12:50:00,2025-12-05 12:56:00,SHORT,0.16681,0.1678439285714286,0.1678439285714286,0.15991714285714284,6,-0.7160059408932272,SL
2025-12-05 12:56:00,2025-12-05 13:02:00,LONG,0.16802,0.16709214285714286,0.16709214285714286,0.1742057142857143,6,-0.6522301766796467,SL
2025-12-05 13:03:00,2025-12-05 13:06:00,SHORT,0.16518,0.16640678571428572,0.16640678571428572,0.15700142857142854,3,-0.837220966693064,SL
2025-12-05 13:33:00,2025-12-05 13:35:00,LONG,0.16712,0.1660185714285714,0.1660185714285714,0.17446285714285717,2,-0.7590644874512885,SL
2025-12-05 13:37:00,2025-12-05 14:36:00,SHORT,0.16582,0.15869857142857144,0.16688821428571426,0.15869857142857144,59,4.387392991205242,TP
2025-12-05 14:52:00,2025-12-05 15:00:00,LONG,0.16203,0.160665,0.160665,0.17113000000000003,8,-0.9424365858174409,SL
2025-12-05 15:26:00,2025-12-05 15:46:00,SHORT,0.16333,0.164995,0.164995,0.15223000000000003,20,-1.1091214885299516,SL
2025-12-05 15:51:00,2025-12-05 16:17:00,SHORT,0.16341,0.16468285714285716,0.16468285714285716,0.15492428571428565,26,-0.8729141726955824,SL
2025-12-05 18:50:00,2025-12-05 19:52:00,SHORT,0.1891,0.1911925,0.1911925,0.17514999999999997,62,-1.1944466963923817,SL
2025-12-05 19:58:00,2025-12-05 20:50:00,SHORT,0.18569,0.18738714285714286,0.18738714285714286,0.17437571428571425,52,-1.0056879950598896,SL
2025-12-05 21:31:00,2025-12-05 21:48:00,SHORT,0.18772,0.1897117857142857,0.1897117857142857,0.17444142857142858,17,-1.1499008834830238,SL
2025-12-05 21:49:00,2025-12-05 23:49:00,LONG,0.18922,0.19251,0.18760428571428572,0.19999142857142857,120,1.6387168375435857,Time
2025-12-06 00:03:00,2025-12-06 01:28:00,SHORT,0.19059,0.19184571428571429,0.19184571428571429,0.18221857142857142,85,-0.7545438298632744,SL
2025-12-06 02:02:00,2025-12-06 03:03:00,SHORT,0.20377,0.2059975,0.2059975,0.18891999999999998,61,-1.181323802473333,SL
2025-12-06 03:58:00,2025-12-06 04:16:00,SHORT,0.21386,0.21609714285714285,0.21609714285714285,0.19894571428571428,18,-1.1352486976756504,SL
2025-12-06 04:54:00,2025-12-06 05:41:00,SHORT,0.22281,0.22468285714285716,0.22468285714285716,0.21032428571428574,47,-0.9335558692251998,SL
2025-12-06 06:17:00,2025-12-06 06:31:00,SHORT,0.22787,0.2294867857142857,0.2294867857142857,0.21709142857142857,14,-0.8045223581189752,SL
2025-12-06 06:42:00,2025-12-06 07:46:00,SHORT,0.22864,0.2308707142857143,0.2308707142857143,0.2137685714285715,64,-1.0662179512961778,SL
2025-12-06 08:55:00,2025-12-06 10:56:00,SHORT,0.2743,0.28025,0.2868764285714286,0.19045714285714285,120,-2.22310437109724,Time
2025-12-06 11:00:00,2025-12-06 11:19:00,SHORT,0.2701,0.23606428571428567,0.27520535714285715,0.23606428571428567,19,14.317985415595048,TP
2025-12-06 11:35:00,2025-12-06 13:35:00,LONG,0.24714,0.25924,0.24125035714285714,0.2864042857142857,120,4.7960103585012686,Time
2025-12-06 13:43:00,2025-12-06 13:52:00,SHORT,0.25576,0.2588703571428571,0.2588703571428571,0.23502428571428577,9,-1.3015115122434362,SL
2025-12-06 13:54:00,2025-12-06 13:58:00,LONG,0.25966,0.25681857142857145,0.25681857142857145,0.27860285714285715,4,-1.1942881350337164,SL
2025-12-06 14:18:00,2025-12-06 16:18:00,SHORT,0.25832,0.25177,0.26262928571428573,0.2295914285714285,120,2.5015808078801993,Time
2025-12-06 17:22:00,2025-12-06 18:17:00,LONG,0.23484,0.2524685714285715,0.23219571428571428,0.2524685714285715,55,7.406630654305702,TP
2025-12-06 18:44:00,2025-12-06 20:44:00,SHORT,0.2554,0.23756,0.26056535714285717,0.22096428571428567,120,7.409681764606846,Time
2025-12-06 20:57:00,2025-12-06 21:02:00,LONG,0.24092,0.23862821428571426,0.23862821428571426,0.25619857142857144,5,-1.0512642015132578,SL
2025-12-06 21:02:00,2025-12-06 23:02:00,SHORT,0.23735,0.22941,0.2401807142857143,0.2184785714285714,120,3.3610522645045937,Time
2025-12-06 23:03:00,2025-12-06 23:26:00,SHORT,0.22918,0.23207607142857142,0.23207607142857142,0.2098728571428571,23,-1.347897472041959,SL
2025-12-06 23:44:00,2025-12-06 23:49:00,SHORT,0.22691,0.20785285714285714,0.22976857142857143,0.20785285714285714,5,9.068573922486378,TP
2025-12-07 01:27:00,2025-12-07 01:35:00,LONG,0.17675,0.17137678571428572,0.17137678571428572,0.21257142857142852,8,-3.1400080824408927,SL
2025-12-07 01:37:00,2025-12-07 01:40:00,SHORT,0.16784,0.17236892857142855,0.17236892857142855,0.13764714285714288,3,-2.7274622746476074,SL
2025-12-07 01:43:00,2025-12-07 01:48:00,LONG,0.17318,0.1688075,0.1688075,0.20232999999999998,5,-2.6248296570042684,SL
2025-12-07 02:23:00,2025-12-07 02:30:00,LONG,0.15417,0.1497,0.1497,0.18397,7,-2.9993967697995783,SL
2025-12-07 02:53:00,2025-12-07 04:53:00,LONG,0.14599,0.15354,0.14234392857142858,0.1702971428571429,120,5.071587095006514,Time
2025-12-07 05:26:00,2025-12-07 07:26:00,LONG,0.15027,0.15029,0.14851607142857143,0.1619628571428571,120,-0.08669062354428317,Time
2025-12-07 07:53:00,2025-12-07 08:04:00,LONG,0.14919,0.14802535714285714,0.14802535714285714,0.1569542857142857,11,-0.8806440492947541,SL
2025-12-07 08:10:00,2025-12-07 08:13:00,LONG,0.15124,0.1492825,0.1492825,0.16429,3,-1.3943004496165035,SL
2025-12-07 08:17:00,2025-12-07 08:28:00,SHORT,0.14696,0.14902035714285713,0.14902035714285713,0.13322428571428574,11,-1.4826011307179865,SL
2025-12-07 08:29:00,2025-12-07 09:40:00,LONG,0.14928,0.14800392857142858,0.14800392857142858,0.15778714285714288,71,-0.9548174092788185,SL
2025-12-07 09:54:00,2025-12-07 10:00:00,LONG,0.14976,0.14874428571428572,0.14874428571428572,0.15653142857142852,6,-0.7782280219780223,SL
2025-12-07 10:01:00,2025-12-07 10:03:00,SHORT,0.14755,0.14842321428571428,0.14842321428571428,0.14172857142857143,2,-0.688327297664748,SL
2025-12-07 10:06:00,2025-12-07 11:15:00,LONG,0.1505,0.14946285714285715,0.14946285714285715,0.15741428571428573,69,-0.7891314665400938,SL
2025-12-07 11:52:00,2025-12-07 11:59:00,LONG,0.15047,0.14873535714285713,0.14873535714285713,0.1620342857142857,7,-1.2528164133334685,SL
2025-12-07 11:59:00,2025-12-07 12:03:00,SHORT,0.148,0.14982357142857142,0.14982357142857142,0.13584285714285718,4,-1.317145881107773,SL
2025-12-07 12:03:00,2025-12-07 13:15:00,LONG,0.1502,0.1605785714285714,0.14864321428571428,0.1605785714285714,72,6.809834506372437,TP
2025-12-07 13:30:00,2025-12-07 14:23:00,SHORT,0.15879,0.16372607142857143,0.16372607142857143,0.12588285714285713,53,-3.114835319446907,SL
2025-12-07 14:59:00,2025-12-07 15:05:00,SHORT,0.1688,0.17206035714285714,0.17206035714285714,0.14706428571428573,6,-1.994891535154808,SL
2025-12-07 15:09:00,2025-12-07 15:23:00,LONG,0.17107,0.16648535714285714,0.16648535714285714,0.20163428571428568,14,-2.7799806261430193,SL
2025-12-07 15:28:00,2025-12-07 16:35:00,LONG,0.17017,0.1680592857142857,0.1680592857142857,0.18424142857142858,67,-1.3403562823731008,SL
2025-12-07 17:14:00,2025-12-07 17:24:00,LONG,0.16436,0.1623725,0.1623725,0.17761,10,-1.3092358238014135,SL
2025-12-07 17:42:00,2025-12-07 18:57:00,SHORT,0.16289,0.1647017857142857,0.1647017857142857,0.15081142857142862,75,-1.200040115793688,SL
2025-12-07 19:18:00,2025-12-07 19:20:00,SHORT,0.16276,0.16387642857142856,0.16387642857142856,0.15531714285714282,2,-0.7812624494937358,SL
2025-12-07 19:20:00,2025-12-07 19:45:00,LONG,0.16424,0.1630775,0.1630775,0.17199,24,-0.807805650267912,SL
2025-12-07 19:50:00,2025-12-07 19:54:00,LONG,0.16462,0.16363214285714284,0.16363214285714284,0.17120571428571427,4,-0.7000833087456914,SL
2025-12-07 19:54:00,2025-12-07 20:00:00,SHORT,0.16346,0.16443285714285713,0.16443285714285713,0.15697428571428568,6,-0.6916440058034933,SL
2025-12-07 20:01:00,2025-12-07 20:51:00,LONG,0.16626,0.16508142857142857,0.16508142857142857,0.17411714285714286,50,-0.8088725060576339,SL
2025-12-07 22:44:00,2025-12-08 00:44:00,LONG,0.15255,0.16525,0.15055607142857141,0.1658428571428572,120,8.225139298590646,Time
2025-12-08 01:22:00,2025-12-08 01:42:00,SHORT,0.16638,0.16797428571428571,0.16797428571428571,0.1557514285714286,20,-1.0491248660509211,SL
2025-12-08 01:42:00,2025-12-08 02:18:00,LONG,0.17101,0.18771,0.168505,0.18771,36,9.665510788842758,TP
2025-12-08 02:37:00,2025-12-08 04:37:00,SHORT,0.18244,0.17819,0.18625321428571426,0.15701857142857148,120,2.285094561984391,Time
2025-12-08 04:51:00,2025-12-08 04:57:00,LONG,0.18103,0.1795557142857143,0.1795557142857143,0.1908585714285714,6,-0.9143875127248012,SL
2025-12-08 04:57:00,2025-12-08 05:57:00,SHORT,0.17839,0.16854000000000002,0.17986749999999999,0.16854000000000002,60,5.744309956093486,TP
2025-12-08 06:28:00,2025-12-08 07:52:00,LONG,0.16906,0.17654571428571428,0.16793714285714284,0.17654571428571428,84,4.327844721231678,TP
2025-12-08 08:02:00,2025-12-08 09:26:00,SHORT,0.17261,0.17414428571428572,0.17414428571428572,0.16238142857142857,84,-0.9810428134305659,SL
2025-12-08 09:55:00,2025-12-08 10:03:00,SHORT,0.17484,0.17680071428571428,0.17680071428571428,0.16176857142857134,8,-1.2089968123916717,SL
2025-12-08 10:05:00,2025-12-08 10:48:00,LONG,0.17893,0.1769842857142857,0.1769842857142857,0.1919014285714286,43,-1.1874164677328047,SL
2025-12-08 11:04:00,2025-12-08 11:09:00,LONG,0.17917,0.17768392857142856,0.17768392857142856,0.18907714285714286,5,-0.9294197848810802,SL
2025-12-08 11:09:00,2025-12-08 11:49:00,SHORT,0.17716,0.17852500000000002,0.17852500000000002,0.16805999999999996,40,-0.8645987956868771,SL
