volume_threshold,min_zone_bars,sl_type,sl_value,rr_ratio,session,total_return,max_drawdown,return_dd_ratio,win_rate,num_trades,avg_trade
1.5,3,atr,1.0,4.0,us,17.065255738128144,-2.209654340102315,7.723043115122684,44.26229508196721,61,0.27975829078898595
1.3,7,atr,2.0,3.0,overnight,6.647383537537063,-0.8835301278067942,7.5236636854003,60.0,10,0.6647383537537064
1.5,3,atr,2.0,4.0,all,49.31396007738239,-6.590711193649597,7.482342743966431,41.70403587443946,223,0.22113883442772372
1.5,3,atr,1.0,3.0,all,24.749444474098702,-3.3434827611090268,7.402294625825844,50.672645739910315,223,0.11098405593766233
1.3,3,atr,2.0,4.0,overnight,36.98474864670881,-5.0160088385180845,7.373342001055062,45.11278195488722,133,0.27808081689254743
1.5,3,atr,1.5,4.0,all,37.58120614293374,-5.132039702709533,7.322859587990367,38.11659192825112,223,0.16852558808490464
1.3,3,atr,2.0,3.0,overnight,36.42451263759414,-5.002116419571612,7.2818202501399565,49.62406015037594,133,0.2738685160721364
1.3,3,atr,1.5,4.0,overnight,27.291560898794252,-3.8477360646749226,7.092887984015086,42.10526315789473,133,0.20519970600597182
1.3,3,atr,2.0,3.0,asia_eu,39.77611304554292,-5.610145781004065,7.090031988157011,45.12820512820513,195,0.2039800669002201
1.3,3,atr,1.5,2.0,all,46.97295958993193,-6.661026565483985,7.051909961346763,57.566765578635014,337,0.13938563676537666
1.5,3,atr,1.5,3.0,all,34.605450442263376,-4.918032198662908,7.036442431522053,47.53363228699551,223,0.155181392117773
1.3,5,fixed_pct,0.5,3.0,all,15.170903629475859,-2.165831025867773,7.004657080021931,52.17391304347826,69,0.21986816854312838
1.3,5,fixed_pct,0.5,4.0,us,14.678801133452417,-2.130933675796067,6.88843641647775,70.58823529411765,17,0.8634588902030833
1.3,5,atr,1.0,2.0,overnight,5.051835987953789,-0.7369819115389338,6.8547625238247205,59.375,32,0.1578698746235559
1.3,3,atr,1.5,3.0,overnight,27.791000713609577,-4.061213707306035,6.84302839410154,49.62406015037594,133,0.20895489258353064
1.5,3,atr,2.0,3.0,all,44.85709684508603,-6.597846568660086,6.79874810338243,45.73991031390135,223,0.20115290065061
1.3,7,fixed_pct,1.0,4.0,all,16.707697707147858,-2.469486994792775,6.765655272685439,72.22222222222221,18,0.928205428174881
1.3,5,atr,2.0,2.0,all,22.6750238940146,-3.381905195841955,6.704807669326004,53.62318840579711,69,0.32862353469586375
1.3,3,fixed_pct,1.0,3.0,asia_eu,36.624629907357445,-5.726039062483519,6.396154393587471,50.76923076923077,195,0.18781861490952537
2.0,3,atr,1.0,4.0,all,12.03323742507008,-1.8961271335287804,6.346218675050374,41.66666666666667,84,0.14325282648892954
1.3,5,atr,1.0,3.0,all,15.585376016078968,-2.5108562895810946,6.207195561431035,46.3768115942029,69,0.22587501472578214
1.3,5,atr,1.0,4.0,overnight,9.072853822518784,-1.4633955616129728,6.19986424758496,40.625,32,0.283526681953712
1.5,3,atr,1.0,4.0,asia_eu,14.568510733912973,-2.3695918771141202,6.148109670115716,42.74809160305343,131,0.11121000560238911
1.3,7,atr,2.0,3.0,all,12.470913530306358,-2.0338678838993207,6.13162419694498,61.111111111111114,18,0.6928285294614643
1.3,7,fixed_pct,1.0,3.0,all,15.132025419860454,-2.469486994792773,6.127598748958084,72.22222222222221,18,0.8406680788811364
1.3,7,atr,1.5,4.0,all,9.763582971462377,-1.602126191393849,6.094141038271189,55.55555555555556,18,0.5424212761923543
