strategy,exit_config,num_trades,total_return,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio
failed_breakout_20,fixed_rr_2.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_20,fixed_rr_2.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_20,fixed_pct_0.03,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_20,fixed_pct_0.05,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
rsi14_ob75,fixed_rr_1.0,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi14_ob75,fixed_rr_1.5,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi14_ob75,fixed_rr_2.0,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi14_ob75,fixed_rr_2.5,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi14_ob75,fixed_pct_0.03,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi14_ob75,fixed_pct_0.05,1,32.7948325718582,100.0,32.79483257185819,0.0,327948.32571858185,0.0,0.0
rsi7_ob70,fixed_rr_1.5,2,32.704730975499615,50.0,33.02335187319884,0.2395225298509507,137.87158933962706,0.23952252985095512,1.3938463502010723
rsi7_ob70,fixed_rr_2.0,2,32.704730975499615,50.0,33.02335187319884,0.2395225298509507,137.87158933962706,0.23952252985095512,1.3938463502010723
rsi7_ob70,fixed_rr_2.5,2,32.704730975499615,50.0,33.02335187319884,0.2395225298509507,137.87158933962706,0.23952252985095512,1.3938463502010723
rsi7_ob70,fixed_pct_0.03,2,32.704730975499615,50.0,33.02335187319884,0.2395225298509507,137.87158933962706,0.23952252985095512,1.3938463502010723
rsi7_ob70,fixed_pct_0.05,2,32.704730975499615,50.0,33.02335187319884,0.2395225298509507,137.87158933962706,0.23952252985095512,1.3938463502010723
failed_breakout_20,fixed_pct_0.02,4,32.641605836541856,50.0,17.32431590751043,0.985607537041083,17.57729649625062,1.9637779133416289,1.1510235778790068
failed_breakout_12,fixed_pct_0.02,4,32.62156224455788,50.0,17.32431590751043,0.9930525598760215,17.445517596443537,1.9785922547600963,1.1502943009805642
vol_climax_2.5x,fixed_pct_0.02,2,32.096796892417686,50.0,32.90347652866794,0.6069665424261826,54.2097038778205,0.6069665424261794,1.3629829466283427
vol_climax_2.5x,fixed_pct_0.03,2,32.096796892417686,50.0,32.90347652866794,0.6069665424261826,54.2097038778205,0.6069665424261794,1.3629829466283427
vol_climax_2.5x,fixed_pct_0.05,2,32.096796892417686,50.0,32.90347652866794,0.6069665424261826,54.2097038778205,0.6069665424261794,1.3629829466283427
rsi14_ob80,fixed_rr_1.5,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
rsi14_ob80,fixed_rr_2.0,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
rsi14_ob80,fixed_rr_2.5,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
rsi14_ob80,fixed_pct_0.02,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
rsi14_ob80,fixed_pct_0.03,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
rsi14_ob80,fixed_pct_0.05,3,31.997848142832417,33.33333333333333,32.69753127533882,0.2638738016911195,61.9567593785102,0.527276676349453,1.1952934532732031
double_top_12,fixed_pct_0.03,3,31.861788233571552,33.33333333333333,33.158181190681624,0.4878369237428245,33.98490312734281,0.9735736441560783,1.1714283776375636
double_top_12,fixed_pct_0.05,3,31.861788233571552,33.33333333333333,33.158181190681624,0.4878369237428245,33.98490312734281,0.9735736441560783,1.1714283776375636
double_top_8,fixed_pct_0.03,3,31.82026179128956,33.33333333333333,33.158181190681624,0.5035326398867884,32.92555294740846,1.0047594428134854,1.1697478527152079
double_top_8,fixed_pct_0.05,3,31.82026179128956,33.33333333333333,33.158181190681624,0.5035326398867884,32.92555294740846,1.0047594428134854,1.1697478527152079
mean_rev_ema20_2pct,fixed_pct_0.03,2,31.818958120777108,50.0,35.78955200994612,2.924079084433675,12.239597827730337,2.924079084433673,1.2005796467852632
mean_rev_ema20_2pct,fixed_pct_0.05,2,31.818958120777108,50.0,35.78955200994612,2.924079084433675,12.239597827730337,2.924079084433673,1.2005796467852632
rsi14_ob70,fixed_rr_2.0,10,31.762573011779537,50.0,6.656930133455132,0.2582936155138172,25.772724270449597,0.9460192133725509,1.0286632819673256
rsi14_ob70,fixed_rr_1.5,10,31.556509912325794,50.0,6.625574163858291,0.2582936155138172,25.651327659331407,1.0383041013780736,1.0231216725911607
vol_climax_2x,fixed_pct_0.03,3,31.518783572610577,33.33333333333333,32.90347652866794,0.5222672740825385,31.50061104869067,1.041878656769879,1.1673248088900654
vol_climax_2x,fixed_pct_0.05,3,31.518783572610577,33.33333333333333,32.90347652866794,0.5222672740825385,31.50061104869067,1.041878656769879,1.1673248088900654
rsi14_ob70,fixed_rr_2.5,10,31.468463708005224,40.0,8.29497130153851,0.23501436686857027,23.530394934471957,1.2296234249735138,1.0207215115195614
rsi14_ob70,fixed_rr_1.0,10,31.350662862193168,50.0,6.594218194261448,0.2582936155138172,25.529931048213218,1.1305433142850485,1.0175797897462076
double_top_12,fixed_rr_2.5,36,30.865208368284524,27.77777777777778,4.805051534351746,0.6103932423810042,3.0277149477809395,7.6012463092385545,0.9056146066690208
rsi14_ob70,fixed_pct_0.03,8,30.70132276932389,12.5,32.69753127533882,0.21621411494685275,21.603935976266694,1.5043297993788007,1.0127973536651478
rsi14_ob70,fixed_pct_0.05,8,30.70132276932389,12.5,32.69753127533882,0.21621411494685275,21.603935976266694,1.5043297993788007,1.0127973536651478
ema_5_20_cross_down,fixed_pct_0.03,18,30.43587183353811,16.666666666666664,13.82527402164863,0.6434669936512144,4.297119870344895,6.932565117581624,0.9071326550963618
failed_breakout_8,fixed_pct_0.02,4,30.257496727119193,50.0,17.147795980426427,1.7494296365300541,9.801935226408197,3.4689926936171185,1.077596727501623
ema_5_20_cross_down,fixed_pct_0.05,16,30.144809929823246,12.5,20.242886032472942,0.6325227201519654,4.571916185219521,6.932565117581624,0.9015502989929901
double_top_8,fixed_rr_2.5,41,29.006610546036615,24.390243902439025,4.805051534351746,0.558056793694202,2.777524871122339,7.482310740641285,0.8633765820946288
ema_5_20_cross_down,fixed_rr_1.0,221,27.152489328096173,55.203619909502265,1.0131513402854568,0.988716088722248,1.2627790209287557,13.019215872438272,1.3978873833898313
ema_5_20_cross_down,fixed_rr_2.0,178,24.24037959634957,37.640449438202246,2.0530409158654654,1.0160154304072682,1.2196890500622586,18.85424185327991,0.9932164959871145
ema_5_20_cross_down,fixed_pct_0.02,189,24.22175849936807,35.44973544973545,1.9901000000000022,0.8984875229285162,1.2164039484149383,13.555332546916333,1.1785616836502537
double_top_8,fixed_rr_2.0,67,24.001555816768217,34.32835820895522,2.0768238186475823,0.5395450980241864,2.0120884327041475,7.456578262006906,1.0135808545438683
double_top_12,fixed_rr_2.0,57,22.13207675420037,33.33333333333333,2.3468515517422843,0.5814806390630537,2.0179962960794295,8.228283423101049,0.9515083290768004
ema_10_50_cross_down,fixed_pct_0.03,18,21.808812978325665,5.555555555555555,35.21684836236933,0.6118357762457226,3.3858420770110578,9.915950228414804,0.7121469904138062
ema_10_50_cross_down,fixed_pct_0.05,18,21.808812978325665,5.555555555555555,35.21684836236933,0.6118357762457226,3.3858420770110578,9.915950228414804,0.7121469904138062
double_top_8,fixed_rr_1.5,69,16.73210129729654,34.78260869565217,1.748523415021915,0.5345686972642496,1.7444826569858851,10.336104509332174,0.7634358291013803
double_top_12,fixed_rr_1.0,79,16.1404788168134,43.037974683544306,1.1979579884520335,0.5194424966177038,1.7424908808784652,10.15281194617561,0.7454941290044506
mean_rev_ema50_3pct,time_based_16,32,15.786913987441388,40.625,3.6060042838038813,1.5938993167033815,1.5479435012378475,9.882930014641705,0.8343352955335853
double_top_12,fixed_rr_1.5,58,15.277505979774752,32.758620689655174,2.057314849989327,0.5754682764233591,1.7416800102586156,10.953848997836246,0.7108801290406261
ema_5_20_cross_down,fixed_rr_2.5,108,14.621821572454863,31.48148148148148,2.5775792209606276,0.9665798176246089,1.2252409309423933,19.528573506089543,0.716954113290031
double_top_8,fixed_rr_1.0,96,14.572035900090086,42.70833333333333,1.0559673445185644,0.4961030765745918,1.5867179503463,10.938076821895889,0.6852878926064708
ema_5_20_cross_down,time_based_16,237,12.131079592625827,38.39662447257383,1.2987505486317197,0.7166408752693848,1.1295688438993894,18.923737502380337,0.6567120147338372
mean_rev_ema20_2pct,time_based_16,30,12.108932252291037,36.666666666666664,3.6672642833731475,1.4325022426147915,1.482128923084925,9.882930014641705,0.7036534668855143
mean_rev_ema20_2.5pct,time_based_16,17,10.312631768280278,29.411764705882355,5.9489894716036265,1.5383301412737567,1.6113222686488773,9.88293001464171,0.6504959290106044
consec_greens_3,fixed_pct_0.03,95,8.827654280055985,12.631578947368421,3.7346794619509627,0.4227959194238829,1.2771023378969628,10.347956664712887,0.5984109466901109
mean_rev_ema50_3pct,fixed_rr_2.5,9,7.627029685698106,44.44444444444444,5.203242271289139,2.3884299183297832,1.7428159750829917,10.02578003486991,0.49756566769379634
