sl_mult,tp_mult,rr_ratio,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate
2.0,4,2.0,4.586949695092347,-12.367290325601553,0.37089366986047806,74,37.83783783783784,37.83783783783784,59.45945945945946
2.0,5,2.5,18.674820881729797,-10.481395996283826,1.7817112232331405,71,38.028169014084504,35.2112676056338,59.154929577464785
2.0,6,3.0,-2.50143674238904,-18.083609345066694,-0.13832618780118944,66,30.303030303030305,24.242424242424242,65.15151515151516
2.0,7,3.5,3.7639526170011925,-15.900882950251159,0.23671343464242908,66,28.78787878787879,22.727272727272727,66.66666666666666
2.0,8,4.0,12.035019661373564,-17.87614406765658,0.6732447230132029,63,28.57142857142857,22.22222222222222,66.66666666666666
2.0,10,5.0,18.07445601585415,-16.373618748680038,1.103876686838774,60,30.0,15.0,65.0
2.0,12,6.0,10.72977347509338,-23.94668451651186,0.44806927103812316,59,28.8135593220339,6.779661016949152,66.10169491525424
2.0,15,7.5,14.61309032786208,-23.94668451651186,0.6102343862168467,59,28.8135593220339,5.084745762711865,66.10169491525424
2.0,20,10.0,19.34605546161731,-23.94668451651186,0.8078803330071729,59,28.8135593220339,1.694915254237288,66.10169491525424
2.5,4,1.6,-3.9621704493206855,-14.50228634729207,-0.2732100549138943,70,40.0,38.57142857142858,57.14285714285714
2.5,5,2.0,10.652817483787986,-10.688961440208821,0.9966185717271959,67,40.298507462686565,35.82089552238806,56.71641791044776
2.5,6,2.4,-6.854981653304243,-15.143852299043353,-0.4526577199737531,64,32.8125,25.0,60.9375
2.5,7,2.8,2.508374335025204,-13.118614779423554,0.1912072560404449,63,33.33333333333333,23.809523809523807,60.317460317460316
2.5,8,3.2,10.770936821746997,-14.631117492383419,0.7361663815053134,61,32.78688524590164,22.950819672131146,60.65573770491803
2.5,10,4.0,21.64951268962672,-13.721573309927736,1.57777189252511,59,33.89830508474576,16.94915254237288,59.32203389830508
2.5,12,4.8,16.449735445679423,-20.5566672115728,0.800214124029731,58,32.758620689655174,8.620689655172415,60.3448275862069
2.5,15,6.0,23.551294743732743,-20.5566672115728,1.1456767043674305,58,32.758620689655174,6.896551724137931,60.3448275862069
2.5,20,8.0,34.082738424440976,-20.5566672115728,1.65798950158873,58,32.758620689655174,3.4482758620689653,60.3448275862069
