entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl_pct,pnl_dollars,hold_minutes,exit_reason,capital_after,entry_rsi,entry_hour
2025-11-15 16:08:00,2025-11-15 16:13:00,0.013190592,0.013242475450000004,0.013129306285714286,0.013249100000000003,0.2933367812453348,28.13724704866307,5.0,Take Profit,9620.267810835763,24.3902439024384,16
2025-11-15 20:27:00,2025-11-15 21:08:00,0.013126559999999999,0.013181655875000003,0.013066345714285714,0.013188250000000002,0.31972820754261344,30.758709832384202,41.0,Take Profit,9651.026520668147,23.809523809523654,20
2025-11-16 20:49:00,2025-11-16 21:03:00,0.0123811875,0.012317811227678572,0.012323973214285714,0.01244525,-0.6118755557286247,-59.05227215685518,14.0,Stop Loss,9591.974248511291,22.580645161290434,20
2025-11-17 17:44:00,2025-11-17 18:02:00,0.01216608,0.012068971067142857,0.012075008571428571,0.0122642,-0.8981941007879524,-86.15454684922796,18.0,Stop Loss,9505.819701662063,17.757009345793875,17
2025-11-19 17:37:00,2025-11-19 17:42:00,0.011319656999999999,0.011425934175000001,0.011221942714285714,0.01143165,0.838872750296249,79.74173116953524,5.0,Take Profit,9585.561432831599,21.818181818181984,17
2025-11-19 18:26:00,2025-11-19 18:54:00,0.0112846395,0.011172336251678574,0.011177925214285716,0.01138885,-1.095186849534957,-104.97980826646629,28.0,Stop Loss,9480.581624565133,23.36448598130825,18
2025-11-21 17:54:00,2025-11-21 18:04:00,0.0106022985,0.010504258029321428,0.010509512785714284,0.01071545,-1.0247095870633327,-97.14842881628357,10.0,Stop Loss,9383.43319574885,20.41666666666636,17
2025-11-21 18:04:00,2025-11-21 18:32:00,0.010513254,0.0106208869,0.010422396857142857,0.010626199999999999,0.9237829315262513,86.68255425349614,28.0,Take Profit,9470.115750002346,18.775510204081385,18
2025-11-21 20:05:00,2025-11-21 20:12:00,0.0104962455,0.010581256725,0.010430459785714285,0.01058655,0.7099203186510806,67.23027590904283,7.0,Take Profit,9537.346025911389,20.786516853932213,20
2025-11-21 20:28:00,2025-11-21 20:31:00,0.010417205999999998,0.010340890111285713,0.010346063142857142,0.010482,-0.8325946008390872,-79.40742807507948,3.0,Stop Loss,9457.93859783631,15.343915343915725,20
2025-11-22 19:30:00,2025-11-22 20:13:00,0.010081037999999999,0.010135129900000001,0.01003239514285714,0.0101402,0.4365707380529994,41.290592341173486,43.0,Take Profit,9499.229190177482,22.159090909091063,19
2025-11-22 20:36:00,2025-11-22 20:44:00,0.009994995,0.00992874243107143,0.009933709285714286,0.0100891,-0.762857449439147,-72.46557751656688,8.0,Stop Loss,9426.763612660916,12.755102040816041,20
2025-11-23 16:57:00,2025-11-23 16:59:00,0.010447221,0.010383954996642858,0.010389149571428571,0.010522,-0.7055773430766131,-66.51310823632585,2.0,Stop Loss,9360.25050442459,18.749999999999332,16
2025-11-23 16:59:00,2025-11-23 17:22:00,0.010385189999999999,0.010315101297857142,0.010320261428571427,0.0105092,-0.774890898894076,-72.53172927247299,23.0,Stop Loss,9287.718775152118,15.566037735848482,16
2025-11-23 17:22:00,2025-11-23 17:28:00,0.0103361655,0.010374959925000002,0.010274451214285715,0.010380150000000001,0.27532704947498277,25.571602067160335,6.0,Take Profit,9313.290377219279,23.404255319148234,17
2025-11-23 18:55:00,2025-11-23 19:03:00,0.010429211999999998,0.010473360700000002,0.010379283428571426,0.010478600000000001,0.3233176964856256,30.1115159146428,8.0,Take Profit,9343.401893133921,24.223602484470973,18
2025-11-25 19:02:00,2025-11-25 19:07:00,0.0110825385,0.011015956337892856,0.01102146707142857,0.011142250000000001,-0.7007843970687987,-65.47710262251327,5.0,Stop Loss,9277.924790511408,20.418848167539508,19
2025-11-25 19:07:00,2025-11-25 19:09:00,0.0110425185,0.010971244419321428,0.010976732785714285,0.01111145,-0.7454513132902684,-69.16241219695067,2.0,Stop Loss,9208.762378314457,23.497267759563258,19
2025-11-25 19:09:00,2025-11-25 19:20:00,0.010987491,0.010907248933071429,0.010912705285714286,0.011092250000000001,-0.8303038239446225,-76.46070616511871,11.0,Stop Loss,9132.301672149339,17.67441860465162,19
2025-11-26 20:06:00,2025-11-26 21:23:00,0.011354674499999998,0.011448722775000001,0.011286745928571427,0.011454450000000001,0.7282780365038489,66.50854730553736,77.0,Take Profit,9198.810219454876,17.475728155339084,20
2025-11-28 16:22:00,2025-11-28 16:27:00,0.011675834999999999,0.0115605518325,0.011566334999999999,0.011854700000000001,-1.0873655074776112,-100.02468942467786,5.0,Stop Loss,9098.785530030198,20.110192837465576,16
2025-11-28 16:27:00,2025-11-28 16:59:00,0.011557775999999999,0.011420063111999999,0.011425775999999999,0.01178795,-1.2915171915427348,-117.51237934194276,32.0,Stop Loss,8981.273150688256,14.660831509846972,16
2025-11-28 17:01:00,2025-11-28 17:13:00,0.0114227085,0.011339678681464285,0.011345351357142855,0.01149555,-0.8268838081241014,-74.26469344643851,12.0,Stop Loss,8907.008457241816,23.414634146341356,17
2025-11-28 17:33:00,2025-11-28 18:04:00,0.0111845895,0.011085186990964285,0.011090732357142856,0.01129565,-0.9887452600358282,-88.06762393196881,31.0,Stop Loss,8818.940833309847,14.062499999999645,17
