trade_id,entry_timestamp,entry_price,direction,position_size,leverage,stop_loss_pct,take_profit_pct,regime,confidence,capital_before,exit_timestamp,exit_price,pnl_pct,leveraged_pnl,net_pnl,pnl_dollars,exit_reason,capital_after
308,2025-05-26 02:00:00,1.4442,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13248.58205423435,2025-05-26 17:15:00,1.400874,-3.0,-9.0,-9.2,-121.88695489895602,STOP_LOSS,13126.695099335393
309,2025-05-26 20:30:00,1.4013,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13126.695099335393,2025-05-27 12:15:00,1.443339,-3.0,-9.0,-9.2,-120.76559491388561,STOP_LOSS,13005.929504421507
310,2025-05-27 16:45:00,1.419,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,13005.929504421507,2025-05-27 20:00:00,1.37643,-3.0,-9.0,-9.2,-119.65455144067788,STOP_LOSS,12886.27495298083
311,2025-05-28 09:45:00,1.352,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,12886.27495298083,2025-05-28 19:30:00,1.27088,6.0,18.0,17.8,229.3756941630588,TAKE_PROFIT,13115.650647143888
312,2025-05-28 21:30:00,1.2854,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13115.650647143888,2025-05-29 02:45:00,1.323962,-3.0,-9.0,-9.2,-120.66398595372378,STOP_LOSS,12994.986661190163
313,2025-05-29 03:30:00,1.3054,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,12994.986661190163,2025-05-29 12:45:00,1.2662379999999998,-3.0,-9.0,-9.2,-119.55387728294951,STOP_LOSS,12875.432783907214
314,2025-05-29 14:30:00,1.2671,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,12875.432783907214,2025-05-30 00:30:00,1.1910739999999997,6.0,18.0,17.8,229.18270355354846,TAKE_PROFIT,13104.615487460762
315,2025-05-30 08:15:00,1.1379,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13104.615487460762,2025-05-30 16:30:00,1.069626,6.0,18.0,17.8,233.2621556768016,TAKE_PROFIT,13337.877643137563
316,2025-05-30 18:15:00,1.0784,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13337.877643137563,2025-05-31 03:00:00,1.013696,6.0,18.0,17.8,237.41422204784865,TAKE_PROFIT,13575.29186518541
317,2025-05-31 04:30:00,1.0316,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13575.29186518541,2025-05-31 08:00:00,1.062548,-3.0,-9.0,-9.2,-124.89268515970578,STOP_LOSS,13450.399180025704
318,2025-05-31 11:30:00,1.0563,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,13450.399180025704,2025-06-01 15:15:00,1.1196780000000002,6.0,18.0,17.8,239.4171054044576,TAKE_PROFIT,13689.816285430163
319,2025-06-02 00:15:00,1.1431,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13689.816285430163,2025-06-02 06:00:00,1.1088069999999999,-3.0,-9.0,-9.2,-125.9463098259575,STOP_LOSS,13563.869975604206
320,2025-06-02 06:30:00,1.1223,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13563.869975604206,2025-06-03 00:15:00,1.155969,-3.0,-9.0,-9.2,-124.78760377555871,STOP_LOSS,13439.082371828647
321,2025-06-03 03:00:00,1.1557,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13439.082371828647,2025-06-03 08:30:00,1.1210289999999998,-3.0,-9.0,-9.2,-123.63955782082355,STOP_LOSS,13315.442814007823
322,2025-06-03 10:00:00,1.1336,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13315.442814007823,2025-06-03 13:30:00,1.167608,-3.0,-9.0,-9.2,-122.50207388887198,STOP_LOSS,13192.940740118951
323,2025-06-03 14:00:00,1.1468,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,13192.940740118951,2025-06-03 20:15:00,1.112396,-3.0,-9.0,-9.2,-121.37505480909435,STOP_LOSS,13071.565685309857
324,2025-06-04 01:00:00,1.0487,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13071.565685309857,2025-06-04 03:30:00,1.080161,-3.0,-9.0,-9.2,-120.2584043048507,STOP_LOSS,12951.307281005007
325,2025-06-04 04:15:00,1.0637,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,12951.307281005007,2025-06-04 19:30:00,0.999878,6.0,18.0,17.8,230.53326960188917,TAKE_PROFIT,13181.840550606896
326,2025-06-05 00:30:00,0.9623,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13181.840550606896,2025-06-05 05:15:00,0.904562,6.0,18.0,17.8,234.6367618008028,TAKE_PROFIT,13416.477312407698
327,2025-06-05 07:15:00,0.9013,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13416.477312407698,2025-06-05 12:30:00,0.928339,-3.0,-9.0,-9.2,-123.43159127415083,STOP_LOSS,13293.045721133547
328,2025-06-05 13:30:00,0.9112,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13293.045721133547,2025-06-05 14:45:00,0.938536,-3.0,-9.0,-9.2,-122.29602063442864,STOP_LOSS,13170.749700499118
329,2025-06-05 16:15:00,0.9321,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13170.749700499118,2025-06-05 19:30:00,0.9880260000000001,6.0,18.0,17.8,234.43934466888433,TAKE_PROFIT,13405.189045168003
330,2025-06-06 01:15:00,1.0303,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13405.189045168003,2025-06-06 16:30:00,0.9993909999999999,-3.0,-9.0,-9.2,-123.32773921554563,STOP_LOSS,13281.861305952458
331,2025-06-06 21:00:00,0.9819,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13281.861305952458,2025-06-07 04:45:00,1.011357,-3.0,-9.0,-9.2,-122.19312401476262,STOP_LOSS,13159.668181937695
332,2025-06-07 20:00:00,1.0159,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13159.668181937695,2025-06-08 02:15:00,1.0463770000000001,-3.0,-9.0,-9.2,-121.0689472738268,STOP_LOSS,13038.599234663869
333,2025-06-08 04:45:00,1.0372,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13038.599234663869,2025-06-08 07:15:00,1.006084,-3.0,-9.0,-9.2,-119.9551129589076,STOP_LOSS,12918.644121704961
334,2025-06-08 11:15:00,1.0052,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,12918.644121704961,2025-06-08 15:30:00,1.0353560000000002,-3.0,-9.0,-9.2,-118.85152591968566,STOP_LOSS,12799.792595785275
335,2025-06-08 19:30:00,1.051,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,12799.792595785275,2025-06-09 10:30:00,1.11406,6.0,18.0,17.8,227.8363082049779,TAKE_PROFIT,13027.628903990253
336,2025-06-09 13:15:00,1.0991,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13027.628903990253,2025-06-09 15:00:00,1.165046,6.0,18.0,17.8,231.89179449102653,TAKE_PROFIT,13259.52069848128
