trade_num,entry_time,exit_time,type,signal_price,stop,target,filled,result,gross_pnl_pct,entry_fee_pct,exit_fee_pct,profit_after_fees_pct,winner,running_balance
24,2025-11-17 06:10:00,2025-11-17 06:28:00,LONG,3176.55,3169.6200000000003,3190.4099999999994,YES,TP,0.47148744587873015,0.02,0.05,0.40148744587873014,WIN,10344.945865627045
25,2025-11-17 09:01:00,2025-11-17 09:11:00,LONG,3181.09,3175.8100000000004,3191.65,YES,TP,0.36709016764740016,0.02,0.05,0.29709016764740015,WIN,10375.679682642269
26,2025-11-17 12:36:00,2025-11-17 12:54:00,LONG,3186.89,3182.4042857142854,3195.8614285714284,YES,STOP,-0.10579225529265839,0.02,0.05,-0.17579225529265838,LOSS,10357.44004132621
27,2025-11-17 14:36:00,2025-11-17 14:55:00,SHORT,3189.33,3210.64,3146.7100000000005,YES,TP,1.370851030244368,0.02,0.05,1.3008510302443679,WIN,10492.174906810746
28,2025-11-18 08:04:00,2025-11-18 08:33:00,SHORT,3038.44,3046.23,3022.86,YES,STOP,-0.22130410778601703,0.02,0.05,-0.291304107786017,LOSS,10461.610770311112
29,2025-11-18 14:25:00,2025-11-18 14:32:00,SHORT,3061.71,3070.862857142857,3043.404285714286,YES,STOP,-0.2638535717602176,0.02,0.05,-0.3338535717602176,LOSS,10426.684309090777
30,2025-11-18 23:09:00,2025-11-19 00:05:00,LONG,3113.9,3107.557142857143,3126.5857142857144,YES,STOP,-0.1687540169505789,0.02,0.05,-0.2387540169505789,LOSS,10401.790181468066
31,2025-11-19 06:32:00,2025-11-19 07:05:00,SHORT,3042.3,3049.694285714286,3027.511428571429,YES,STOP,-0.2079764050595039,0.02,0.05,-0.2779764050595039,LOSS,10372.87565905979
32,2025-11-19 07:33:00,2025-11-19 07:39:00,SHORT,3062.33,3069.205714285714,3048.5785714285716,YES,STOP,-0.18945927224914838,0.02,0.05,-0.2594592722491484,LOSS,10345.962271363484
33,2025-11-19 08:26:00,2025-11-19 08:28:00,SHORT,3092.07,3099.4157142857143,3077.378571428572,YES,STOP,-0.20249536172524613,0.02,0.05,-0.27249536172524613,LOSS,10317.770004048174
34,2025-11-19 21:20:00,2025-11-19 21:23:00,SHORT,2978.93,2994.9342857142856,2946.9214285714284,YES,STOP,-0.502073746794072,0.02,0.05,-0.572073746794072,LOSS,10258.744750600421
35,2025-11-20 01:53:00,2025-11-20 02:06:00,SHORT,3049.52,3056.0942857142854,3036.371428571429,YES,STOP,-0.1805210969218492,0.02,0.05,-0.2505210969218492,LOSS,10233.044430720804
36,2025-11-20 13:13:00,2025-11-20 13:20:00,SHORT,3037.34,3044.852857142857,3022.314285714286,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10233.044430720804
37,2025-11-20 21:19:00,2025-11-20 21:21:00,SHORT,2862.68,2871.722857142857,2844.5942857142854,YES,STOP,-0.28078953308873494,0.02,0.05,-0.35078953308873495,LOSS,10197.147981941514
38,2025-11-21 10:10:00,2025-11-21 12:18:00,SHORT,2704.69,2724.1985714285715,2665.672857142857,YES,TP,1.4770565915675689,0.02,0.05,1.4070565915675688,WIN,10340.627624773322
39,2025-11-21 21:17:00,2025-11-21 21:22:00,SHORT,2752.47,2763.0328571428568,2731.3442857142854,YES,STOP,-0.34863718754275314,0.02,0.05,-0.41863718754275314,LOSS,10297.337912110703
40,2025-11-22 18:09:00,2025-11-22 18:31:00,SHORT,2753.8,2757.795714285714,2745.808571428572,YES,TP,0.32508262501138624,0.02,0.05,0.25508262501138623,WIN,10323.604631963208
41,2025-11-23 07:03:00,2025-11-23 07:05:00,LONG,2799.99,2795.275714285714,2809.418571428571,YES,STOP,-0.13341464337807024,0.02,0.05,-0.20341464337807025,LOSS,10302.604908417337
42,2025-11-23 14:50:00,2025-11-23 15:04:00,LONG,2817.91,2810.4114285714286,2832.9071428571424,YES,STOP,-0.23118492189718143,0.02,0.05,-0.30118492189718143,LOSS,10271.575015870545
43,2025-11-24 06:05:00,2025-11-24 06:06:00,LONG,2848.35,2841.7714285714287,2861.5071428571428,YES,STOP,-0.19602939209323306,0.02,0.05,-0.26602939209323306,LOSS,10244.249607297425
44,2025-11-24 19:42:00,2025-11-24 20:11:00,LONG,2956.56,2947.8528571428574,2973.9742857142855,YES,TP,0.6242234608358803,0.02,0.05,0.5542234608358804,WIN,10301.025642007655
45,2025-11-25 03:33:00,2025-11-25 03:37:00,LONG,2916.56,2911.6557142857146,2926.368571428571,YES,STOP,-0.13319970827206162,0.02,0.05,-0.20319970827206163,LOSS,10280.093987954066
46,2025-11-25 05:27:00,2025-11-25 05:32:00,LONG,2919.41,2914.8785714285714,2928.472857142857,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10280.093987954066
47,2025-11-25 07:49:00,2025-11-25 07:58:00,LONG,2908.97,2903.392857142857,2920.1242857142856,YES,STOP,-0.1567771261646357,0.02,0.05,-0.2267771261646357,LOSS,10256.78108624116
48,2025-11-25 13:35:00,2025-11-25 13:37:00,LONG,2920.21,2913.13,2934.37,YES,STOP,-0.20752094940538324,0.02,0.05,-0.27752094940538324,LOSS,10228.316369992192
49,2025-11-25 14:30:00,2025-11-25 14:43:00,LONG,2901.25,2893.63,2916.4900000000002,YES,STOP,-0.22772511525092054,0.02,0.05,-0.29772511525092055,LOSS,10197.864103291404
50,2025-11-27 12:54:00,2025-11-27 12:57:00,LONG,2996.73,2991.944285714286,3006.301428571428,YES,STOP,-0.12474153975216246,0.02,0.05,-0.19474153975216246,LOSS,10178.00462571482
51,2025-11-28 01:10:00,2025-11-28 01:11:00,LONG,3002.48,2997.4314285714286,3012.577142857143,YES,STOP,-0.13319333066870626,0.02,0.05,-0.20319333066870626,LOSS,10157.323599120216
52,2025-11-28 11:14:00,2025-11-28 11:15:00,LONG,3034.38,3028.434285714286,3046.2714285714287,YES,STOP,-0.16100129755089318,0.02,0.05,-0.23100129755089316,LOSS,10133.860049809806
53,2025-11-28 13:07:00,2025-11-28 13:23:00,LONG,3029.03,3025.4900000000002,3036.1099999999997,YES,TP,0.2688322847146768,0.02,0.05,0.1988322847146768,WIN,10154.00943527663
54,2025-11-28 16:21:00,2025-11-28 16:22:00,LONG,3041.72,3034.4714285714285,3056.2171428571423,YES,STOP,-0.20337620082298274,0.02,0.05,-0.27337620082298275,LOSS,10126.250790051263
55,2025-11-29 15:16:00,2025-11-29 15:17:00,SHORT,3006.55,3011.1028571428574,2997.4442857142863,YES,STOP,-0.11639054311091801,0.02,0.05,-0.18639054311091802,LOSS,10107.376416206913
56,2025-11-29 18:33:00,2025-11-29 18:36:00,SHORT,2982.08,2987.315714285714,2971.6085714285714,YES,STOP,-0.14052337978366072,0.02,0.05,-0.2105233797836607,LOSS,10086.098025768057
57,2025-11-30 01:05:00,2025-11-30 01:07:00,SHORT,3008.9,3011.8785714285714,3002.9428571428575,YES,STOP,-0.06396964852959591,0.02,0.05,-0.13396964852959592,LOSS,10072.585715692585
58,2025-11-30 03:43:00,2025-11-30 05:04:00,SHORT,3003.59,3008.097142857143,2994.575714285715,YES,TP,0.33499980047569494,0.02,0.05,0.26499980047569494,WIN,10099.278047741913
59,2025-11-30 07:47:00,2025-11-30 08:15:00,SHORT,3008.38,3010.9485714285715,3003.2428571428577,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10099.278047741913
60,2025-11-30 11:06:00,2025-11-30 11:08:00,SHORT,3013.12,3015.0899999999997,3009.1800000000003,YES,STOP,-0.030370105382382183,0.02,0.05,-0.10037010538238217,LOSS,10089.141391722535
61,2025-11-30 14:38:00,2025-11-30 14:59:00,LONG,3029.09,3024.7857142857147,3037.6985714285715,YES,TP,0.31930837898290637,0.02,0.05,0.24930837898290636,WIN,10114.294466579531
62,2025-12-01 02:03:00,2025-12-01 02:04:00,SHORT,2860.2,2867.0228571428565,2846.554285714286,YES,STOP,-0.2034735413703891,0.02,0.05,-0.2734735413703891,LOSS,10086.634547317148
63,2025-12-01 14:04:00,2025-12-01 14:31:00,SHORT,2821.57,2828.4357142857143,2807.8385714285723,YES,TP,0.5214766329223415,0.02,0.05,0.45147663292234147,WIN,10132.173345346557
64,2025-12-01 18:12:00,2025-12-01 18:35:00,SHORT,2757.18,2765.1442857142856,2741.2514285714287,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10132.173345346557
65,2025-12-01 18:57:00,2025-12-01 19:21:00,SHORT,2754.83,2763.6985714285715,2737.092857142857,YES,TP,0.6786186508996882,0.02,0.05,0.6086186508996883,WIN,10193.839642067824
66,2025-12-02 01:06:00,2025-12-02 01:12:00,SHORT,2821.35,2829.2685714285712,2805.5128571428572,YES,TP,0.5961234445234508,0.02,0.05,0.5261234445234508,WIN,10247.471822321868
67,2025-12-02 10:51:00,2025-12-02 11:11:00,SHORT,2831.87,2837.658571428571,2820.292857142858,YES,TP,0.443660902235793,0.02,0.05,0.373660902235793,WIN,10285.762617989514
68,2025-12-02 13:16:00,2025-12-02 13:17:00,SHORT,2837.54,2843.828571428571,2824.9628571428575,YES,STOP,-0.1865552441792745,0.02,0.05,-0.2565552441792745,LOSS,10259.373954589231
