vol_threshold,min_zone_bars,sl_atr_mult,rr_target,session,total_trades,total_return,avg_trade,win_rate,actual_rr,tp_count,sl_count,zones_found,acc_zones,dist_zones
1.3,5,1.5,7.0,asian,26,9.655247262224265,0.3713556639317025,69.23076923076923,1.7861538904238614,0,7,170,40,60
1.5,5,1.5,4.0,all,65,9.319613394302175,0.14337866760464885,43.07692307692308,2.013987242238452,11,32,100,26,39
1.3,5,1.5,3.0,asian,26,9.24448675344023,0.35555718282462423,69.23076923076923,1.7290739172545475,7,7,170,40,60
1.3,7,1.5,7.0,all,26,9.03592547581079,0.347535595223492,61.53846153846154,1.6014136453121766,1,9,41,8,18
1.3,5,2.0,3.0,asian,26,9.022439811767446,0.3470169158372095,69.23076923076923,1.4751629465343925,5,7,170,40,60
1.5,5,1.0,7.0,all,65,9.005807332458584,0.13855088203782437,35.38461538461539,2.8795257423487874,6,40,100,26,39
1.3,5,2.0,7.0,asian,26,8.96310685467181,0.3447348790258388,69.23076923076923,1.4683847825412757,0,7,170,40,60
1.3,5,2.0,5.0,asian,26,8.96310685467181,0.3447348790258388,69.23076923076923,1.4683847825412757,0,7,170,40,60
1.5,5,1.5,5.0,all,65,8.795460646367882,0.1353147791748905,41.53846153846154,2.0957198003887143,5,33,100,26,39
1.3,7,1.5,3.0,all,26,8.730214772822887,0.33577749126241874,61.53846153846154,1.5683788330270982,6,9,41,8,18
1.3,5,2.0,2.0,all,100,8.703880101475429,0.08703880101475428,51.0,1.2819084238972958,33,40,170,40,60
1.3,7,1.5,5.0,all,26,8.68648366697805,0.33409552565300193,61.53846153846154,1.563653290681071,2,9,41,8,18
1.5,5,1.5,3.0,all,65,8.672754319438072,0.13342698952981646,44.61538461538462,1.8649718633503451,20,31,100,26,39
1.3,5,1.5,2.0,asian,26,8.549061716332265,0.3288100660127794,73.07692307692307,1.5117798076586557,12,6,170,40,60
1.3,7,1.5,2.0,all,26,8.443669656792762,0.3247565252612601,65.38461538461539,1.349566976925609,14,8,41,8,18
1.5,5,1.0,4.0,all,65,8.416487935117868,0.12948442977104413,41.53846153846154,2.2292703631125317,20,36,100,26,39
1.3,7,1.0,7.0,all,26,8.273679279930912,0.31821843384349663,50.0,2.5318735201388995,2,12,41,8,18
1.3,7,1.0,5.0,all,26,8.159928570251129,0.3138434065481204,50.0,2.510812551474313,4,12,41,8,18
1.3,7,1.5,4.0,all,26,8.13637736228966,0.31293759085729456,61.53846153846154,1.5042093185381062,2,9,41,8,18
1.3,7,2.0,7.0,all,26,8.125987731640238,0.3125379896784707,61.53846153846154,1.3837220232459897,1,8,41,8,18
1.3,7,2.0,3.0,all,26,7.80547374391507,0.30021052861211805,61.53846153846154,1.3537956894541476,4,8,41,8,18
1.3,7,1.0,3.0,all,26,7.757218291163037,0.2983545496601168,53.84615384615385,2.149410640864662,12,11,41,8,18
1.3,7,2.0,4.0,all,26,7.491194636612608,0.2881228706389465,61.53846153846154,1.3244515053338577,2,8,41,8,18
1.5,5,1.5,7.0,asian,16,7.422169071313601,0.46388556695710004,68.75,1.976877886429669,1,5,100,26,39
1.3,7,2.0,5.0,all,26,7.415276762092127,0.28520295238815874,61.53846153846154,1.3173630669484004,1,8,41,8,18
1.3,7,1.0,4.0,all,26,7.349068837253626,0.2826564937405241,50.0,2.360681695358248,6,12,41,8,18
1.3,5,2.0,2.0,asian,26,7.175368890737623,0.2759757265668316,69.23076923076923,1.2641545926194422,8,7,170,40,60
1.5,5,2.0,7.0,all,65,7.166483437850503,0.1102535913515462,41.53846153846154,1.895610063551681,2,31,100,26,39
1.5,5,1.5,4.0,asian,16,7.138761532606919,0.44617259578793245,68.75,1.918749260758615,5,5,100,26,39
1.3,5,1.0,4.0,asian,26,7.126196069315805,0.274084464204454,53.84615384615385,2.46862627769411,7,11,170,40,60
1.5,5,1.5,5.0,asian,16,7.1036723678081,0.44397952298800625,68.75,1.9115522576901418,1,5,100,26,39
1.5,5,2.0,4.0,asian,16,7.094242495801151,0.4433901559875719,68.75,1.6470151856723019,2,5,100,26,39
1.3,5,0.5,7.0,all,100,7.050184462243219,0.07050184462243218,31.0,3.1594128554693284,26,68,170,40,60
