trade_num,entry_time,exit_time,signal_price,limit_price,max_price,stop,target,filled,result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,winner,profit_after_fees_dollar,running_balance
13,2025-11-12 11:02:00,2025-11-12 11:07:00,3546.39,3547.6312365000003,3555.68,3553.7771428571427,3531.6157142857146,YES,STOP,3547.6312365000003,3553.7771428571427,-0.17323971820717712,0.02,0.05,0.06999999999999999,-0.2432397182071771,LOSS,-23.732839673988135,9733.242644804215
14,2025-11-12 12:20:00,2025-11-12 12:30:00,3562.05,3563.2967175000003,3565.57,3569.847142857143,3546.4557142857147,YES,TP,3563.2967175000003,3546.4557142857147,0.4726242171070501,0.02,0.05,0.06999999999999999,0.4026242171070501,WIN,39.188391997772506,9772.431036801987
15,2025-11-12 17:37:00,2025-11-12 17:38:00,3419.09,3420.2866815,3431.98,3428.6114285714284,3400.047142857143,YES,STOP,3420.2866815,3428.6114285714284,-0.24339325461973532,0.02,0.05,0.06999999999999999,-0.31339325461973533,LOSS,-30.62613968170289,9741.804897120284
16,2025-11-12 17:39:00,2025-11-12 17:50:00,3447.98,3449.1867930000003,3452.77,3460.1899999999996,3423.5600000000004,YES,TP,3449.1867930000003,3423.5600000000004,0.7429807238044792,0.02,0.05,0.06999999999999999,0.6729807238044793,WIN,65.5604691082603,9807.365366228545
17,2025-11-12 19:43:00,2025-11-12 22:14:00,3425.42,3426.6188970000003,3439.81,3440.7114285714283,3394.837142857143,YES,TP,3426.6188970000003,3394.837142857143,0.927496027372114,0.02,0.05,0.06999999999999999,0.8574960273721141,WIN,84.09776840527836,9891.463134633823
18,2025-11-13 04:17:00,2025-11-13 05:36:00,3487.63,3488.8506705000004,3506.9,3506.764285714286,3449.3614285714284,YES,STOP,3488.8506705000004,3506.764285714286,-0.5134531943643853,0.02,0.05,0.06999999999999999,-0.5834531943643853,LOSS,-57.71205762839659,9833.751077005427
19,2025-11-14 13:51:00,2025-11-14 14:05:00,3119.65,3120.7418775,3141.29,3137.482857142857,3083.984285714286,YES,STOP,3120.7418775,3137.482857142857,-0.536442304426279,0.02,0.05,0.06999999999999999,-0.606442304426279,LOSS,-59.63602664293574,9774.11505036249
20,2025-11-15 02:41:00,2025-11-15 02:45:00,3184.43,3185.5445505000002,3192.89,3191.9442857142853,3169.4014285714284,YES,STOP,3185.5445505000002,3191.9442857142853,-0.20089925326207117,0.02,0.05,0.06999999999999999,-0.27089925326207115,LOSS,-26.478004684407694,9747.637045678082
21,2025-11-16 09:51:00,2025-11-16 11:06:00,3243.13,3244.2650955000004,3249.0,3250.0285714285715,3229.3328571428574,YES,TP,3244.2650955000004,3229.3328571428574,0.4602656662630601,0.02,0.05,0.06999999999999999,0.3902656662630601,WIN,38.04168066122044,9785.678726339303
22,2025-11-16 19:10:00,2025-11-16 21:04:00,3109.33,3110.4182655,3116.97,3123.4642857142853,3081.0614285714287,YES,TP,3110.4182655,3081.0614285714287,0.9438228052538834,0.02,0.05,0.06999999999999999,0.8738228052538835,WIN,85.5094923596306,9871.188218698933
23,2025-11-17 01:27:00,2025-11-17 01:52:00,3144.6,3145.7006100000003,3146.16,3156.238571428571,3121.322857142857,YES,TP,3145.7006100000003,3121.322857142857,0.7749546406179814,0.02,0.05,0.06999999999999999,0.7049546406179814,WIN,69.58739943185358,9940.775618130787
24,2025-11-17 04:26:00,2025-11-17 06:12:00,3188.89,3190.0061115000003,3193.66,3197.3199999999997,3172.0299999999997,YES,TP,3190.0061115000003,3172.0299999999997,0.563513387488398,0.02,0.05,0.06999999999999999,0.49351338748839796,WIN,49.05905849565798,9989.834676626444
25,2025-11-17 14:36:00,2025-11-17 14:55:00,3189.33,3190.4462655,3205.22,3210.64,3146.7100000000005,YES,TP,3190.4462655,3146.7100000000005,1.370851030244368,0.02,0.05,0.06999999999999999,1.3008510302443679,WIN,129.9528673106042,10119.787543937047
26,2025-11-18 08:04:00,2025-11-18 08:33:00,3038.44,3039.503454,3046.42,3046.23,3022.86,YES,STOP,3039.503454,3046.23,-0.22130410778601703,0.02,0.05,0.06999999999999999,-0.291304107786017,LOSS,-29.4793568147063,10090.30818712234
